Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
181,Maze,astar_dynamic,0.2,50,20.41,Yes
182,Maze,astar_dynamic,0.5,128,33.0,Yes
183,Maze,astar_dynamic,0.0,32,20.0,Yes
184,Maze,astar_dynamic,0.2,115,33.0,Yes
185,Maze,astar_dynamic,0.2,103,31.0,Yes
186,Maze,astar_dynamic,0.1,30,17.0,Yes
187,Maze,astar_dynamic,0.2,42,20.41,Yes
188,Maze,astar_dynamic,0.2,146,59.0,Yes
189,Maze,astar_dynamic,0.3,142,50.0,Yes
190,Maze,astar_dynamic,0.2,153,45.41,Yes
191,Maze,astar_dynamic,0.0,24,13.41,Yes
192,Maze,astar_dynamic,0.2,136,44.0,Yes
193,Maze,astar_dynamic,0.3,162,40.41,Yes
194,Maze,astar_dynamic,0.1,82,38.0,Yes
195,Maze,astar_dynamic,0.2,33,17.41,Yes
196,Maze,astar_dynamic,0.2,98,39.41,Yes
197,Maze,astar_dynamic,0.3,109,26.83,Yes
198,Maze,astar_dynamic,0.2,21,14.0,Yes
199,Maze,astar_dynamic,0.2,182,51.83,Yes
200,Maze,astar_dynamic,0.2,52,22.0,Yes
201,Maze,astar_dynamic,1.3,182,42.41,Yes
202,Maze,astar_dynamic,0.1,41,20.41,Yes
203,Maze,astar_dynamic,0.3,194,45.41,Yes
204,Maze,astar_dynamic,0.2,97,33.0,Yes
205,Maze,astar_dynamic,0.3,99,29.83,Yes
206,Maze,astar_dynamic,0.3,95,31.41,Yes
207,Maze,astar_dynamic,0.3,96,25.41,Yes
208,Maze,astar_dynamic,0.1,33,18.0,Yes
209,Maze,astar_dynamic,0.3,72,37.0,Yes
210,Maze,astar_dynamic,0.2,119,61.0,Yes
211,Maze,astar_dynamic,0.1,15,12.0,Yes
212,Maze,astar_dynamic,0.2,27,17.41,Yes
213,Maze,astar_dynamic,0.1,33,18.66,Yes
214,Maze,astar_dynamic,0.0,44,23.0,Yes
215,Maze,astar_dynamic,0.1,91,26.0,Yes
