Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
541,Mixed,astar_dynamic,0.1,25,13.66,Yes
542,Mixed,astar_dynamic,0.1,24,19.66,Yes
543,Mixed,astar_dynamic,0.1,25,14.83,Yes
544,Mixed,astar_dynamic,0.2,31,18.24,Yes
545,Mixed,astar_dynamic,0.1,7,7.66,Yes
546,Mixed,astar_dynamic,0.2,12,9.24,Yes
547,Mixed,astar_dynamic,0.4,12,11.0,Yes
548,Mixed,astar_dynamic,0.2,32,19.9,Yes
549,Mixed,astar_dynamic,0.2,12,10.83,Yes
550,Mixed,astar_dynamic,0.1,15,9.24,Yes
551,Mixed,astar_dynamic,0.2,38,13.66,Yes
552,Mixed,astar_dynamic,0.3,28,13.66,Yes
553,Mixed,astar_dynamic,0.2,77,18.66,Yes
554,Mixed,astar_dynamic,0.0,15,15.24,Yes
555,Mixed,astar_dynamic,0.1,16,12.66,Yes
556,Mixed,astar_dynamic,0.1,12,11.83,Yes
557,Mixed,astar_dynamic,0.2,28,12.24,Yes
559,Mixed,astar_dynamic,0.1,18,12.83,Yes
560,Mixed,astar_dynamic,0.0,18,15.83,Yes
561,Mixed,astar_dynamic,0.1,21,12.49,Yes
562,Mixed,astar_dynamic,0.1,13,12.07,Yes
563,Mixed,astar_dynamic,0.1,13,8.0,Yes
564,Mixed,astar_dynamic,0.2,20,21.14,Yes
565,Mixed,astar_dynamic,0.1,15,9.83,Yes
566,Mixed,astar_dynamic,0.1,11,10.24,Yes
567,Mixed,astar_dynamic,0.6,19,13.66,Yes
568,Mixed,astar_dynamic,0.1,19,15.66,Yes
569,Mixed,astar_dynamic,0.1,16,14.83,Yes
570,Mixed,astar_dynamic,0.1,17,17.24,Yes
571,Mixed,astar_dynamic,0.2,13,10.41,Yes
572,Mixed,astar_dynamic,0.1,13,12.41,Yes
573,Mixed,astar_dynamic,0.4,57,19.41,Yes
574,Mixed,astar_dynamic,0.2,25,12.66,Yes
575,Mixed,astar_dynamic,0.1,10,8.66,Yes
576,Mixed,astar_dynamic,0.2,14,11.66,Yes
579,Mixed,astar_dynamic,0.2,13,10.24,Yes
580,Mixed,astar_dynamic,0.1,16,17.49,Yes
581,Mixed,astar_dynamic,0.3,69,15.49,Yes
582,Mixed,astar_dynamic,0.1,9,8.24,Yes
583,Mixed,astar_dynamic,0.2,26,22.31,Yes
584,Mixed,astar_dynamic,0.2,59,15.66,Yes
585,Mixed,astar_dynamic,0.2,19,18.24,Yes
586,Mixed,astar_dynamic,0.2,26,15.9,Yes
587,Mixed,astar_dynamic,0.1,9,9.24,Yes
588,Mixed,astar_dynamic,0.3,21,22.31,Yes
589,Mixed,astar_dynamic,0.2,12,12.07,Yes
590,Mixed,astar_dynamic,0.0,14,11.66,Yes
591,Mixed,astar_dynamic,0.1,13,12.49,Yes
592,Mixed,astar_dynamic,0.1,19,17.31,Yes
593,Mixed,astar_dynamic,0.2,15,16.9,Yes
594,Mixed,astar_dynamic,0.1,8,7.0,Yes
595,Mixed,astar_dynamic,0.3,17,18.31,Yes
596,Mixed,astar_dynamic,0.2,12,10.66,Yes
597,Mixed,astar_dynamic,0.1,23,21.73,Yes
598,Mixed,astar_dynamic,0.2,23,16.0,Yes
600,Mixed,astar_dynamic,0.1,10,9.24,Yes
601,Mixed,astar_dynamic,0.1,18,13.83,Yes
603,Mixed,astar_dynamic,0.1,12,9.83,Yes
604,Mixed,astar_dynamic,0.2,24,18.83,Yes
605,Mixed,astar_dynamic,0.2,28,10.83,Yes
607,Mixed,astar_dynamic,0.2,28,20.24,Yes
608,Mixed,astar_dynamic,0.2,10,9.24,Yes
609,Mixed,astar_dynamic,0.2,13,12.66,Yes
610,Mixed,astar_dynamic,0.2,63,22.83,Yes
611,Mixed,astar_dynamic,0.1,9,8.83,Yes
612,Mixed,astar_dynamic,0.1,21,21.73,Yes
614,Mixed,astar_dynamic,0.2,41,15.07,Yes
616,Mixed,astar_dynamic,0.6,165,31.07,Yes
617,Mixed,astar_dynamic,0.2,26,17.24,Yes
618,Mixed,astar_dynamic,0.2,26,17.07,Yes
621,Mixed,astar_dynamic,0.1,8,8.66,Yes
622,Mixed,astar_dynamic,0.2,18,18.9,Yes
623,Mixed,astar_dynamic,0.3,29,16.66,Yes
624,Mixed,astar_dynamic,0.1,21,11.24,Yes
625,Mixed,astar_dynamic,0.2,17,13.41,Yes
626,Mixed,astar_dynamic,0.1,17,16.83,Yes
627,Mixed,astar_dynamic,0.1,26,15.41,Yes
628,Mixed,astar_dynamic,0.3,57,24.49,Yes
630,Mixed,astar_dynamic,0.1,8,8.24,Yes
631,Mixed,astar_dynamic,0.4,105,24.49,Yes
632,Mixed,astar_dynamic,0.1,11,10.83,Yes
633,Mixed,astar_dynamic,0.1,20,17.9,Yes
634,Mixed,astar_dynamic,0.2,28,12.83,Yes
636,Mixed,astar_dynamic,0.3,48,15.24,Yes
637,Mixed,astar_dynamic,0.0,26,15.24,Yes
639,Mixed,astar_dynamic,0.9,88,32.31,Yes
640,Mixed,astar_dynamic,0.1,8,7.41,Yes
641,Mixed,astar_dynamic,0.1,25,17.24,Yes
642,Mixed,astar_dynamic,0.0,19,21.14,Yes
643,Mixed,astar_dynamic,0.2,46,29.73,Yes
644,Mixed,astar_dynamic,0.1,14,11.24,Yes
645,Mixed,astar_dynamic,0.1,31,24.49,Yes
646,Mixed,astar_dynamic,0.2,12,11.41,Yes
647,Mixed,astar_dynamic,0.1,15,14.66,Yes
648,Mixed,astar_dynamic,0.6,46,21.66,Yes
649,Mixed,astar_dynamic,0.2,20,14.24,Yes
651,Mixed,astar_dynamic,0.1,20,15.41,Yes
652,Mixed,astar_dynamic,0.1,13,11.41,Yes
653,Mixed,astar_dynamic,0.2,53,16.66,Yes
654,Mixed,astar_dynamic,0.3,35,13.83,Yes
655,Mixed,astar_dynamic,0.2,42,17.66,Yes
656,Mixed,astar_dynamic,0.2,10,7.41,Yes
657,Mixed,astar_dynamic,0.2,11,10.0,Yes
659,Mixed,astar_dynamic,0.3,16,12.41,Yes
660,Mixed,astar_dynamic,0.2,8,8.24,Yes
661,Mixed,astar_dynamic,0.2,58,20.66,Yes
662,Mixed,astar_dynamic,0.3,13,10.83,Yes
664,Mixed,astar_dynamic,0.1,15,14.49,Yes
666,Mixed,astar_dynamic,0.5,146,36.24,Yes
669,Mixed,astar_dynamic,0.2,31,13.83,Yes
670,Mixed,astar_dynamic,0.3,44,14.49,Yes
672,Mixed,astar_dynamic,0.2,24,11.83,Yes
675,Mixed,astar_dynamic,0.1,10,9.66,Yes
676,Mixed,astar_dynamic,0.1,25,14.83,Yes
677,Mixed,astar_dynamic,0.1,20,13.41,Yes
679,Mixed,astar_dynamic,0.1,22,15.83,Yes
680,Mixed,astar_dynamic,0.1,8,7.41,Yes
684,Mixed,astar_dynamic,0.1,8,8.66,Yes
685,Mixed,astar_dynamic,0.2,20,10.41,Yes
687,Mixed,astar_dynamic,0.2,15,10.0,Yes
688,Mixed,astar_dynamic,0.1,40,16.83,Yes
689,Mixed,astar_dynamic,0.1,12,13.07,Yes
690,Mixed,astar_dynamic,0.1,13,12.24,Yes
691,Mixed,astar_dynamic,0.1,35,13.83,Yes
693,Mixed,astar_dynamic,0.2,9,8.0,Yes
694,Mixed,astar_dynamic,0.1,12,13.49,Yes
695,Mixed,astar_dynamic,0.1,12,11.24,Yes
696,Mixed,astar_dynamic,0.3,33,15.24,Yes
697,Mixed,astar_dynamic,0.2,14,13.49,Yes
698,Mixed,astar_dynamic,0.1,13,10.83,Yes
700,Mixed,astar_dynamic,0.1,8,8.24,Yes
701,Mixed,astar_dynamic,0.2,27,18.24,Yes
702,Mixed,astar_dynamic,0.1,17,10.41,Yes
703,Mixed,astar_dynamic,0.2,49,17.0,Yes
704,Mixed,astar_dynamic,0.5,11,9.24,Yes
708,Mixed,astar_dynamic,0.8,15,7.83,Yes
709,Mixed,astar_dynamic,0.1,24,19.07,Yes
711,Mixed,astar_dynamic,0.1,61,25.66,Yes
712,Mixed,astar_dynamic,0.1,26,14.41,Yes
713,Mixed,astar_dynamic,0.8,165,35.49,Yes
714,Mixed,astar_dynamic,0.2,9,10.07,Yes
715,Mixed,astar_dynamic,0.2,33,13.83,Yes
717,Mixed,astar_dynamic,0.2,51,16.83,Yes
718,Mixed,astar_dynamic,0.2,17,13.83,Yes
719,Mixed,astar_dynamic,0.3,111,23.49,Yes
