Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,astar_dynamic,0.4,59,25.07,Yes
2,Random,astar_dynamic,0.4,95,23.24,Yes
4,Random,astar_dynamic,0.3,80,17.66,Yes
5,Random,astar_dynamic,0.2,22,12.41,Yes
6,Random,astar_dynamic,0.1,10,9.41,Yes
7,Random,astar_dynamic,0.3,51,16.24,Yes
8,Random,astar_dynamic,0.3,21,19.24,Yes
9,Random,astar_dynamic,0.2,15,9.83,Yes
10,Random,astar_dynamic,0.1,9,8.0,Yes
11,Random,astar_dynamic,0.2,21,19.9,Yes
12,Random,astar_dynamic,0.2,17,15.49,Yes
13,Random,astar_dynamic,0.2,17,17.49,Yes
14,Random,astar_dynamic,0.1,26,25.38,Yes
15,Random,astar_dynamic,0.1,12,11.41,Yes
16,Random,astar_dynamic,0.3,24,9.24,Yes
17,Random,astar_dynamic,0.3,25,25.14,Yes
18,Random,astar_dynamic,0.0,19,10.41,Yes
19,Random,astar_dynamic,0.1,15,10.83,Yes
20,Random,astar_dynamic,0.2,11,9.41,Yes
21,Random,astar_dynamic,0.1,16,13.24,Yes
22,Random,astar_dynamic,0.0,16,13.66,Yes
23,Random,astar_dynamic,0.2,24,13.66,Yes
24,Random,astar_dynamic,0.2,38,16.83,Yes
25,Random,astar_dynamic,0.3,21,14.83,Yes
26,Random,astar_dynamic,0.2,14,8.24,Yes
27,Random,astar_dynamic,0.1,24,20.66,Yes
28,Random,astar_dynamic,0.1,44,20.24,Yes
29,Random,astar_dynamic,0.1,18,13.66,Yes
30,Random,astar_dynamic,0.0,22,12.83,Yes
31,Random,astar_dynamic,0.2,44,18.07,Yes
32,Random,astar_dynamic,0.1,51,17.24,Yes
33,Random,astar_dynamic,0.1,16,12.83,Yes
34,Random,astar_dynamic,0.1,12,11.66,Yes
35,Random,astar_dynamic,0.3,40,22.66,Yes
37,Random,astar_dynamic,0.0,15,15.07,Yes
38,Random,astar_dynamic,0.2,10,9.83,Yes
39,Random,astar_dynamic,0.3,23,14.83,Yes
40,Random,astar_dynamic,0.5,32,17.24,Yes
41,Random,astar_dynamic,0.1,15,10.0,Yes
42,Random,astar_dynamic,0.2,34,14.0,Yes
43,Random,astar_dynamic,0.2,15,9.66,Yes
44,Random,astar_dynamic,0.3,18,15.07,Yes
45,Random,astar_dynamic,0.1,10,7.83,Yes
46,Random,astar_dynamic,0.2,69,23.31,Yes
47,Random,astar_dynamic,0.1,12,12.49,Yes
48,Random,astar_dynamic,0.1,18,18.9,Yes
49,Random,astar_dynamic,0.2,29,14.66,Yes
50,Random,astar_dynamic,0.2,16,13.0,Yes
51,Random,astar_dynamic,0.1,14,10.83,Yes
52,Random,astar_dynamic,0.1,55,21.66,Yes
53,Random,astar_dynamic,0.1,21,19.07,Yes
54,Random,astar_dynamic,0.2,60,18.24,Yes
55,Random,astar_dynamic,0.1,12,9.83,Yes
56,Random,astar_dynamic,0.2,71,22.66,Yes
57,Random,astar_dynamic,0.1,12,11.83,Yes
58,Random,astar_dynamic,0.1,52,17.66,Yes
59,Random,astar_dynamic,0.1,63,16.83,Yes
60,Random,astar_dynamic,0.1,45,17.24,Yes
61,Random,astar_dynamic,0.0,41,20.9,Yes
62,Random,astar_dynamic,0.0,10,10.24,Yes
64,Random,astar_dynamic,0.1,92,26.66,Yes
66,Random,astar_dynamic,0.1,12,10.24,Yes
67,Random,astar_dynamic,0.1,24,15.0,Yes
68,Random,astar_dynamic,0.1,12,10.41,Yes
69,Random,astar_dynamic,0.5,57,17.83,Yes
70,Random,astar_dynamic,0.1,31,20.24,Yes
71,Random,astar_dynamic,0.2,31,17.83,Yes
72,Random,astar_dynamic,0.1,23,12.83,Yes
75,Random,astar_dynamic,0.5,108,37.66,Yes
76,Random,astar_dynamic,0.1,16,11.41,Yes
77,Random,astar_dynamic,0.0,18,16.66,Yes
78,Random,astar_dynamic,0.1,27,19.24,Yes
79,Random,astar_dynamic,0.2,26,16.66,Yes
80,Random,astar_dynamic,0.3,34,22.07,Yes
81,Random,astar_dynamic,0.3,56,20.24,Yes
82,Random,astar_dynamic,0.2,71,29.24,Yes
84,Random,astar_dynamic,0.1,22,19.49,Yes
85,Random,astar_dynamic,0.3,58,24.66,Yes
86,Random,astar_dynamic,0.3,9,8.66,Yes
87,Random,astar_dynamic,0.1,21,11.41,Yes
88,Random,astar_dynamic,0.1,67,15.83,Yes
89,Random,astar_dynamic,0.1,17,9.66,Yes
90,Random,astar_dynamic,0.2,24,10.24,Yes
91,Random,astar_dynamic,0.1,38,18.83,Yes
92,Random,astar_dynamic,0.1,16,13.24,Yes
94,Random,astar_dynamic,0.3,20,12.24,Yes
96,Random,astar_dynamic,0.2,13,10.83,Yes
98,Random,astar_dynamic,0.2,29,12.83,Yes
99,Random,astar_dynamic,0.2,73,23.83,Yes
100,Random,astar_dynamic,0.0,13,14.07,Yes
102,Random,astar_dynamic,0.1,33,19.83,Yes
103,Random,astar_dynamic,0.1,11,10.0,Yes
104,Random,astar_dynamic,0.2,15,10.83,Yes
105,Random,astar_dynamic,0.1,30,10.83,Yes
106,Random,astar_dynamic,0.1,19,15.24,Yes
108,Random,astar_dynamic,0.2,63,19.83,Yes
110,Random,astar_dynamic,0.2,60,23.66,Yes
111,Random,astar_dynamic,0.2,27,13.07,Yes
112,Random,astar_dynamic,0.1,26,10.83,Yes
113,Random,astar_dynamic,0.1,41,16.66,Yes
114,Random,astar_dynamic,0.1,13,11.66,Yes
115,Random,astar_dynamic,0.1,56,18.49,Yes
117,Random,astar_dynamic,0.2,32,19.49,Yes
118,Random,astar_dynamic,0.1,13,8.24,Yes
119,Random,astar_dynamic,0.0,56,17.83,Yes
122,Random,astar_dynamic,0.0,41,20.41,Yes
123,Random,astar_dynamic,0.1,13,11.66,Yes
136,Random,astar_dynamic,0.2,38,15.83,Yes
138,Random,astar_dynamic,0.4,135,35.24,Yes
147,Random,astar_dynamic,0.5,129,56.66,Yes
148,Random,astar_dynamic,0.2,42,16.24,Yes
149,Random,astar_dynamic,0.1,34,15.0,Yes
152,Random,astar_dynamic,0.3,29,17.83,Yes
154,Random,astar_dynamic,0.3,78,28.66,Yes
167,Random,astar_dynamic,0.1,17,13.83,Yes
168,Random,astar_dynamic,0.3,63,18.83,Yes
177,Random,astar_dynamic,0.2,53,16.83,Yes
179,Random,astar_dynamic,0.1,52,17.66,Yes
