Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
361,Clustered,astar,0.1,13,12.41,Yes
362,Clustered,astar,0.1,10,10.66,Yes
363,Clustered,astar,0.1,16,17.31,Yes
364,Clustered,astar,0.1,46,15.41,Yes
365,Clustered,astar,0.1,9,10.07,Yes
366,Clustered,astar,0.2,17,20.14,Yes
367,Clustered,astar,0.2,95,33.56,Yes
368,Clustered,astar,0.5,71,22.66,Yes
369,Clustered,astar,0.1,9,7.66,Yes
370,Clustered,astar,0.4,77,16.66,Yes
371,Clustered,astar,0.2,9,8.0,Yes
372,Clustered,astar,0.1,9,9.24,Yes
373,Clustered,astar,0.2,38,14.07,Yes
374,Clustered,astar,0.2,16,15.24,Yes
375,Clustered,astar,0.2,17,16.31,Yes
376,Clustered,astar,0.4,72,21.07,Yes
377,Clustered,astar,0.1,10,10.24,Yes
378,Clustered,astar,0.2,14,12.49,Yes
379,Clustered,astar,0.3,34,17.41,Yes
380,Clustered,astar,0.5,12,11.24,Yes
381,Clustered,astar,0.3,19,20.07,Yes
382,Clustered,astar,0.1,8,9.49,Yes
383,Clustered,astar,0.1,10,11.07,Yes
384,Clustered,astar,0.1,13,13.66,Yes
385,Clustered,astar,0.2,10,9.0,Yes
386,Clustered,astar,0.2,29,14.66,Yes
387,Clustered,astar,0.3,39,21.24,Yes
389,Clustered,astar,0.2,19,15.07,Yes
390,Clustered,astar,0.2,7,8.07,Yes
391,Clustered,astar,0.1,10,10.66,Yes
392,Clustered,astar,0.2,13,8.0,Yes
393,Clustered,astar,0.2,25,23.56,Yes
394,Clustered,astar,0.1,24,16.66,Yes
395,Clustered,astar,0.2,31,22.66,Yes
396,Clustered,astar,0.2,29,11.41,Yes
397,Clustered,astar,0.2,33,14.41,Yes
398,Clustered,astar,0.3,11,12.07,Yes
399,Clustered,astar,0.4,132,28.49,Yes
401,Clustered,astar,0.3,19,10.83,Yes
402,Clustered,astar,0.2,12,14.31,Yes
403,Clustered,astar,0.1,13,12.41,Yes
404,Clustered,astar,0.2,17,15.24,Yes
406,Clustered,astar,1.1,34,27.66,Yes
407,Clustered,astar,0.2,47,18.24,Yes
408,Clustered,astar,0.3,12,10.24,Yes
409,Clustered,astar,0.2,9,9.66,Yes
410,Clustered,astar,0.2,14,13.66,Yes
411,Clustered,astar,0.2,20,16.66,Yes
412,Clustered,astar,0.2,15,13.49,Yes
413,Clustered,astar,0.2,17,16.83,Yes
414,Clustered,astar,0.2,10,9.41,Yes
415,Clustered,astar,0.2,10,10.24,Yes
416,Clustered,astar,0.4,35,21.49,Yes
417,Clustered,astar,0.2,13,14.07,Yes
418,Clustered,astar,0.3,11,10.0,Yes
419,Clustered,astar,0.2,20,16.66,Yes
421,Clustered,astar,0.2,19,20.73,Yes
422,Clustered,astar,0.3,54,19.66,Yes
423,Clustered,astar,0.0,10,9.0,Yes
424,Clustered,astar,0.0,10,10.24,Yes
425,Clustered,astar,0.0,11,10.41,Yes
426,Clustered,astar,0.2,16,16.66,Yes
430,Clustered,astar,0.3,16,15.66,Yes
431,Clustered,astar,0.3,18,20.56,Yes
432,Clustered,astar,0.2,17,15.24,Yes
434,Clustered,astar,0.1,15,14.9,Yes
435,Clustered,astar,0.1,14,14.66,Yes
436,Clustered,astar,0.4,88,26.24,Yes
437,Clustered,astar,0.7,76,18.31,Yes
438,Clustered,astar,0.2,16,10.0,Yes
440,Clustered,astar,0.2,11,11.24,Yes
443,Clustered,astar,0.1,10,9.41,Yes
444,Clustered,astar,0.1,21,16.24,Yes
445,Clustered,astar,0.2,39,17.66,Yes
446,Clustered,astar,0.3,18,21.14,Yes
450,Clustered,astar,0.2,11,13.73,Yes
451,Clustered,astar,0.2,9,10.49,Yes
452,Clustered,astar,0.3,18,12.83,Yes
453,Clustered,astar,0.1,10,11.07,Yes
454,Clustered,astar,0.3,18,19.49,Yes
455,Clustered,astar,0.2,19,17.9,Yes
457,Clustered,astar,0.2,10,9.41,Yes
458,Clustered,astar,0.2,14,13.0,Yes
459,Clustered,astar,0.1,13,14.07,Yes
460,Clustered,astar,0.4,107,24.31,Yes
462,Clustered,astar,0.2,105,30.49,Yes
463,Clustered,astar,0.2,8,7.41,Yes
464,Clustered,astar,0.4,93,20.66,Yes
465,Clustered,astar,0.2,10,11.9,Yes
467,Clustered,astar,0.2,13,15.31,Yes
468,Clustered,astar,0.2,13,11.66,Yes
469,Clustered,astar,0.2,43,15.83,Yes
470,Clustered,astar,0.2,9,9.66,Yes
471,Clustered,astar,0.3,68,25.41,Yes
472,Clustered,astar,0.2,11,9.41,Yes
474,Clustered,astar,0.1,14,13.0,Yes
475,Clustered,astar,0.1,17,17.9,Yes
476,Clustered,astar,0.1,52,26.24,Yes
478,Clustered,astar,0.2,29,12.24,Yes
479,Clustered,astar,0.2,20,18.31,Yes
480,Clustered,astar,0.2,8,8.66,Yes
481,Clustered,astar,0.2,34,12.24,Yes
483,Clustered,astar,0.1,24,14.24,Yes
485,Clustered,astar,0.3,66,24.49,Yes
486,Clustered,astar,0.2,27,18.66,Yes
487,Clustered,astar,0.3,32,15.66,Yes
488,Clustered,astar,0.2,16,11.83,Yes
489,Clustered,astar,0.2,15,11.24,Yes
491,Clustered,astar,0.2,20,18.49,Yes
493,Clustered,astar,0.3,80,25.31,Yes
495,Clustered,astar,0.4,72,17.24,Yes
499,Clustered,astar,0.1,23,13.24,Yes
500,Clustered,astar,0.1,15,12.24,Yes
501,Clustered,astar,0.2,17,8.41,Yes
502,Clustered,astar,0.2,13,12.24,Yes
506,Clustered,astar,0.2,68,28.07,Yes
507,Clustered,astar,1.0,74,23.24,Yes
510,Clustered,astar,0.3,95,34.31,Yes
512,Clustered,astar,0.2,13,8.83,Yes
513,Clustered,astar,0.2,25,14.07,Yes
519,Clustered,astar,0.3,42,22.24,Yes
521,Clustered,astar,0.2,21,15.24,Yes
523,Clustered,astar,0.3,71,17.83,Yes
525,Clustered,astar,0.2,13,10.66,Yes
526,Clustered,astar,0.2,28,13.83,Yes
529,Clustered,astar,0.2,22,12.0,Yes
531,Clustered,astar,0.1,12,11.41,Yes
532,Clustered,astar,0.2,19,13.83,Yes
535,Clustered,astar,0.4,87,34.24,Yes
539,Clustered,astar,0.1,10,10.66,Yes
540,Clustered,astar,0.3,88,19.83,Yes
