Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
181,Maze,astar,0.3,67,22.83,Yes
182,Maze,astar,0.1,27,14.0,Yes
183,Maze,astar,0.1,17,13.41,Yes
184,Maze,astar,0.5,91,32.24,Yes
185,Maze,astar,0.7,144,37.0,Yes
186,Maze,astar,0.1,92,30.0,Yes
187,Maze,astar,0.2,122,37.41,Yes
188,Maze,astar,0.4,31,14.41,Yes
189,Maze,astar,0.3,78,27.41,Yes
190,Maze,astar,0.1,12,11.0,Yes
191,Maze,astar,0.2,72,22.0,Yes
192,Maze,astar,0.3,130,41.83,Yes
193,Maze,astar,0.4,187,56.83,Yes
194,Maze,astar,0.3,41,16.0,Yes
195,Maze,astar,0.3,63,28.41,Yes
196,Maze,astar,0.2,27,16.41,Yes
197,Maze,astar,0.3,131,32.41,Yes
198,Maze,astar,0.4,179,53.41,Yes
199,Maze,astar,0.4,117,29.0,Yes
200,Maze,astar,0.2,39,19.0,Yes
201,Maze,astar,0.1,23,14.41,Yes
202,Maze,astar,0.2,42,21.0,Yes
203,Maze,astar,0.1,24,16.0,Yes
204,Maze,astar,0.2,29,14.0,Yes
205,Maze,astar,0.4,73,21.41,Yes
206,Maze,astar,0.2,55,22.41,Yes
207,Maze,astar,0.3,111,34.41,Yes
208,Maze,astar,0.4,29,19.41,Yes
209,Maze,astar,0.2,62,26.83,Yes
210,Maze,astar,0.3,202,90.0,Yes
211,Maze,astar,0.2,85,30.24,Yes
212,Maze,astar,0.2,78,29.41,Yes
213,Maze,astar,0.2,59,19.41,Yes
214,Maze,astar,0.2,55,29.0,Yes
215,Maze,astar,0.4,79,22.83,Yes
216,Maze,astar,0.1,72,20.0,Yes
217,Maze,astar,0.2,100,44.83,Yes
218,Maze,astar,0.3,118,34.0,Yes
219,Maze,astar,0.2,158,63.41,Yes
220,Maze,astar,0.2,52,17.0,Yes
221,Maze,astar,0.1,41,18.41,Yes
222,Maze,astar,0.4,121,43.0,Yes
223,Maze,astar,0.3,99,30.41,Yes
224,Maze,astar,0.3,65,39.83,Yes
225,Maze,astar,0.7,191,63.0,Yes
226,Maze,astar,0.2,33,16.41,Yes
227,Maze,astar,0.1,11,10.0,Yes
228,Maze,astar,0.2,60,23.83,Yes
229,Maze,astar,0.6,96,40.0,Yes
230,Maze,astar,0.2,75,30.0,Yes
231,Maze,astar,0.2,46,19.83,Yes
232,Maze,astar,0.1,58,22.83,Yes
233,Maze,astar,0.1,12,11.0,Yes
234,Maze,astar,0.3,110,41.0,Yes
235,Maze,astar,0.1,31,16.83,Yes
236,Maze,astar,0.2,12,9.41,Yes
237,Maze,astar,0.3,115,33.83,Yes
238,Maze,astar,0.2,42,16.0,Yes
239,Maze,astar,0.2,139,52.41,Yes
240,Maze,astar,0.3,19,10.0,Yes
241,Maze,astar,0.4,16,13.0,Yes
242,Maze,astar,0.5,42,18.0,Yes
243,Maze,astar,0.5,52,25.0,Yes
244,Maze,astar,0.2,15,12.0,Yes
245,Maze,astar,0.2,19,10.0,Yes
246,Maze,astar,0.2,177,35.0,Yes
247,Maze,astar,0.4,214,59.41,Yes
248,Maze,astar,0.3,126,32.66,Yes
249,Maze,astar,0.3,126,39.0,Yes
250,Maze,astar,0.3,37,19.0,Yes
251,Maze,astar,0.2,38,16.0,Yes
252,Maze,astar,0.2,82,26.24,Yes
253,Maze,astar,0.1,63,27.0,Yes
254,Maze,astar,0.1,13,10.41,Yes
255,Maze,astar,0.3,46,23.0,Yes
256,Maze,astar,0.5,192,43.83,Yes
257,Maze,astar,0.2,169,47.0,Yes
258,Maze,astar,0.4,202,56.41,Yes
259,Maze,astar,0.1,30,16.41,Yes
260,Maze,astar,0.2,36,23.41,Yes
261,Maze,astar,0.1,23,16.0,Yes
262,Maze,astar,0.2,107,58.0,Yes
263,Maze,astar,0.2,86,40.41,Yes
264,Maze,astar,0.1,35,20.41,Yes
265,Maze,astar,0.1,15,12.0,Yes
266,Maze,astar,0.2,69,26.0,Yes
267,Maze,astar,0.2,37,30.83,Yes
268,Maze,astar,0.2,81,37.0,Yes
269,Maze,astar,0.2,69,19.83,Yes
270,Maze,astar,0.3,97,36.0,Yes
271,Maze,astar,0.2,17,12.0,Yes
272,Maze,astar,0.3,180,49.41,Yes
273,Maze,astar,0.1,17,14.0,Yes
274,Maze,astar,0.4,185,42.41,Yes
275,Maze,astar,0.2,66,24.0,Yes
276,Maze,astar,0.1,49,21.41,Yes
277,Maze,astar,0.1,10,9.41,Yes
278,Maze,astar,0.2,89,37.83,Yes
279,Maze,astar,0.1,17,16.0,Yes
