Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
541,Mixed,astar,0.2,26,25.66,Yes
542,Mixed,astar,0.2,17,14.41,Yes
543,Mixed,astar,0.3,20,14.41,Yes
544,Mixed,astar,0.1,25,13.24,Yes
545,Mixed,astar,0.2,21,21.14,Yes
546,Mixed,astar,1.1,13,14.07,Yes
547,Mixed,astar,0.1,18,17.0,Yes
548,Mixed,astar,0.3,60,21.66,Yes
549,Mixed,astar,0.5,90,18.49,Yes
550,Mixed,astar,0.2,9,8.41,Yes
551,Mixed,astar,0.3,52,23.07,Yes
552,Mixed,astar,0.1,11,10.0,Yes
553,Mixed,astar,0.2,21,19.66,Yes
554,Mixed,astar,0.2,26,20.73,Yes
555,Mixed,astar,0.3,14,13.49,Yes
556,Mixed,astar,0.1,13,12.41,Yes
557,Mixed,astar,0.3,19,13.07,Yes
559,Mixed,astar,0.2,39,20.07,Yes
560,Mixed,astar,0.2,16,9.41,Yes
561,Mixed,astar,0.2,24,15.83,Yes
562,Mixed,astar,0.2,8,8.66,Yes
563,Mixed,astar,0.1,12,9.41,Yes
564,Mixed,astar,0.1,32,16.24,Yes
565,Mixed,astar,0.2,24,13.24,Yes
566,Mixed,astar,0.2,22,14.41,Yes
567,Mixed,astar,0.5,16,13.41,Yes
568,Mixed,astar,0.2,9,8.24,Yes
569,Mixed,astar,0.1,8,8.24,Yes
570,Mixed,astar,0.2,51,17.66,Yes
571,Mixed,astar,0.3,44,16.66,Yes
572,Mixed,astar,0.3,31,19.49,Yes
573,Mixed,astar,0.3,16,15.49,Yes
574,Mixed,astar,0.2,32,26.31,Yes
575,Mixed,astar,0.2,8,7.0,Yes
576,Mixed,astar,0.3,47,18.24,Yes
579,Mixed,astar,0.2,11,10.83,Yes
580,Mixed,astar,0.1,12,11.41,Yes
581,Mixed,astar,0.2,13,8.41,Yes
582,Mixed,astar,0.2,13,8.83,Yes
583,Mixed,astar,0.1,11,10.41,Yes
584,Mixed,astar,0.1,21,20.14,Yes
585,Mixed,astar,0.2,12,11.41,Yes
586,Mixed,astar,0.2,21,18.9,Yes
587,Mixed,astar,0.1,13,14.49,Yes
588,Mixed,astar,0.3,38,22.83,Yes
589,Mixed,astar,0.2,25,23.97,Yes
590,Mixed,astar,0.2,17,10.0,Yes
591,Mixed,astar,0.2,30,12.41,Yes
592,Mixed,astar,0.2,25,16.24,Yes
593,Mixed,astar,0.3,23,9.83,Yes
594,Mixed,astar,0.2,9,10.49,Yes
595,Mixed,astar,0.3,32,17.83,Yes
596,Mixed,astar,0.2,11,8.83,Yes
597,Mixed,astar,0.1,8,7.41,Yes
598,Mixed,astar,0.2,22,12.83,Yes
600,Mixed,astar,0.2,14,14.66,Yes
601,Mixed,astar,0.4,53,23.24,Yes
603,Mixed,astar,0.2,13,15.31,Yes
604,Mixed,astar,0.3,23,15.24,Yes
605,Mixed,astar,0.1,29,26.07,Yes
607,Mixed,astar,0.4,88,30.49,Yes
608,Mixed,astar,0.2,28,20.24,Yes
609,Mixed,astar,0.3,75,20.49,Yes
610,Mixed,astar,0.1,20,14.66,Yes
611,Mixed,astar,0.2,12,11.07,Yes
612,Mixed,astar,0.2,18,10.41,Yes
614,Mixed,astar,0.2,28,14.24,Yes
616,Mixed,astar,0.3,83,28.24,Yes
617,Mixed,astar,0.2,16,14.24,Yes
618,Mixed,astar,0.2,21,16.07,Yes
621,Mixed,astar,0.1,12,10.83,Yes
622,Mixed,astar,0.4,89,26.07,Yes
623,Mixed,astar,0.3,34,19.66,Yes
624,Mixed,astar,0.2,18,20.14,Yes
625,Mixed,astar,0.3,10,9.83,Yes
626,Mixed,astar,0.4,80,20.9,Yes
627,Mixed,astar,0.1,9,8.41,Yes
628,Mixed,astar,0.3,18,17.0,Yes
630,Mixed,astar,0.1,11,10.83,Yes
631,Mixed,astar,0.2,70,21.24,Yes
632,Mixed,astar,0.2,13,13.24,Yes
633,Mixed,astar,0.2,20,9.83,Yes
634,Mixed,astar,0.3,46,16.83,Yes
636,Mixed,astar,0.2,80,23.41,Yes
637,Mixed,astar,0.2,10,10.66,Yes
639,Mixed,astar,0.3,156,28.14,Yes
640,Mixed,astar,0.1,25,15.24,Yes
641,Mixed,astar,0.1,17,14.66,Yes
642,Mixed,astar,0.1,16,14.49,Yes
643,Mixed,astar,0.1,58,19.07,Yes
644,Mixed,astar,0.3,19,11.24,Yes
645,Mixed,astar,0.3,28,19.07,Yes
646,Mixed,astar,0.3,73,22.66,Yes
647,Mixed,astar,0.2,24,18.07,Yes
648,Mixed,astar,0.7,16,11.66,Yes
649,Mixed,astar,0.2,25,20.66,Yes
651,Mixed,astar,0.2,22,20.31,Yes
652,Mixed,astar,0.2,6,7.07,Yes
653,Mixed,astar,0.3,64,22.9,Yes
654,Mixed,astar,0.2,20,19.0,Yes
655,Mixed,astar,0.3,35,16.66,Yes
656,Mixed,astar,0.2,23,19.41,Yes
657,Mixed,astar,0.3,15,15.66,Yes
659,Mixed,astar,0.2,20,11.83,Yes
660,Mixed,astar,0.6,43,17.66,Yes
661,Mixed,astar,0.4,138,41.73,Yes
662,Mixed,astar,0.2,21,19.9,Yes
664,Mixed,astar,0.2,17,15.0,Yes
666,Mixed,astar,0.2,33,21.41,Yes
669,Mixed,astar,0.2,28,18.0,Yes
670,Mixed,astar,0.3,32,10.83,Yes
672,Mixed,astar,0.1,30,19.49,Yes
675,Mixed,astar,0.4,18,12.41,Yes
676,Mixed,astar,0.4,12,12.07,Yes
677,Mixed,astar,0.3,102,28.73,Yes
679,Mixed,astar,0.1,8,7.0,Yes
680,Mixed,astar,0.1,11,9.83,Yes
684,Mixed,astar,0.3,107,20.83,Yes
685,Mixed,astar,1.1,47,23.83,Yes
