Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,astar,0.4,15,13.0,Yes
2,Random,astar,0.4,67,18.07,Yes
4,Random,astar,0.2,28,21.49,Yes
5,Random,astar,0.9,49,20.49,Yes
6,Random,astar,0.4,38,14.24,Yes
7,Random,astar,0.3,17,10.83,Yes
8,Random,astar,0.3,19,16.66,Yes
9,Random,astar,0.5,18,12.66,Yes
10,Random,astar,0.3,27,27.56,Yes
11,Random,astar,0.2,49,18.83,Yes
12,Random,astar,0.1,15,14.41,Yes
13,Random,astar,0.0,48,20.07,Yes
14,Random,astar,0.3,12,12.07,Yes
15,Random,astar,0.1,12,8.41,Yes
16,Random,astar,0.1,23,22.9,Yes
17,Random,astar,0.3,17,9.41,Yes
18,Random,astar,0.1,18,13.24,Yes
19,Random,astar,0.2,9,9.24,Yes
20,Random,astar,0.3,12,10.66,Yes
21,Random,astar,0.2,14,12.66,Yes
22,Random,astar,0.7,35,13.66,Yes
23,Random,astar,0.1,7,7.66,Yes
24,Random,astar,0.3,48,21.24,Yes
25,Random,astar,0.3,13,12.24,Yes
26,Random,astar,0.3,59,20.24,Yes
27,Random,astar,0.2,56,18.66,Yes
28,Random,astar,0.3,33,19.83,Yes
29,Random,astar,0.2,15,15.49,Yes
30,Random,astar,0.3,25,16.41,Yes
31,Random,astar,0.5,14,8.83,Yes
32,Random,astar,0.5,31,14.83,Yes
33,Random,astar,0.1,19,16.9,Yes
34,Random,astar,0.4,9,8.41,Yes
35,Random,astar,0.2,44,20.07,Yes
37,Random,astar,0.3,46,21.24,Yes
38,Random,astar,0.3,17,8.83,Yes
39,Random,astar,0.3,21,15.49,Yes
40,Random,astar,0.2,43,18.49,Yes
41,Random,astar,0.3,25,20.07,Yes
42,Random,astar,0.5,22,11.66,Yes
43,Random,astar,0.2,25,19.66,Yes
44,Random,astar,0.2,19,15.07,Yes
45,Random,astar,0.4,39,18.83,Yes
46,Random,astar,0.9,233,32.73,Yes
47,Random,astar,0.3,18,19.31,Yes
48,Random,astar,0.3,16,11.83,Yes
49,Random,astar,0.3,41,13.83,Yes
50,Random,astar,0.4,13,11.41,Yes
51,Random,astar,0.5,52,25.31,Yes
52,Random,astar,0.2,18,9.41,Yes
53,Random,astar,0.3,41,14.66,Yes
54,Random,astar,0.3,46,20.24,Yes
55,Random,astar,0.1,10,9.41,Yes
56,Random,astar,0.4,8,7.0,Yes
57,Random,astar,0.3,17,16.49,Yes
58,Random,astar,0.2,16,11.41,Yes
59,Random,astar,0.3,37,17.24,Yes
60,Random,astar,0.2,19,13.24,Yes
61,Random,astar,0.2,33,16.83,Yes
62,Random,astar,0.2,23,12.41,Yes
64,Random,astar,0.2,60,17.66,Yes
66,Random,astar,0.2,28,15.24,Yes
67,Random,astar,0.2,33,12.41,Yes
68,Random,astar,0.3,96,29.07,Yes
69,Random,astar,0.2,38,16.9,Yes
70,Random,astar,0.1,41,19.0,Yes
71,Random,astar,0.2,125,35.9,Yes
72,Random,astar,0.6,191,34.07,Yes
75,Random,astar,0.4,35,24.24,Yes
76,Random,astar,0.2,39,11.41,Yes
77,Random,astar,0.2,16,14.24,Yes
78,Random,astar,0.2,58,20.66,Yes
79,Random,astar,0.4,31,15.41,Yes
80,Random,astar,0.4,61,16.83,Yes
81,Random,astar,0.4,23,15.24,Yes
82,Random,astar,0.2,24,15.83,Yes
84,Random,astar,0.2,31,17.24,Yes
85,Random,astar,0.1,41,20.49,Yes
86,Random,astar,0.2,15,11.0,Yes
87,Random,astar,0.3,22,14.83,Yes
88,Random,astar,0.2,35,18.24,Yes
89,Random,astar,0.2,31,15.0,Yes
90,Random,astar,0.5,17,14.66,Yes
91,Random,astar,0.2,23,17.66,Yes
92,Random,astar,0.2,15,11.0,Yes
94,Random,astar,0.3,67,20.83,Yes
96,Random,astar,0.1,38,16.83,Yes
98,Random,astar,0.2,25,11.41,Yes
99,Random,astar,0.4,101,25.83,Yes
100,Random,astar,0.1,23,15.07,Yes
102,Random,astar,0.4,25,13.83,Yes
103,Random,astar,0.2,61,24.07,Yes
104,Random,astar,0.2,66,23.24,Yes
105,Random,astar,0.1,30,14.66,Yes
106,Random,astar,0.2,25,17.41,Yes
108,Random,astar,0.5,76,26.66,Yes
110,Random,astar,0.5,164,26.66,Yes
111,Random,astar,0.2,7,8.07,Yes
112,Random,astar,0.1,60,21.66,Yes
113,Random,astar,0.1,25,12.83,Yes
114,Random,astar,0.1,69,24.66,Yes
115,Random,astar,0.1,16,10.83,Yes
117,Random,astar,0.1,18,13.41,Yes
118,Random,astar,0.3,103,37.07,Yes
119,Random,astar,1.3,112,21.66,Yes
122,Random,astar,0.3,52,28.24,Yes
123,Random,astar,0.2,41,14.41,Yes
136,Random,astar,0.3,75,23.9,Yes
138,Random,astar,0.8,53,24.83,Yes
147,Random,astar,0.3,103,41.66,Yes
148,Random,astar,0.5,119,28.07,Yes
149,Random,astar,0.1,38,18.83,Yes
152,Random,astar,0.3,57,20.41,Yes
154,Random,astar,0.8,35,21.83,Yes
167,Random,astar,0.8,96,27.07,Yes
168,Random,astar,1.6,35,17.83,Yes
177,Random,astar,0.5,12,10.0,Yes
179,Random,astar,0.4,30,24.24,Yes
