Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,astar,0.4,15,13.0,Yes
1,Random,astar_dynamic,0.4,59,25.07,Yes
2,Random,astar,0.4,67,18.07,Yes
2,Random,astar_dynamic,0.4,95,23.24,Yes
4,Random,astar,0.2,28,21.49,Yes
4,Random,astar_dynamic,0.3,80,17.66,Yes
5,Random,astar,0.9,49,20.49,Yes
5,Random,astar_dynamic,0.2,22,12.41,Yes
6,Random,astar,0.4,38,14.24,Yes
6,Random,astar_dynamic,0.1,10,9.41,Yes
7,Random,astar,0.3,17,10.83,Yes
7,Random,astar_dynamic,0.3,51,16.24,Yes
8,Random,astar,0.3,19,16.66,Yes
8,Random,astar_dynamic,0.3,21,19.24,Yes
9,Random,astar,0.5,18,12.66,Yes
9,Random,astar_dynamic,0.2,15,9.83,Yes
10,Random,astar,0.3,27,27.56,Yes
10,Random,astar_dynamic,0.1,9,8.0,Yes
11,Random,astar,0.2,49,18.83,Yes
11,Random,astar_dynamic,0.2,21,19.9,Yes
12,Random,astar,0.1,15,14.41,Yes
12,Random,astar_dynamic,0.2,17,15.49,Yes
13,Random,astar,0.0,48,20.07,Yes
13,Random,astar_dynamic,0.2,17,17.49,Yes
14,Random,astar,0.3,12,12.07,Yes
14,Random,astar_dynamic,0.1,26,25.38,Yes
15,Random,astar,0.1,12,8.41,Yes
15,Random,astar_dynamic,0.1,12,11.41,Yes
16,Random,astar,0.1,23,22.9,Yes
16,Random,astar_dynamic,0.3,24,9.24,Yes
17,Random,astar,0.3,17,9.41,Yes
17,Random,astar_dynamic,0.3,25,25.14,Yes
18,Random,astar,0.1,18,13.24,Yes
18,Random,astar_dynamic,0.0,19,10.41,Yes
19,Random,astar,0.2,9,9.24,Yes
19,Random,astar_dynamic,0.1,15,10.83,Yes
20,Random,astar,0.3,12,10.66,Yes
20,Random,astar_dynamic,0.2,11,9.41,Yes
21,Random,astar,0.2,14,12.66,Yes
21,Random,astar_dynamic,0.1,16,13.24,Yes
22,Random,astar,0.7,35,13.66,Yes
22,Random,astar_dynamic,0.0,16,13.66,Yes
23,Random,astar,0.1,7,7.66,Yes
23,Random,astar_dynamic,0.2,24,13.66,Yes
24,Random,astar,0.3,48,21.24,Yes
24,Random,astar_dynamic,0.2,38,16.83,Yes
25,Random,astar,0.3,13,12.24,Yes
25,Random,astar_dynamic,0.3,21,14.83,Yes
26,Random,astar,0.3,59,20.24,Yes
