Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,ml,0.5,18,12.24,Yes
2,Random,ml,0.4,36,12.41,Yes
3,Random,ml,0.3,22,19.49,Yes
4,Random,ml,0.1,33,12.83,Yes
6,Random,ml,0.2,22,11.83,Yes
7,Random,ml,0.1,8,8.66,Yes
8,Random,ml,0.1,69,20.24,Yes
9,Random,ml,0.2,84,20.24,Yes
10,Random,ml,0.4,111,22.24,Yes
11,Random,ml,0.3,22,16.83,Yes
12,Random,ml,0.4,25,16.83,Yes
13,Random,ml,0.5,73,28.07,Yes
14,Random,ml,0.3,21,15.41,Yes
15,Random,ml,0.1,15,16.07,Yes
16,Random,ml,0.3,14,9.41,Yes
17,Random,ml,0.3,23,11.24,Yes
18,Random,ml,0.3,32,14.41,Yes
19,Random,ml,0.3,11,8.83,Yes
20,Random,ml,2.2,20,10.0,Yes
21,Random,ml,0.3,21,13.24,Yes
22,Random,ml,0.6,39,22.07,Yes
23,Random,ml,0.1,21,14.41,Yes
24,Random,ml,0.3,10,10.24,Yes
25,Random,ml,0.2,39,20.66,Yes
26,Random,ml,0.2,40,19.66,Yes
27,Random,ml,0.5,27,11.0,Yes
28,Random,ml,0.3,28,17.41,Yes
29,Random,ml,0.3,26,12.0,Yes
30,Random,ml,0.1,12,11.83,Yes
31,Random,ml,0.2,60,22.41,Yes
32,Random,ml,0.2,21,10.83,Yes
33,Random,ml,0.4,28,14.24,Yes
34,Random,ml,0.4,11,12.07,Yes
35,Random,ml,0.5,29,21.66,Yes
36,Random,ml,0.5,24,10.41,Yes
37,Random,ml,0.2,41,18.24,Yes
38,Random,ml,0.2,8,7.83,Yes
40,Random,ml,0.2,22,17.07,Yes
41,Random,ml,0.3,48,22.24,Yes
42,Random,ml,0.2,78,23.66,Yes
43,Random,ml,0.1,13,12.66,Yes
44,Random,ml,0.1,20,18.66,Yes
45,Random,ml,0.5,66,17.24,Yes
48,Random,ml,0.2,28,11.66,Yes
49,Random,ml,0.1,19,19.07,Yes
50,Random,ml,0.1,18,13.24,Yes
51,Random,ml,0.3,26,18.07,Yes
52,Random,ml,0.4,18,10.41,Yes
53,Random,ml,0.2,15,15.66,Yes
54,Random,ml,0.3,29,16.83,Yes
55,Random,ml,0.3,34,16.24,Yes
56,Random,ml,0.1,10,10.66,Yes
57,Random,ml,0.3,28,19.49,Yes
58,Random,ml,0.4,13,12.24,Yes
59,Random,ml,0.3,11,8.83,Yes
60,Random,ml,0.5,8,8.66,Yes
61,Random,ml,0.2,16,12.66,Yes
63,Random,ml,0.4,13,10.0,Yes
64,Random,ml,0.4,40,16.83,Yes
66,Random,ml,0.1,21,14.24,Yes
67,Random,ml,0.6,109,23.66,Yes
68,Random,ml,0.2,32,13.41,Yes
70,Random,ml,0.2,10,9.83,Yes
72,Random,ml,0.2,35,19.24,Yes
73,Random,ml,0.2,40,21.83,Yes
74,Random,ml,0.1,50,13.24,Yes
75,Random,ml,0.3,20,11.83,Yes
76,Random,ml,0.3,104,19.24,Yes
77,Random,ml,0.2,57,18.66,Yes
78,Random,ml,0.3,43,22.41,Yes
79,Random,ml,0.3,50,18.41,Yes
82,Random,ml,0.3,35,15.66,Yes
84,Random,ml,0.3,20,12.83,Yes
87,Random,ml,0.3,15,16.49,Yes
89,Random,ml,0.3,78,25.07,Yes
90,Random,ml,0.3,37,14.83,Yes
91,Random,ml,0.1,49,16.41,Yes
92,Random,ml,0.1,34,19.41,Yes
93,Random,ml,0.2,30,27.9,Yes
94,Random,ml,0.1,9,7.41,Yes
95,Random,ml,0.1,19,13.83,Yes
96,Random,ml,0.1,45,17.83,Yes
97,Random,ml,0.1,23,21.66,Yes
98,Random,ml,0.2,8,7.0,Yes
100,Random,ml,0.1,29,17.66,Yes
101,Random,ml,0.1,12,11.83,Yes
102,Random,ml,0.1,39,15.83,Yes
104,Random,ml,0.5,54,17.41,Yes
106,Random,ml,0.5,133,25.07,Yes
107,Random,ml,0.4,122,36.24,Yes
108,Random,ml,0.2,34,20.24,Yes
109,Random,ml,0.4,134,34.9,Yes
110,Random,ml,0.3,20,16.41,Yes
111,Random,ml,0.2,21,15.24,Yes
112,Random,ml,0.3,25,20.73,Yes
114,Random,ml,0.3,18,15.83,Yes
115,Random,ml,0.5,37,15.83,Yes
119,Random,ml,0.4,145,22.41,Yes
120,Random,ml,0.2,21,11.24,Yes
121,Random,ml,0.2,71,31.07,Yes
124,Random,ml,0.3,56,23.24,Yes
128,Random,ml,0.3,55,31.66,Yes
142,Random,ml,0.2,16,9.83,Yes
144,Random,ml,0.1,81,33.07,Yes
169,Random,ml,0.3,26,15.24,Yes
171,Random,ml,0.2,37,19.83,Yes
