Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
361,Clustered,ml_dynamic,0.1,22,20.31,Yes
362,Clustered,ml_dynamic,0.2,18,15.66,Yes
363,Clustered,ml_dynamic,0.1,10,10.24,Yes
364,Clustered,ml_dynamic,0.0,12,13.07,Yes
366,Clustered,ml_dynamic,0.3,133,34.97,Yes
367,Clustered,ml_dynamic,0.2,19,17.66,Yes
368,Clustered,ml_dynamic,0.1,14,9.83,Yes
369,Clustered,ml_dynamic,0.1,14,14.66,Yes
370,Clustered,ml_dynamic,0.7,219,24.24,Yes
371,Clustered,ml_dynamic,0.1,13,10.41,Yes
372,Clustered,ml_dynamic,0.1,32,15.07,Yes
373,Clustered,ml_dynamic,0.1,26,14.41,Yes
374,Clustered,ml_dynamic,0.1,41,19.66,Yes
375,Clustered,ml_dynamic,0.1,9,9.24,Yes
376,Clustered,ml_dynamic,0.1,15,12.07,Yes
377,Clustered,ml_dynamic,0.1,13,13.24,Yes
378,Clustered,ml_dynamic,0.2,31,19.31,Yes
379,Clustered,ml_dynamic,0.1,10,12.73,Yes
380,Clustered,ml_dynamic,0.1,9,9.66,Yes
381,Clustered,ml_dynamic,0.2,36,17.24,Yes
382,Clustered,ml_dynamic,0.3,24,19.24,Yes
383,Clustered,ml_dynamic,0.1,8,7.0,Yes
384,Clustered,ml_dynamic,0.1,14,12.07,Yes
385,Clustered,ml_dynamic,0.3,68,25.66,Yes
387,Clustered,ml_dynamic,0.1,35,12.24,Yes
388,Clustered,ml_dynamic,0.2,20,11.24,Yes
389,Clustered,ml_dynamic,0.1,13,14.49,Yes
390,Clustered,ml_dynamic,0.1,9,8.0,Yes
391,Clustered,ml_dynamic,0.2,59,15.66,Yes
392,Clustered,ml_dynamic,0.0,21,15.24,Yes
393,Clustered,ml_dynamic,0.2,16,10.24,Yes
394,Clustered,ml_dynamic,0.1,11,12.07,Yes
395,Clustered,ml_dynamic,0.2,31,18.9,Yes
396,Clustered,ml_dynamic,0.2,9,9.66,Yes
397,Clustered,ml_dynamic,0.2,38,14.41,Yes
398,Clustered,ml_dynamic,0.1,31,23.97,Yes
400,Clustered,ml_dynamic,0.1,20,18.83,Yes
401,Clustered,ml_dynamic,0.1,13,10.83,Yes
402,Clustered,ml_dynamic,0.2,11,8.83,Yes
403,Clustered,ml_dynamic,0.2,10,9.0,Yes
404,Clustered,ml_dynamic,0.1,22,17.24,Yes
405,Clustered,ml_dynamic,0.9,28,15.66,Yes
406,Clustered,ml_dynamic,0.1,8,7.41,Yes
407,Clustered,ml_dynamic,0.0,19,15.83,Yes
408,Clustered,ml_dynamic,0.1,14,14.24,Yes
409,Clustered,ml_dynamic,0.0,16,13.66,Yes
411,Clustered,ml_dynamic,0.1,14,13.0,Yes
412,Clustered,ml_dynamic,0.1,71,25.07,Yes
413,Clustered,ml_dynamic,0.2,24,21.49,Yes
414,Clustered,ml_dynamic,0.1,57,24.24,Yes
416,Clustered,ml_dynamic,0.1,11,12.49,Yes
417,Clustered,ml_dynamic,0.2,28,23.73,Yes
418,Clustered,ml_dynamic,0.1,19,16.9,Yes
419,Clustered,ml_dynamic,0.2,12,13.07,Yes
420,Clustered,ml_dynamic,0.3,23,14.41,Yes
421,Clustered,ml_dynamic,0.1,8,7.41,Yes
422,Clustered,ml_dynamic,0.1,9,9.24,Yes
423,Clustered,ml_dynamic,0.1,9,8.41,Yes
424,Clustered,ml_dynamic,0.2,11,10.0,Yes
425,Clustered,ml_dynamic,0.2,11,10.83,Yes
426,Clustered,ml_dynamic,0.2,49,16.66,Yes
427,Clustered,ml_dynamic,0.3,19,20.14,Yes
428,Clustered,ml_dynamic,0.1,12,12.66,Yes
429,Clustered,ml_dynamic,0.1,12,14.31,Yes
432,Clustered,ml_dynamic,0.2,11,10.24,Yes
433,Clustered,ml_dynamic,0.1,30,11.66,Yes
434,Clustered,ml_dynamic,0.1,7,8.49,Yes
435,Clustered,ml_dynamic,0.0,13,12.83,Yes
437,Clustered,ml_dynamic,0.2,16,16.24,Yes
438,Clustered,ml_dynamic,0.1,17,19.31,Yes
440,Clustered,ml_dynamic,0.0,10,10.66,Yes
441,Clustered,ml_dynamic,0.3,76,24.07,Yes
442,Clustered,ml_dynamic,0.1,23,21.07,Yes
443,Clustered,ml_dynamic,0.2,13,15.31,Yes
444,Clustered,ml_dynamic,0.6,201,34.73,Yes
446,Clustered,ml_dynamic,0.3,108,22.24,Yes
447,Clustered,ml_dynamic,0.0,10,9.41,Yes
448,Clustered,ml_dynamic,0.0,16,17.07,Yes
449,Clustered,ml_dynamic,0.1,22,22.14,Yes
451,Clustered,ml_dynamic,0.1,14,11.83,Yes
452,Clustered,ml_dynamic,0.0,18,17.0,Yes
453,Clustered,ml_dynamic,0.2,15,14.0,Yes
454,Clustered,ml_dynamic,0.1,23,22.97,Yes
455,Clustered,ml_dynamic,0.1,17,16.41,Yes
456,Clustered,ml_dynamic,0.3,20,13.41,Yes
457,Clustered,ml_dynamic,0.0,9,9.66,Yes
459,Clustered,ml_dynamic,0.1,17,16.73,Yes
460,Clustered,ml_dynamic,0.5,17,16.41,Yes
463,Clustered,ml_dynamic,0.1,16,15.0,Yes
464,Clustered,ml_dynamic,0.3,34,14.41,Yes
465,Clustered,ml_dynamic,0.1,8,8.66,Yes
466,Clustered,ml_dynamic,0.2,21,18.83,Yes
467,Clustered,ml_dynamic,0.1,14,13.83,Yes
468,Clustered,ml_dynamic,0.2,23,16.66,Yes
469,Clustered,ml_dynamic,0.1,12,11.24,Yes
470,Clustered,ml_dynamic,0.2,17,18.31,Yes
471,Clustered,ml_dynamic,0.3,15,15.49,Yes
472,Clustered,ml_dynamic,0.2,11,13.73,Yes
473,Clustered,ml_dynamic,0.1,29,20.9,Yes
474,Clustered,ml_dynamic,0.1,22,13.0,Yes
475,Clustered,ml_dynamic,0.2,11,12.49,Yes
476,Clustered,ml_dynamic,0.2,20,16.49,Yes
479,Clustered,ml_dynamic,0.2,10,10.24,Yes
481,Clustered,ml_dynamic,0.1,18,12.83,Yes
484,Clustered,ml_dynamic,0.4,46,21.66,Yes
485,Clustered,ml_dynamic,0.2,22,14.07,Yes
486,Clustered,ml_dynamic,0.0,15,8.41,Yes
488,Clustered,ml_dynamic,0.3,79,29.49,Yes
489,Clustered,ml_dynamic,0.1,34,13.24,Yes
491,Clustered,ml_dynamic,0.2,29,17.83,Yes
494,Clustered,ml_dynamic,0.1,37,13.41,Yes
495,Clustered,ml_dynamic,0.1,18,12.24,Yes
498,Clustered,ml_dynamic,0.2,64,25.9,Yes
499,Clustered,ml_dynamic,0.1,8,7.41,Yes
