Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
181,Maze,ml_dynamic,0.3,168,45.41,Yes
182,Maze,ml_dynamic,0.1,109,59.0,Yes
183,Maze,ml_dynamic,0.2,82,23.0,Yes
184,Maze,ml_dynamic,0.1,17,10.41,Yes
185,Maze,ml_dynamic,0.1,12,9.41,Yes
186,Maze,ml_dynamic,0.1,58,29.0,Yes
187,Maze,ml_dynamic,0.1,108,28.83,Yes
188,Maze,ml_dynamic,0.2,69,31.41,Yes
189,Maze,ml_dynamic,0.2,189,45.0,Yes
190,Maze,ml_dynamic,0.1,97,33.0,Yes
191,Maze,ml_dynamic,0.1,21,14.0,Yes
192,Maze,ml_dynamic,0.7,190,55.41,Yes
193,Maze,ml_dynamic,0.1,34,15.83,Yes
194,Maze,ml_dynamic,0.0,59,22.0,Yes
195,Maze,ml_dynamic,0.1,42,25.0,Yes
196,Maze,ml_dynamic,0.3,164,40.0,Yes
197,Maze,ml_dynamic,0.0,47,24.0,Yes
198,Maze,ml_dynamic,0.2,96,29.41,Yes
199,Maze,ml_dynamic,0.1,92,40.41,Yes
200,Maze,ml_dynamic,0.2,101,37.0,Yes
201,Maze,ml_dynamic,0.1,45,25.41,Yes
202,Maze,ml_dynamic,0.1,151,37.0,Yes
203,Maze,ml_dynamic,0.1,218,55.83,Yes
204,Maze,ml_dynamic,0.2,23,21.0,Yes
205,Maze,ml_dynamic,0.1,82,34.41,Yes
206,Maze,ml_dynamic,0.0,42,23.0,Yes
207,Maze,ml_dynamic,0.4,118,45.41,Yes
208,Maze,ml_dynamic,0.1,38,24.41,Yes
209,Maze,ml_dynamic,0.3,188,55.41,Yes
210,Maze,ml_dynamic,0.1,144,58.24,Yes
211,Maze,ml_dynamic,0.2,117,38.83,Yes
212,Maze,ml_dynamic,0.8,79,29.41,Yes
213,Maze,ml_dynamic,0.3,181,65.41,Yes
214,Maze,ml_dynamic,0.2,45,25.0,Yes
215,Maze,ml_dynamic,0.2,61,26.0,Yes
216,Maze,ml_dynamic,0.3,82,41.0,Yes
217,Maze,ml_dynamic,0.2,12,9.0,Yes
218,Maze,ml_dynamic,0.1,27,12.0,Yes
219,Maze,ml_dynamic,0.3,115,37.41,Yes
220,Maze,ml_dynamic,0.1,51,18.0,Yes
221,Maze,ml_dynamic,0.0,12,10.0,Yes
222,Maze,ml_dynamic,0.2,178,47.41,Yes
223,Maze,ml_dynamic,0.1,24,16.0,Yes
224,Maze,ml_dynamic,0.6,226,62.0,Yes
225,Maze,ml_dynamic,0.2,38,24.0,Yes
226,Maze,ml_dynamic,0.2,99,55.0,Yes
227,Maze,ml_dynamic,0.2,21,13.41,Yes
228,Maze,ml_dynamic,0.3,31,18.0,Yes
229,Maze,ml_dynamic,0.1,43,21.0,Yes
230,Maze,ml_dynamic,0.1,23,14.0,Yes
231,Maze,ml_dynamic,0.2,11,10.0,Yes
232,Maze,ml_dynamic,0.1,73,26.41,Yes
233,Maze,ml_dynamic,0.2,138,42.24,Yes
234,Maze,ml_dynamic,0.1,116,36.0,Yes
235,Maze,ml_dynamic,0.1,166,68.0,Yes
236,Maze,ml_dynamic,0.1,38,18.41,Yes
237,Maze,ml_dynamic,0.1,78,27.0,Yes
238,Maze,ml_dynamic,0.1,13,9.41,Yes
239,Maze,ml_dynamic,0.2,120,39.0,Yes
240,Maze,ml_dynamic,0.1,35,19.66,Yes
241,Maze,ml_dynamic,0.1,134,55.83,Yes
242,Maze,ml_dynamic,0.2,82,32.83,Yes
243,Maze,ml_dynamic,0.2,110,33.41,Yes
244,Maze,ml_dynamic,0.0,65,35.0,Yes
245,Maze,ml_dynamic,0.0,38,25.83,Yes
247,Maze,ml_dynamic,0.1,52,30.0,Yes
248,Maze,ml_dynamic,0.2,48,24.0,Yes
249,Maze,ml_dynamic,0.2,25,13.0,Yes
250,Maze,ml_dynamic,0.2,37,18.0,Yes
251,Maze,ml_dynamic,0.3,129,36.0,Yes
252,Maze,ml_dynamic,0.2,114,39.41,Yes
253,Maze,ml_dynamic,0.1,25,13.0,Yes
254,Maze,ml_dynamic,0.2,26,18.41,Yes
255,Maze,ml_dynamic,0.1,123,34.0,Yes
256,Maze,ml_dynamic,0.2,100,41.0,Yes
