Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,ml_dynamic,0.3,36,16.24,Yes
2,Random,ml_dynamic,0.2,13,11.24,Yes
3,Random,ml_dynamic,0.1,10,8.24,Yes
4,Random,ml_dynamic,0.2,59,20.49,Yes
6,Random,ml_dynamic,0.1,24,12.0,Yes
7,Random,ml_dynamic,0.1,9,10.49,Yes
8,Random,ml_dynamic,0.0,20,15.66,Yes
9,Random,ml_dynamic,0.2,17,15.83,Yes
10,Random,ml_dynamic,0.1,51,21.07,Yes
11,Random,ml_dynamic,0.2,30,19.66,Yes
12,Random,ml_dynamic,0.2,36,15.24,Yes
13,Random,ml_dynamic,0.2,23,10.24,Yes
14,Random,ml_dynamic,0.2,14,14.9,Yes
15,Random,ml_dynamic,0.2,16,12.24,Yes
16,Random,ml_dynamic,0.4,33,20.0,Yes
17,Random,ml_dynamic,0.2,26,21.9,Yes
18,Random,ml_dynamic,0.1,18,19.31,Yes
19,Random,ml_dynamic,0.1,14,12.07,Yes
20,Random,ml_dynamic,0.0,18,16.9,Yes
21,Random,ml_dynamic,0.1,23,10.83,Yes
22,Random,ml_dynamic,0.2,20,16.49,Yes
23,Random,ml_dynamic,0.1,29,14.07,Yes
24,Random,ml_dynamic,0.1,26,20.31,Yes
25,Random,ml_dynamic,0.3,13,11.24,Yes
26,Random,ml_dynamic,0.1,23,17.66,Yes
27,Random,ml_dynamic,0.1,10,9.66,Yes
28,Random,ml_dynamic,0.1,18,10.41,Yes
29,Random,ml_dynamic,0.3,46,15.83,Yes
30,Random,ml_dynamic,0.1,26,14.83,Yes
31,Random,ml_dynamic,0.1,13,11.83,Yes
32,Random,ml_dynamic,0.0,35,16.24,Yes
33,Random,ml_dynamic,0.1,47,18.24,Yes
34,Random,ml_dynamic,0.2,50,21.66,Yes
35,Random,ml_dynamic,0.2,14,12.41,Yes
36,Random,ml_dynamic,0.3,64,21.49,Yes
37,Random,ml_dynamic,0.3,33,15.83,Yes
38,Random,ml_dynamic,0.5,73,19.49,Yes
40,Random,ml_dynamic,0.4,26,23.49,Yes
41,Random,ml_dynamic,0.2,43,14.83,Yes
42,Random,ml_dynamic,0.1,10,9.83,Yes
43,Random,ml_dynamic,0.2,12,9.41,Yes
44,Random,ml_dynamic,0.2,30,20.9,Yes
45,Random,ml_dynamic,0.2,9,8.41,Yes
48,Random,ml_dynamic,0.3,77,20.66,Yes
49,Random,ml_dynamic,0.1,22,21.9,Yes
50,Random,ml_dynamic,0.3,18,11.83,Yes
