Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,ml,0.5,18,12.24,Yes
1,Random,ml_dynamic,0.3,36,16.24,Yes
2,Random,ml,0.4,36,12.41,Yes
2,Random,ml_dynamic,0.2,13,11.24,Yes
3,Random,ml,0.3,22,19.49,Yes
3,Random,ml_dynamic,0.1,10,8.24,Yes
4,Random,ml,0.1,33,12.83,Yes
4,Random,ml_dynamic,0.2,59,20.49,Yes
6,Random,ml,0.2,22,11.83,Yes
6,Random,ml_dynamic,0.1,24,12.0,Yes
7,Random,ml,0.1,8,8.66,Yes
7,Random,ml_dynamic,0.1,9,10.49,Yes
8,Random,ml,0.1,69,20.24,Yes
8,Random,ml_dynamic,0.0,20,15.66,Yes
9,Random,ml,0.2,84,20.24,Yes
9,Random,ml_dynamic,0.2,17,15.83,Yes
10,Random,ml,0.4,111,22.24,Yes
10,Random,ml_dynamic,0.1,51,21.07,Yes
11,Random,ml,0.3,22,16.83,Yes
11,Random,ml_dynamic,0.2,30,19.66,Yes
12,Random,ml,0.4,25,16.83,Yes
12,Random,ml_dynamic,0.2,36,15.24,Yes
13,Random,ml,0.5,73,28.07,Yes
13,Random,ml_dynamic,0.2,23,10.24,Yes
14,Random,ml,0.3,21,15.41,Yes
14,Random,ml_dynamic,0.2,14,14.9,Yes
15,Random,ml,0.1,15,16.07,Yes
15,Random,ml_dynamic,0.2,16,12.24,Yes
16,Random,ml,0.3,14,9.41,Yes
16,Random,ml_dynamic,0.4,33,20.0,Yes
17,Random,ml,0.3,23,11.24,Yes
17,Random,ml_dynamic,0.2,26,21.9,Yes
18,Random,ml,0.3,32,14.41,Yes
18,Random,ml_dynamic,0.1,18,19.31,Yes
19,Random,ml,0.3,11,8.83,Yes
19,Random,ml_dynamic,0.1,14,12.07,Yes
20,Random,ml,2.2,20,10.0,Yes
20,Random,ml_dynamic,0.0,18,16.9,Yes
21,Random,ml,0.3,21,13.24,Yes
21,Random,ml_dynamic,0.1,23,10.83,Yes
22,Random,ml,0.6,39,22.07,Yes
22,Random,ml_dynamic,0.2,20,16.49,Yes
23,Random,ml,0.1,21,14.41,Yes
23,Random,ml_dynamic,0.1,29,14.07,Yes
24,Random,ml,0.3,10,10.24,Yes
24,Random,ml_dynamic,0.1,26,20.31,Yes
25,Random,ml,0.2,39,20.66,Yes
25,Random,ml_dynamic,0.3,13,11.24,Yes
26,Random,ml,0.2,40,19.66,Yes
26,Random,ml_dynamic,0.1,23,17.66,Yes
27,Random,ml,0.5,27,11.0,Yes
27,Random,ml_dynamic,0.1,10,9.66,Yes
28,Random,ml,0.3,28,17.41,Yes
28,Random,ml_dynamic,0.1,18,10.41,Yes
29,Random,ml,0.3,26,12.0,Yes
29,Random,ml_dynamic,0.3,46,15.83,Yes
30,Random,ml,0.1,12,11.83,Yes
30,Random,ml_dynamic,0.1,26,14.83,Yes
31,Random,ml,0.2,60,22.41,Yes
31,Random,ml_dynamic,0.1,13,11.83,Yes
32,Random,ml,0.2,21,10.83,Yes
32,Random,ml_dynamic,0.0,35,16.24,Yes
33,Random,ml,0.4,28,14.24,Yes
33,Random,ml_dynamic,0.1,47,18.24,Yes
34,Random,ml,0.4,11,12.07,Yes
34,Random,ml_dynamic,0.2,50,21.66,Yes
35,Random,ml,0.5,29,21.66,Yes
35,Random,ml_dynamic,0.2,14,12.41,Yes
36,Random,ml,0.5,24,10.41,Yes
36,Random,ml_dynamic,0.3,64,21.49,Yes
37,Random,ml,0.2,41,18.24,Yes
37,Random,ml_dynamic,0.3,33,15.83,Yes
38,Random,ml,0.2,8,7.83,Yes
38,Random,ml_dynamic,0.5,73,19.49,Yes
40,Random,ml,0.2,22,17.07,Yes
40,Random,ml_dynamic,0.4,26,23.49,Yes
41,Random,ml,0.3,48,22.24,Yes
41,Random,ml_dynamic,0.2,43,14.83,Yes
42,Random,ml,0.2,78,23.66,Yes
42,Random,ml_dynamic,0.1,10,9.83,Yes
43,Random,ml,0.1,13,12.66,Yes
43,Random,ml_dynamic,0.2,12,9.41,Yes
44,Random,ml,0.1,20,18.66,Yes
44,Random,ml_dynamic,0.2,30,20.9,Yes
45,Random,ml,0.5,66,17.24,Yes
45,Random,ml_dynamic,0.2,9,8.41,Yes
48,Random,ml,0.2,28,11.66,Yes
48,Random,ml_dynamic,0.3,77,20.66,Yes
49,Random,ml,0.1,19,19.07,Yes
49,Random,ml_dynamic,0.1,22,21.9,Yes
50,Random,ml,0.1,18,13.24,Yes
50,Random,ml_dynamic,0.3,18,11.83,Yes
51,Random,ml,0.3,26,18.07,Yes
51,Random,ml_dynamic,0.2,11,12.49,Yes
52,Random,ml,0.4,18,10.41,Yes
52,Random,ml_dynamic,0.4,65,19.66,Yes
53,Random,ml,0.2,15,15.66,Yes
53,Random,ml_dynamic,0.0,23,21.07,Yes
54,Random,ml,0.3,29,16.83,Yes
54,Random,ml_dynamic,0.1,15,9.83,Yes
55,Random,ml,0.3,34,16.24,Yes
55,Random,ml_dynamic,0.7,24,13.24,Yes
56,Random,ml,0.1,10,10.66,Yes
56,Random,ml_dynamic,0.1,40,15.41,Yes
57,Random,ml,0.3,28,19.49,Yes
57,Random,ml_dynamic,0.2,8,8.24,Yes
58,Random,ml,0.4,13,12.24,Yes
58,Random,ml_dynamic,0.2,79,18.24,Yes
59,Random,ml,0.3,11,8.83,Yes
59,Random,ml_dynamic,0.2,11,12.49,Yes
60,Random,ml,0.5,8,8.66,Yes
60,Random,ml_dynamic,0.1,20,14.24,Yes
61,Random,ml,0.2,16,12.66,Yes
61,Random,ml_dynamic,0.0,20,14.83,Yes
63,Random,ml,0.4,13,10.0,Yes
63,Random,ml_dynamic,0.2,10,11.07,Yes
64,Random,ml,0.4,40,16.83,Yes
64,Random,ml_dynamic,0.2,28,15.83,Yes
66,Random,ml,0.1,21,14.24,Yes
66,Random,ml_dynamic,0.1,22,12.83,Yes
67,Random,ml,0.6,109,23.66,Yes
67,Random,ml_dynamic,0.3,121,26.66,Yes
68,Random,ml,0.2,32,13.41,Yes
68,Random,ml_dynamic,0.2,31,17.66,Yes
70,Random,ml,0.2,10,9.83,Yes
70,Random,ml_dynamic,0.4,65,23.24,Yes
72,Random,ml,0.2,35,19.24,Yes
72,Random,ml_dynamic,0.1,49,23.24,Yes
73,Random,ml,0.2,40,21.83,Yes
73,Random,ml_dynamic,0.1,43,18.66,Yes
74,Random,ml,0.1,50,13.24,Yes
74,Random,ml_dynamic,0.3,32,18.49,Yes
75,Random,ml,0.3,20,11.83,Yes
75,Random,ml_dynamic,0.1,26,22.24,Yes
76,Random,ml,0.3,104,19.24,Yes
76,Random,ml_dynamic,0.0,30,15.66,Yes
77,Random,ml,0.2,57,18.66,Yes
77,Random,ml_dynamic,0.2,27,15.41,Yes
78,Random,ml,0.3,43,22.41,Yes
78,Random,ml_dynamic,0.1,67,23.83,Yes
79,Random,ml,0.3,50,18.41,Yes
79,Random,ml_dynamic,0.1,96,19.83,Yes
82,Random,ml,0.3,35,15.66,Yes
82,Random,ml_dynamic,0.3,67,25.66,Yes
84,Random,ml,0.3,20,12.83,Yes
84,Random,ml_dynamic,0.1,24,13.83,Yes
87,Random,ml,0.3,15,16.49,Yes
87,Random,ml_dynamic,0.0,11,8.41,Yes
89,Random,ml,0.3,78,25.07,Yes
89,Random,ml_dynamic,0.4,211,43.56,Yes
90,Random,ml,0.3,37,14.83,Yes
90,Random,ml_dynamic,0.1,22,19.07,Yes
91,Random,ml,0.1,49,16.41,Yes
91,Random,ml_dynamic,0.1,15,10.83,Yes
92,Random,ml,0.1,34,19.41,Yes
92,Random,ml_dynamic,0.1,28,16.24,Yes
93,Random,ml,0.2,30,27.9,Yes
93,Random,ml_dynamic,0.1,23,13.41,Yes
94,Random,ml,0.1,9,7.41,Yes
94,Random,ml_dynamic,0.1,31,20.31,Yes
95,Random,ml,0.1,19,13.83,Yes
95,Random,ml_dynamic,0.1,14,8.83,Yes
96,Random,ml,0.1,45,17.83,Yes
96,Random,ml_dynamic,0.0,20,12.41,Yes
97,Random,ml,0.1,23,21.66,Yes
97,Random,ml_dynamic,0.0,50,19.24,Yes
98,Random,ml,0.2,8,7.0,Yes
98,Random,ml_dynamic,0.1,16,11.0,Yes
100,Random,ml,0.1,29,17.66,Yes
100,Random,ml_dynamic,0.1,16,11.41,Yes
101,Random,ml,0.1,12,11.83,Yes
101,Random,ml_dynamic,0.0,14,10.83,Yes
102,Random,ml,0.1,39,15.83,Yes
102,Random,ml_dynamic,0.1,28,18.24,Yes
104,Random,ml,0.5,54,17.41,Yes
104,Random,ml_dynamic,0.2,17,15.66,Yes
106,Random,ml,0.5,133,25.07,Yes
106,Random,ml_dynamic,0.1,21,9.83,Yes
107,Random,ml,0.4,122,36.24,Yes
107,Random,ml_dynamic,0.2,10,10.66,Yes
108,Random,ml,0.2,34,20.24,Yes
108,Random,ml_dynamic,0.2,16,10.41,Yes
109,Random,ml,0.4,134,34.9,Yes
109,Random,ml_dynamic,0.2,79,21.9,Yes
110,Random,ml,0.3,20,16.41,Yes
110,Random,ml_dynamic,0.3,73,24.66,Yes
111,Random,ml,0.2,21,15.24,Yes
111,Random,ml_dynamic,0.1,25,18.83,Yes
112,Random,ml,0.3,25,20.73,Yes
112,Random,ml_dynamic,0.2,14,14.07,Yes
114,Random,ml,0.3,18,15.83,Yes
114,Random,ml_dynamic,0.1,12,13.49,Yes
115,Random,ml,0.5,37,15.83,Yes
115,Random,ml_dynamic,0.2,34,17.24,Yes
119,Random,ml,0.4,145,22.41,Yes
119,Random,ml_dynamic,0.4,9,8.83,Yes
120,Random,ml,0.2,21,11.24,Yes
120,Random,ml_dynamic,0.2,31,14.83,Yes
121,Random,ml,0.2,71,31.07,Yes
121,Random,ml_dynamic,0.1,83,42.49,Yes
124,Random,ml,0.3,56,23.24,Yes
124,Random,ml_dynamic,0.2,64,26.41,Yes
128,Random,ml,0.3,55,31.66,Yes
128,Random,ml_dynamic,0.1,18,11.0,Yes
142,Random,ml,0.2,16,9.83,Yes
142,Random,ml_dynamic,1.0,41,20.07,Yes
