Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
361,Clustered,ml,0.3,83,20.31,Yes
362,Clustered,ml,0.0,8,7.83,Yes
363,Clustered,ml,0.5,11,10.83,Yes
364,Clustered,ml,0.1,13,14.07,Yes
366,Clustered,ml,0.4,134,26.24,Yes
367,Clustered,ml,0.7,41,19.24,Yes
368,Clustered,ml,0.2,24,23.73,Yes
369,Clustered,ml,0.2,18,20.14,Yes
370,Clustered,ml,0.2,9,10.49,Yes
371,Clustered,ml,0.2,61,19.24,Yes
372,Clustered,ml,0.1,19,18.66,Yes
373,Clustered,ml,0.3,90,17.9,Yes
374,Clustered,ml,0.3,11,11.07,Yes
375,Clustered,ml,0.4,14,15.07,Yes
376,Clustered,ml,0.2,14,15.07,Yes
377,Clustered,ml,0.3,16,19.14,Yes
378,Clustered,ml,0.4,12,14.73,Yes
379,Clustered,ml,0.3,43,16.24,Yes
380,Clustered,ml,0.2,22,16.41,Yes
381,Clustered,ml,0.2,12,11.83,Yes
382,Clustered,ml,0.2,37,24.49,Yes
383,Clustered,ml,0.2,32,22.24,Yes
384,Clustered,ml,0.2,11,10.41,Yes
385,Clustered,ml,0.1,19,22.14,Yes
387,Clustered,ml,0.3,15,15.66,Yes
388,Clustered,ml,0.3,20,21.97,Yes
389,Clustered,ml,0.1,22,15.49,Yes
390,Clustered,ml,0.2,52,14.83,Yes
391,Clustered,ml,0.4,51,20.66,Yes
392,Clustered,ml,0.4,132,24.31,Yes
393,Clustered,ml,0.2,29,19.24,Yes
394,Clustered,ml,0.1,14,15.9,Yes
395,Clustered,ml,0.4,21,17.07,Yes
396,Clustered,ml,0.4,42,24.66,Yes
397,Clustered,ml,0.2,18,16.66,Yes
398,Clustered,ml,0.2,8,9.49,Yes
400,Clustered,ml,0.2,16,17.49,Yes
401,Clustered,ml,0.3,14,10.83,Yes
402,Clustered,ml,0.2,35,17.24,Yes
403,Clustered,ml,0.1,11,11.66,Yes
404,Clustered,ml,0.2,10,10.66,Yes
405,Clustered,ml,0.2,18,17.83,Yes
406,Clustered,ml,0.2,9,8.66,Yes
407,Clustered,ml,0.2,17,18.07,Yes
408,Clustered,ml,0.3,9,10.9,Yes
409,Clustered,ml,0.2,33,19.24,Yes
411,Clustered,ml,0.2,10,11.9,Yes
412,Clustered,ml,0.3,13,13.66,Yes
413,Clustered,ml,0.2,36,18.24,Yes
414,Clustered,ml,0.1,24,12.24,Yes
416,Clustered,ml,0.2,30,23.07,Yes
417,Clustered,ml,0.2,20,19.31,Yes
418,Clustered,ml,0.1,20,20.66,Yes
419,Clustered,ml,0.3,48,20.49,Yes
420,Clustered,ml,0.1,8,8.24,Yes
421,Clustered,ml,0.1,15,14.24,Yes
422,Clustered,ml,0.1,19,11.0,Yes
423,Clustered,ml,0.3,15,10.24,Yes
424,Clustered,ml,0.2,11,11.66,Yes
