Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
181,Maze,ml,0.5,63,30.0,Yes
182,Maze,ml,0.1,28,19.0,Yes
183,Maze,ml,0.4,209,93.41,Yes
184,Maze,ml,0.2,37,14.0,Yes
185,Maze,ml,0.5,76,27.0,Yes
186,Maze,ml,0.2,25,13.0,Yes
187,Maze,ml,0.1,50,29.0,Yes
188,Maze,ml,0.1,119,32.83,Yes
189,Maze,ml,0.1,17,14.41,Yes
190,Maze,ml,0.1,54,17.41,Yes
191,Maze,ml,0.1,32,17.0,Yes
192,Maze,ml,0.2,27,13.0,Yes
193,Maze,ml,0.2,17,12.0,Yes
194,Maze,ml,0.1,129,36.0,Yes
195,Maze,ml,0.1,17,13.0,Yes
196,Maze,ml,0.1,33,16.41,Yes
197,Maze,ml,0.2,66,34.41,Yes
198,Maze,ml,0.1,33,17.0,Yes
199,Maze,ml,0.3,100,35.41,Yes
200,Maze,ml,0.3,89,40.0,Yes
201,Maze,ml,0.3,34,20.41,Yes
202,Maze,ml,0.1,159,36.83,Yes
203,Maze,ml,0.2,83,27.41,Yes
204,Maze,ml,0.2,97,27.0,Yes
205,Maze,ml,0.2,99,26.83,Yes
206,Maze,ml,0.1,87,23.41,Yes
207,Maze,ml,0.2,10,9.41,Yes
208,Maze,ml,0.3,107,35.66,Yes
209,Maze,ml,0.2,13,10.41,Yes
210,Maze,ml,0.4,191,71.07,Yes
211,Maze,ml,0.2,35,17.0,Yes
212,Maze,ml,0.2,26,17.41,Yes
213,Maze,ml,0.2,23,11.0,Yes
214,Maze,ml,0.2,48,21.0,Yes
215,Maze,ml,0.3,129,38.83,Yes
216,Maze,ml,0.2,41,21.41,Yes
217,Maze,ml,0.3,185,59.41,Yes
218,Maze,ml,0.3,71,24.0,Yes
219,Maze,ml,0.7,206,59.0,Yes
220,Maze,ml,0.3,69,26.0,Yes
221,Maze,ml,0.1,42,22.0,Yes
222,Maze,ml,0.3,166,50.83,Yes
223,Maze,ml,0.2,105,31.41,Yes
224,Maze,ml,0.3,202,75.83,Yes
225,Maze,ml,0.2,146,42.0,Yes
226,Maze,ml,0.2,119,51.83,Yes
227,Maze,ml,0.1,58,29.41,Yes
228,Maze,ml,0.2,53,28.41,Yes
229,Maze,ml,0.3,157,34.41,Yes
230,Maze,ml,0.2,33,15.41,Yes
231,Maze,ml,0.3,94,29.0,Yes
232,Maze,ml,0.3,96,49.83,Yes
233,Maze,ml,0.5,32,20.41,Yes
234,Maze,ml,0.3,126,41.83,Yes
235,Maze,ml,0.7,145,59.0,Yes
236,Maze,ml,0.2,90,26.83,Yes
237,Maze,ml,0.1,40,17.0,Yes
238,Maze,ml,0.2,187,51.66,Yes
239,Maze,ml,0.1,46,29.0,Yes
240,Maze,ml,0.4,116,40.83,Yes
241,Maze,ml,0.2,56,27.0,Yes
242,Maze,ml,0.1,66,38.0,Yes
243,Maze,ml,0.2,36,19.83,Yes
244,Maze,ml,0.4,101,35.0,Yes
245,Maze,ml,0.1,147,43.0,Yes
247,Maze,ml,0.1,70,23.41,Yes
248,Maze,ml,0.9,119,34.0,Yes
249,Maze,ml,0.6,213,60.41,Yes
250,Maze,ml,0.4,18,15.0,Yes
251,Maze,ml,0.1,30,17.0,Yes
252,Maze,ml,0.2,14,9.41,Yes
253,Maze,ml,0.2,126,35.0,Yes
254,Maze,ml,0.2,37,22.0,Yes
255,Maze,ml,0.1,36,17.83,Yes
256,Maze,ml,0.5,165,55.24,Yes
257,Maze,ml,0.4,91,38.41,Yes
