Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
541,Mixed,ml,0.1,34,16.83,Yes
542,Mixed,ml,0.2,20,14.24,Yes
543,Mixed,ml,0.2,16,12.83,Yes
544,Mixed,ml,0.3,13,11.07,Yes
545,Mixed,ml,0.1,27,13.83,Yes
546,Mixed,ml,0.0,15,11.83,Yes
547,Mixed,ml,0.2,9,7.83,Yes
548,Mixed,ml,0.2,34,19.07,Yes
549,Mixed,ml,0.1,9,9.24,Yes
551,Mixed,ml,0.2,30,17.66,Yes
552,Mixed,ml,0.2,12,11.0,Yes
553,Mixed,ml,0.2,25,14.24,Yes
554,Mixed,ml,0.2,27,17.07,Yes
555,Mixed,ml,0.2,17,18.31,Yes
556,Mixed,ml,0.2,13,9.41,Yes
557,Mixed,ml,0.2,14,10.24,Yes
558,Mixed,ml,0.3,41,14.24,Yes
559,Mixed,ml,0.1,18,13.83,Yes
560,Mixed,ml,0.3,14,10.83,Yes
561,Mixed,ml,0.1,10,10.66,Yes
562,Mixed,ml,0.2,18,16.07,Yes
563,Mixed,ml,0.2,20,10.24,Yes
564,Mixed,ml,0.3,19,19.73,Yes
565,Mixed,ml,0.1,10,8.24,Yes
566,Mixed,ml,0.2,12,9.24,Yes
568,Mixed,ml,0.3,87,28.56,Yes
569,Mixed,ml,0.3,45,21.66,Yes
571,Mixed,ml,0.4,22,12.24,Yes
572,Mixed,ml,0.3,18,9.83,Yes
573,Mixed,ml,0.4,28,16.83,Yes
575,Mixed,ml,0.2,20,12.24,Yes
576,Mixed,ml,0.2,12,10.41,Yes
577,Mixed,ml,0.4,25,17.24,Yes
578,Mixed,ml,0.2,14,10.83,Yes
579,Mixed,ml,0.1,9,8.0,Yes
580,Mixed,ml,0.3,81,17.24,Yes
581,Mixed,ml,0.2,26,16.66,Yes
582,Mixed,ml,0.2,41,23.31,Yes
583,Mixed,ml,0.2,12,11.83,Yes
584,Mixed,ml,0.2,23,16.49,Yes
585,Mixed,ml,0.1,32,12.83,Yes
586,Mixed,ml,0.2,10,9.0,Yes
587,Mixed,ml,0.2,22,19.49,Yes
588,Mixed,ml,0.5,8,7.41,Yes
589,Mixed,ml,0.1,15,13.41,Yes
590,Mixed,ml,0.2,8,7.41,Yes
592,Mixed,ml,0.1,30,14.24,Yes
593,Mixed,ml,0.2,9,8.66,Yes
594,Mixed,ml,0.1,10,9.66,Yes
595,Mixed,ml,0.2,15,13.49,Yes
596,Mixed,ml,0.4,12,7.83,Yes
597,Mixed,ml,0.1,21,24.56,Yes
598,Mixed,ml,0.2,39,14.83,Yes
599,Mixed,ml,0.2,18,17.73,Yes
600,Mixed,ml,0.1,9,9.66,Yes
601,Mixed,ml,0.3,22,11.83,Yes
602,Mixed,ml,0.2,19,12.83,Yes
603,Mixed,ml,0.3,14,9.66,Yes
604,Mixed,ml,0.2,19,10.83,Yes
605,Mixed,ml,0.6,69,25.83,Yes
606,Mixed,ml,0.2,9,8.41,Yes
609,Mixed,ml,0.3,24,12.83,Yes
610,Mixed,ml,0.1,17,9.0,Yes
611,Mixed,ml,0.1,24,14.41,Yes
612,Mixed,ml,0.3,45,14.24,Yes
613,Mixed,ml,0.2,11,10.41,Yes
615,Mixed,ml,0.2,37,16.07,Yes
617,Mixed,ml,0.2,29,13.83,Yes
618,Mixed,ml,0.3,22,15.66,Yes
619,Mixed,ml,0.2,11,12.49,Yes
622,Mixed,ml,0.3,14,11.66,Yes
623,Mixed,ml,0.1,11,9.41,Yes
624,Mixed,ml,0.2,14,10.83,Yes
625,Mixed,ml,0.2,12,7.83,Yes
626,Mixed,ml,0.2,22,21.24,Yes
627,Mixed,ml,0.3,46,18.66,Yes
629,Mixed,ml,0.3,18,15.24,Yes
630,Mixed,ml,0.1,22,14.83,Yes
631,Mixed,ml,0.2,55,16.49,Yes
632,Mixed,ml,0.2,13,10.66,Yes
