Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
541,Mixed,ml_dynamic,0.1,26,13.83,Yes
542,Mixed,ml_dynamic,0.1,14,13.24,Yes
543,Mixed,ml_dynamic,0.1,10,9.41,Yes
544,Mixed,ml_dynamic,0.1,11,9.66,Yes
545,Mixed,ml_dynamic,0.1,47,14.83,Yes
546,Mixed,ml_dynamic,0.1,19,14.66,Yes
547,Mixed,ml_dynamic,0.1,17,18.49,Yes
548,Mixed,ml_dynamic,0.1,11,10.0,Yes
549,Mixed,ml_dynamic,0.1,19,16.49,Yes
551,Mixed,ml_dynamic,0.1,16,13.24,Yes
552,Mixed,ml_dynamic,0.2,9,8.66,Yes
553,Mixed,ml_dynamic,0.3,31,20.9,Yes
554,Mixed,ml_dynamic,0.2,12,12.66,Yes
555,Mixed,ml_dynamic,0.1,16,11.83,Yes
556,Mixed,ml_dynamic,0.1,9,9.66,Yes
557,Mixed,ml_dynamic,0.1,52,16.83,Yes
558,Mixed,ml_dynamic,0.1,26,15.49,Yes
559,Mixed,ml_dynamic,0.2,22,16.24,Yes
560,Mixed,ml_dynamic,0.2,28,22.9,Yes
561,Mixed,ml_dynamic,0.2,24,9.07,Yes
562,Mixed,ml_dynamic,0.1,16,17.31,Yes
563,Mixed,ml_dynamic,0.1,16,13.41,Yes
564,Mixed,ml_dynamic,0.1,13,10.24,Yes
565,Mixed,ml_dynamic,0.1,10,9.83,Yes
566,Mixed,ml_dynamic,0.2,17,18.73,Yes
568,Mixed,ml_dynamic,0.2,31,14.83,Yes
569,Mixed,ml_dynamic,0.1,17,8.41,Yes
571,Mixed,ml_dynamic,0.1,33,15.41,Yes
572,Mixed,ml_dynamic,0.1,17,11.83,Yes
573,Mixed,ml_dynamic,0.3,15,17.14,Yes
575,Mixed,ml_dynamic,0.2,13,13.66,Yes
576,Mixed,ml_dynamic,0.2,30,22.66,Yes
577,Mixed,ml_dynamic,0.1,16,10.83,Yes
578,Mixed,ml_dynamic,0.1,16,15.49,Yes
579,Mixed,ml_dynamic,0.1,21,14.24,Yes
580,Mixed,ml_dynamic,0.3,107,25.07,Yes
581,Mixed,ml_dynamic,0.1,13,9.41,Yes
582,Mixed,ml_dynamic,0.2,30,20.66,Yes
583,Mixed,ml_dynamic,0.2,20,19.14,Yes
584,Mixed,ml_dynamic,0.2,28,24.56,Yes
585,Mixed,ml_dynamic,0.2,13,7.41,Yes
586,Mixed,ml_dynamic,0.1,14,14.9,Yes
587,Mixed,ml_dynamic,0.3,42,16.41,Yes
588,Mixed,ml_dynamic,0.1,13,12.83,Yes
589,Mixed,ml_dynamic,0.1,19,14.83,Yes
590,Mixed,ml_dynamic,0.1,16,16.07,Yes
592,Mixed,ml_dynamic,0.1,26,13.83,Yes
593,Mixed,ml_dynamic,0.2,18,12.24,Yes
594,Mixed,ml_dynamic,0.1,16,12.24,Yes
595,Mixed,ml_dynamic,0.2,13,8.41,Yes
596,Mixed,ml_dynamic,0.1,9,10.07,Yes
597,Mixed,ml_dynamic,0.2,9,8.41,Yes
598,Mixed,ml_dynamic,0.1,12,11.0,Yes
599,Mixed,ml_dynamic,0.1,10,10.49,Yes
600,Mixed,ml_dynamic,0.4,32,19.9,Yes
601,Mixed,ml_dynamic,0.1,10,10.24,Yes
602,Mixed,ml_dynamic,0.1,14,14.24,Yes
603,Mixed,ml_dynamic,0.3,15,11.24,Yes
604,Mixed,ml_dynamic,0.2,20,13.83,Yes
605,Mixed,ml_dynamic,0.2,38,14.24,Yes
606,Mixed,ml_dynamic,0.1,18,15.24,Yes
609,Mixed,ml_dynamic,0.2,24,20.83,Yes
610,Mixed,ml_dynamic,0.2,12,11.66,Yes
611,Mixed,ml_dynamic,0.2,32,10.83,Yes
612,Mixed,ml_dynamic,0.1,9,7.41,Yes
613,Mixed,ml_dynamic,0.2,24,14.83,Yes
615,Mixed,ml_dynamic,0.0,15,10.83,Yes
617,Mixed,ml_dynamic,0.1,11,11.07,Yes
618,Mixed,ml_dynamic,0.1,15,11.66,Yes
619,Mixed,ml_dynamic,0.2,28,10.66,Yes
622,Mixed,ml_dynamic,0.0,8,8.24,Yes
623,Mixed,ml_dynamic,0.1,13,12.66,Yes
624,Mixed,ml_dynamic,0.2,11,10.0,Yes
625,Mixed,ml_dynamic,0.2,8,8.66,Yes
626,Mixed,ml_dynamic,0.3,15,11.41,Yes
627,Mixed,ml_dynamic,0.2,50,23.49,Yes
629,Mixed,ml_dynamic,0.0,36,20.83,Yes
630,Mixed,ml_dynamic,0.1,24,13.83,Yes
631,Mixed,ml_dynamic,0.2,24,10.0,Yes
632,Mixed,ml_dynamic,0.2,22,10.66,Yes
