Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
361,Clustered,ml_dynamic,0.3,18,14.0,Yes
362,Clustered,ml_dynamic,0.2,23,15.24,Yes
363,Clustered,ml_dynamic,0.5,65,20.07,Yes
365,Clustered,ml_dynamic,0.3,19,19.24,Yes
366,Clustered,ml_dynamic,0.3,71,22.83,Yes
367,Clustered,ml_dynamic,0.1,12,11.83,Yes
368,Clustered,ml_dynamic,0.3,16,9.41,Yes
369,Clustered,ml_dynamic,0.2,26,25.49,Yes
370,Clustered,ml_dynamic,0.2,49,15.66,Yes
371,Clustered,ml_dynamic,0.2,17,16.41,Yes
372,Clustered,ml_dynamic,0.5,9,9.66,Yes
373,Clustered,ml_dynamic,0.2,10,10.66,Yes
374,Clustered,ml_dynamic,0.6,29,14.66,Yes
375,Clustered,ml_dynamic,0.3,20,17.9,Yes
376,Clustered,ml_dynamic,0.4,48,24.73,Yes
377,Clustered,ml_dynamic,0.2,10,11.07,Yes
378,Clustered,ml_dynamic,0.3,8,7.41,Yes
379,Clustered,ml_dynamic,0.1,46,19.07,Yes
380,Clustered,ml_dynamic,0.3,14,14.07,Yes
381,Clustered,ml_dynamic,0.3,37,12.24,Yes
382,Clustered,ml_dynamic,0.8,182,31.56,Yes
383,Clustered,ml_dynamic,0.1,19,20.31,Yes
384,Clustered,ml_dynamic,0.2,21,19.66,Yes
385,Clustered,ml_dynamic,0.1,12,14.31,Yes
386,Clustered,ml_dynamic,0.5,177,34.31,Yes
387,Clustered,ml_dynamic,0.3,10,11.9,Yes
388,Clustered,ml_dynamic,0.2,11,10.83,Yes
389,Clustered,ml_dynamic,3.5,28,17.41,Yes
390,Clustered,ml_dynamic,0.1,8,7.0,Yes
391,Clustered,ml_dynamic,0.2,17,13.66,Yes
392,Clustered,ml_dynamic,0.1,10,10.24,Yes
393,Clustered,ml_dynamic,0.6,37,23.73,Yes
395,Clustered,ml_dynamic,0.2,36,20.24,Yes
396,Clustered,ml_dynamic,0.3,9,10.9,Yes
397,Clustered,ml_dynamic,0.3,42,15.66,Yes
398,Clustered,ml_dynamic,0.1,8,7.41,Yes
399,Clustered,ml_dynamic,0.1,10,11.9,Yes
400,Clustered,ml_dynamic,0.3,11,12.49,Yes
401,Clustered,ml_dynamic,0.6,15,10.83,Yes
402,Clustered,ml_dynamic,0.2,14,13.83,Yes
403,Clustered,ml_dynamic,0.2,10,9.41,Yes
404,Clustered,ml_dynamic,0.1,14,13.41,Yes
405,Clustered,ml_dynamic,0.0,11,12.49,Yes
406,Clustered,ml_dynamic,0.3,10,11.07,Yes
407,Clustered,ml_dynamic,0.2,14,14.24,Yes
408,Clustered,ml_dynamic,0.1,17,18.73,Yes
409,Clustered,ml_dynamic,0.1,16,16.66,Yes
411,Clustered,ml_dynamic,0.2,28,17.83,Yes
412,Clustered,ml_dynamic,0.2,35,21.66,Yes
414,Clustered,ml_dynamic,0.2,20,19.07,Yes
415,Clustered,ml_dynamic,0.5,42,21.07,Yes
416,Clustered,ml_dynamic,0.3,62,25.66,Yes
417,Clustered,ml_dynamic,0.2,26,22.73,Yes
418,Clustered,ml_dynamic,0.1,30,20.24,Yes
419,Clustered,ml_dynamic,0.1,13,10.24,Yes
420,Clustered,ml_dynamic,0.6,155,21.66,Yes
421,Clustered,ml_dynamic,0.1,8,7.83,Yes
422,Clustered,ml_dynamic,0.1,10,9.0,Yes
423,Clustered,ml_dynamic,0.2,9,10.9,Yes
424,Clustered,ml_dynamic,0.3,24,16.07,Yes
426,Clustered,ml_dynamic,0.3,43,19.49,Yes
427,Clustered,ml_dynamic,0.2,37,21.49,Yes
430,Clustered,ml_dynamic,0.1,7,7.66,Yes
431,Clustered,ml_dynamic,0.1,24,14.66,Yes
433,Clustered,ml_dynamic,0.1,14,17.56,Yes
434,Clustered,ml_dynamic,0.0,9,9.66,Yes
438,Clustered,ml_dynamic,0.1,8,7.0,Yes
439,Clustered,ml_dynamic,0.1,21,19.73,Yes
