Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
181,Maze,ml_dynamic,0.4,28,14.41,Yes
182,Maze,ml_dynamic,0.3,167,42.83,Yes
183,Maze,ml_dynamic,0.4,169,65.41,Yes
184,Maze,ml_dynamic,0.1,31,15.0,Yes
185,Maze,ml_dynamic,0.4,45,22.24,Yes
186,Maze,ml_dynamic,0.5,184,45.83,Yes
187,Maze,ml_dynamic,0.5,91,37.0,Yes
188,Maze,ml_dynamic,0.2,50,31.83,Yes
189,Maze,ml_dynamic,3.1,221,46.0,Yes
190,Maze,ml_dynamic,0.2,44,22.0,Yes
191,Maze,ml_dynamic,0.5,197,62.41,Yes
192,Maze,ml_dynamic,0.2,14,10.41,Yes
193,Maze,ml_dynamic,0.1,62,37.41,Yes
194,Maze,ml_dynamic,0.1,29,16.0,Yes
195,Maze,ml_dynamic,0.1,12,11.0,Yes
196,Maze,ml_dynamic,0.2,15,11.0,Yes
197,Maze,ml_dynamic,0.2,50,27.0,Yes
198,Maze,ml_dynamic,0.6,141,53.41,Yes
199,Maze,ml_dynamic,0.2,51,19.0,Yes
200,Maze,ml_dynamic,0.3,58,26.83,Yes
201,Maze,ml_dynamic,0.2,88,36.41,Yes
202,Maze,ml_dynamic,0.7,200,46.0,Yes
203,Maze,ml_dynamic,0.2,14,11.41,Yes
204,Maze,ml_dynamic,0.4,142,41.41,Yes
205,Maze,ml_dynamic,0.3,183,69.0,Yes
206,Maze,ml_dynamic,0.2,17,16.0,Yes
207,Maze,ml_dynamic,0.3,112,31.0,Yes
208,Maze,ml_dynamic,0.3,118,40.0,Yes
209,Maze,ml_dynamic,0.5,198,44.24,Yes
210,Maze,ml_dynamic,0.3,132,32.83,Yes
211,Maze,ml_dynamic,0.2,35,18.0,Yes
212,Maze,ml_dynamic,0.5,106,38.41,Yes
214,Maze,ml_dynamic,0.1,41,21.0,Yes
215,Maze,ml_dynamic,0.2,21,13.0,Yes
216,Maze,ml_dynamic,0.3,87,35.24,Yes
217,Maze,ml_dynamic,0.2,15,14.0,Yes
218,Maze,ml_dynamic,0.1,64,28.41,Yes
219,Maze,ml_dynamic,0.1,44,21.24,Yes
220,Maze,ml_dynamic,0.4,187,54.0,Yes
221,Maze,ml_dynamic,0.2,91,32.41,Yes
222,Maze,ml_dynamic,0.2,51,22.0,Yes
223,Maze,ml_dynamic,0.3,33,14.41,Yes
224,Maze,ml_dynamic,0.2,64,35.0,Yes
225,Maze,ml_dynamic,0.2,80,37.0,Yes
226,Maze,ml_dynamic,0.4,168,63.41,Yes
227,Maze,ml_dynamic,0.3,81,22.41,Yes
228,Maze,ml_dynamic,0.4,106,37.41,Yes
