Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
541,Mixed,ml_dynamic,0.2,19,15.07,Yes
542,Mixed,ml_dynamic,0.2,22,12.83,Yes
543,Mixed,ml_dynamic,0.2,9,8.24,Yes
544,Mixed,ml_dynamic,0.2,34,13.41,Yes
547,Mixed,ml_dynamic,0.2,29,14.24,Yes
548,Mixed,ml_dynamic,0.2,17,18.73,Yes
550,Mixed,ml_dynamic,0.1,8,9.49,Yes
551,Mixed,ml_dynamic,0.2,21,16.49,Yes
552,Mixed,ml_dynamic,0.3,34,20.83,Yes
554,Mixed,ml_dynamic,0.1,21,20.49,Yes
556,Mixed,ml_dynamic,0.2,12,7.41,Yes
557,Mixed,ml_dynamic,0.2,18,16.41,Yes
558,Mixed,ml_dynamic,0.3,11,13.31,Yes
559,Mixed,ml_dynamic,0.2,19,13.9,Yes
560,Mixed,ml_dynamic,0.1,10,9.0,Yes
561,Mixed,ml_dynamic,0.0,15,7.83,Yes
562,Mixed,ml_dynamic,0.1,29,12.83,Yes
563,Mixed,ml_dynamic,0.2,20,18.9,Yes
565,Mixed,ml_dynamic,0.3,17,10.66,Yes
567,Mixed,ml_dynamic,0.0,8,8.66,Yes
568,Mixed,ml_dynamic,0.0,7,8.07,Yes
569,Mixed,ml_dynamic,0.1,34,31.56,Yes
570,Mixed,ml_dynamic,0.6,16,15.83,Yes
571,Mixed,ml_dynamic,0.2,20,14.24,Yes
572,Mixed,ml_dynamic,0.2,19,15.24,Yes
573,Mixed,ml_dynamic,0.1,14,13.0,Yes
574,Mixed,ml_dynamic,0.1,17,13.24,Yes
575,Mixed,ml_dynamic,0.1,11,12.49,Yes
576,Mixed,ml_dynamic,0.1,19,14.9,Yes
577,Mixed,ml_dynamic,0.2,15,14.24,Yes
578,Mixed,ml_dynamic,0.4,41,17.9,Yes
579,Mixed,ml_dynamic,0.1,8,7.83,Yes
580,Mixed,ml_dynamic,0.2,15,14.83,Yes
582,Mixed,ml_dynamic,0.1,8,9.07,Yes
583,Mixed,ml_dynamic,0.1,15,14.41,Yes
584,Mixed,ml_dynamic,0.2,40,23.07,Yes
585,Mixed,ml_dynamic,0.3,62,17.66,Yes
586,Mixed,ml_dynamic,0.1,18,20.73,Yes
587,Mixed,ml_dynamic,0.1,27,12.24,Yes
588,Mixed,ml_dynamic,0.2,29,14.83,Yes
589,Mixed,ml_dynamic,0.2,14,13.49,Yes
590,Mixed,ml_dynamic,0.1,14,14.66,Yes
591,Mixed,ml_dynamic,0.2,20,11.83,Yes
593,Mixed,ml_dynamic,0.2,15,14.0,Yes
594,Mixed,ml_dynamic,0.2,12,13.07,Yes
596,Mixed,ml_dynamic,0.2,12,12.24,Yes
597,Mixed,ml_dynamic,0.2,8,7.41,Yes
598,Mixed,ml_dynamic,0.1,19,9.41,Yes
599,Mixed,ml_dynamic,0.2,11,9.41,Yes
600,Mixed,ml_dynamic,0.2,14,15.07,Yes
601,Mixed,ml_dynamic,0.2,24,16.24,Yes
602,Mixed,ml_dynamic,0.1,13,14.07,Yes
604,Mixed,ml_dynamic,0.1,24,12.83,Yes
605,Mixed,ml_dynamic,0.2,11,8.66,Yes
607,Mixed,ml_dynamic,0.0,15,15.07,Yes
608,Mixed,ml_dynamic,0.2,10,11.07,Yes
610,Mixed,ml_dynamic,0.1,14,15.49,Yes
611,Mixed,ml_dynamic,0.2,64,22.83,Yes
612,Mixed,ml_dynamic,0.2,17,10.83,Yes
613,Mixed,ml_dynamic,0.2,47,16.9,Yes
614,Mixed,ml_dynamic,0.1,13,13.49,Yes
615,Mixed,ml_dynamic,0.6,18,10.83,Yes
616,Mixed,ml_dynamic,0.3,22,14.83,Yes
617,Mixed,ml_dynamic,0.1,18,16.49,Yes
619,Mixed,ml_dynamic,0.2,13,8.41,Yes
620,Mixed,ml_dynamic,0.2,10,9.41,Yes
621,Mixed,ml_dynamic,0.1,33,16.07,Yes
622,Mixed,ml_dynamic,0.3,17,17.24,Yes
623,Mixed,ml_dynamic,0.2,9,10.07,Yes
624,Mixed,ml_dynamic,0.1,14,11.41,Yes
625,Mixed,ml_dynamic,0.4,12,11.83,Yes
626,Mixed,ml_dynamic,0.2,13,12.07,Yes
627,Mixed,ml_dynamic,0.5,66,22.83,Yes
628,Mixed,ml_dynamic,0.3,65,22.31,Yes
629,Mixed,ml_dynamic,0.2,11,9.24,Yes
630,Mixed,ml_dynamic,0.4,15,9.66,Yes
631,Mixed,ml_dynamic,0.3,65,24.24,Yes
632,Mixed,ml_dynamic,0.2,34,16.83,Yes
633,Mixed,ml_dynamic,0.1,14,14.07,Yes
634,Mixed,ml_dynamic,0.1,17,14.24,Yes
635,Mixed,ml_dynamic,0.1,13,11.66,Yes
636,Mixed,ml_dynamic,0.4,56,21.24,Yes
637,Mixed,ml_dynamic,0.2,40,19.31,Yes
638,Mixed,ml_dynamic,0.2,25,17.24,Yes
639,Mixed,ml_dynamic,0.4,14,13.41,Yes
642,Mixed,ml_dynamic,0.2,15,10.0,Yes
643,Mixed,ml_dynamic,0.6,14,13.41,Yes
644,Mixed,ml_dynamic,0.2,13,11.41,Yes
645,Mixed,ml_dynamic,0.2,8,7.83,Yes
646,Mixed,ml_dynamic,0.2,11,13.31,Yes
647,Mixed,ml_dynamic,0.3,15,9.66,Yes
648,Mixed,ml_dynamic,0.4,40,17.83,Yes
649,Mixed,ml_dynamic,0.3,11,10.0,Yes
651,Mixed,ml_dynamic,0.2,18,16.0,Yes
652,Mixed,ml_dynamic,0.5,17,15.49,Yes
653,Mixed,ml_dynamic,0.3,35,16.24,Yes
654,Mixed,ml_dynamic,1.3,188,27.31,Yes
655,Mixed,ml_dynamic,0.6,28,22.49,Yes
656,Mixed,ml_dynamic,0.2,10,7.41,Yes
657,Mixed,ml_dynamic,0.3,24,16.49,Yes
658,Mixed,ml_dynamic,0.4,13,13.66,Yes
660,Mixed,ml_dynamic,0.2,19,12.0,Yes
661,Mixed,ml_dynamic,0.4,59,18.66,Yes
663,Mixed,ml_dynamic,0.3,34,29.24,Yes
664,Mixed,ml_dynamic,0.2,11,7.41,Yes
665,Mixed,ml_dynamic,0.3,17,13.41,Yes
666,Mixed,ml_dynamic,0.3,22,18.9,Yes
667,Mixed,ml_dynamic,0.3,26,19.49,Yes
668,Mixed,ml_dynamic,0.3,34,21.24,Yes
669,Mixed,ml_dynamic,0.3,37,18.07,Yes
670,Mixed,ml_dynamic,0.2,15,11.41,Yes
671,Mixed,ml_dynamic,0.2,54,25.07,Yes
672,Mixed,ml_dynamic,0.4,10,7.83,Yes
673,Mixed,ml_dynamic,0.2,22,14.24,Yes
674,Mixed,ml_dynamic,0.4,68,27.66,Yes
675,Mixed,ml_dynamic,0.4,28,23.9,Yes
676,Mixed,ml_dynamic,0.3,20,13.24,Yes
678,Mixed,ml_dynamic,0.4,33,17.66,Yes
679,Mixed,ml_dynamic,0.3,47,20.0,Yes
680,Mixed,ml_dynamic,0.3,55,21.66,Yes
681,Mixed,ml_dynamic,0.1,16,13.07,Yes
682,Mixed,ml_dynamic,0.2,10,9.41,Yes
683,Mixed,ml_dynamic,0.2,11,10.24,Yes
684,Mixed,ml_dynamic,0.2,12,9.83,Yes
685,Mixed,ml_dynamic,0.2,14,10.83,Yes
687,Mixed,ml_dynamic,0.3,15,16.49,Yes
689,Mixed,ml_dynamic,0.5,26,16.49,Yes
690,Mixed,ml_dynamic,0.1,44,21.9,Yes
692,Mixed,ml_dynamic,0.3,35,16.24,Yes
694,Mixed,ml_dynamic,0.2,17,16.41,Yes
696,Mixed,ml_dynamic,0.2,15,11.24,Yes
698,Mixed,ml_dynamic,0.2,41,21.24,Yes
699,Mixed,ml_dynamic,0.1,25,14.83,Yes
700,Mixed,ml_dynamic,0.2,42,22.49,Yes
701,Mixed,ml_dynamic,0.3,28,18.83,Yes
702,Mixed,ml_dynamic,0.2,61,24.24,Yes
703,Mixed,ml_dynamic,0.3,65,17.66,Yes
705,Mixed,ml_dynamic,0.2,24,22.49,Yes
706,Mixed,ml_dynamic,0.1,10,9.83,Yes
708,Mixed,ml_dynamic,0.2,16,9.0,Yes
709,Mixed,ml_dynamic,0.3,50,23.73,Yes
711,Mixed,ml_dynamic,0.2,17,10.83,Yes
712,Mixed,ml_dynamic,0.3,47,14.83,Yes
713,Mixed,ml_dynamic,0.3,24,19.49,Yes
714,Mixed,ml_dynamic,0.2,41,14.66,Yes
715,Mixed,ml_dynamic,0.2,22,14.66,Yes
716,Mixed,ml_dynamic,0.3,12,11.0,Yes
718,Mixed,ml_dynamic,0.2,30,16.24,Yes
719,Mixed,ml_dynamic,0.1,11,12.49,Yes
720,Mixed,ml_dynamic,0.2,20,11.66,Yes
