Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
361,Clustered,astar_dynamic,0.2,9,8.83,Yes
362,Clustered,astar_dynamic,0.4,25,24.73,Yes
363,Clustered,astar_dynamic,0.2,20,20.31,Yes
365,Clustered,astar_dynamic,0.1,18,12.24,Yes
366,Clustered,astar_dynamic,0.5,81,24.14,Yes
367,Clustered,astar_dynamic,0.2,27,18.49,Yes
368,Clustered,astar_dynamic,0.7,14,13.83,Yes
369,Clustered,astar_dynamic,0.2,12,12.07,Yes
370,Clustered,astar_dynamic,0.1,26,13.07,Yes
371,Clustered,astar_dynamic,0.5,16,13.0,Yes
372,Clustered,astar_dynamic,0.1,13,9.66,Yes
373,Clustered,astar_dynamic,0.2,20,10.0,Yes
374,Clustered,astar_dynamic,0.4,15,15.24,Yes
375,Clustered,astar_dynamic,0.3,19,13.66,Yes
376,Clustered,astar_dynamic,0.2,8,7.83,Yes
377,Clustered,astar_dynamic,0.3,23,10.41,Yes
378,Clustered,astar_dynamic,0.2,12,11.41,Yes
379,Clustered,astar_dynamic,0.4,66,27.31,Yes
380,Clustered,astar_dynamic,0.1,12,13.49,Yes
381,Clustered,astar_dynamic,0.1,21,14.24,Yes
382,Clustered,astar_dynamic,0.1,12,9.83,Yes
383,Clustered,astar_dynamic,0.2,13,12.83,Yes
384,Clustered,astar_dynamic,0.2,22,20.24,Yes
385,Clustered,astar_dynamic,0.2,10,8.41,Yes
386,Clustered,astar_dynamic,0.3,70,20.83,Yes
387,Clustered,astar_dynamic,0.3,8,9.07,Yes
388,Clustered,astar_dynamic,0.2,10,10.66,Yes
389,Clustered,astar_dynamic,0.2,10,11.07,Yes
390,Clustered,astar_dynamic,0.3,43,15.41,Yes
391,Clustered,astar_dynamic,0.2,9,10.49,Yes
392,Clustered,astar_dynamic,0.3,12,11.41,Yes
393,Clustered,astar_dynamic,0.5,15,9.83,Yes
395,Clustered,astar_dynamic,0.1,29,15.07,Yes
396,Clustered,astar_dynamic,0.1,16,9.41,Yes
397,Clustered,astar_dynamic,0.7,93,22.24,Yes
398,Clustered,astar_dynamic,0.2,13,12.83,Yes
399,Clustered,astar_dynamic,0.6,8,8.24,Yes
400,Clustered,astar_dynamic,0.2,16,16.66,Yes
401,Clustered,astar_dynamic,0.3,18,18.07,Yes
402,Clustered,astar_dynamic,0.3,68,28.31,Yes
403,Clustered,astar_dynamic,0.5,96,18.24,Yes
404,Clustered,astar_dynamic,0.2,9,8.83,Yes
405,Clustered,astar_dynamic,0.3,11,10.41,Yes
406,Clustered,astar_dynamic,0.2,22,15.49,Yes
407,Clustered,astar_dynamic,0.3,27,20.07,Yes
408,Clustered,astar_dynamic,0.3,20,16.66,Yes
409,Clustered,astar_dynamic,0.1,6,7.07,Yes
411,Clustered,astar_dynamic,0.1,8,7.83,Yes
412,Clustered,astar_dynamic,0.1,13,12.41,Yes
414,Clustered,astar_dynamic,0.2,22,12.83,Yes
415,Clustered,astar_dynamic,0.2,11,12.9,Yes
416,Clustered,astar_dynamic,0.1,9,8.83,Yes
417,Clustered,astar_dynamic,0.2,35,11.24,Yes
418,Clustered,astar_dynamic,0.3,8,7.83,Yes
419,Clustered,astar_dynamic,0.1,13,7.83,Yes
420,Clustered,astar_dynamic,0.3,11,10.24,Yes
421,Clustered,astar_dynamic,0.2,11,8.83,Yes
422,Clustered,astar_dynamic,0.1,11,10.0,Yes
423,Clustered,astar_dynamic,0.4,8,7.83,Yes
424,Clustered,astar_dynamic,0.7,98,30.9,Yes
426,Clustered,astar_dynamic,0.2,27,17.41,Yes
427,Clustered,astar_dynamic,0.1,12,11.83,Yes
430,Clustered,astar_dynamic,3.3,88,32.14,Yes
431,Clustered,astar_dynamic,0.4,22,10.83,Yes
433,Clustered,astar_dynamic,0.1,26,13.83,Yes
434,Clustered,astar_dynamic,0.1,10,11.07,Yes
438,Clustered,astar_dynamic,0.1,11,11.24,Yes
439,Clustered,astar_dynamic,0.4,65,20.31,Yes
440,Clustered,astar_dynamic,0.3,9,9.66,Yes
441,Clustered,astar_dynamic,0.1,9,9.66,Yes
443,Clustered,astar_dynamic,0.2,26,18.07,Yes
445,Clustered,astar_dynamic,0.5,35,16.24,Yes
446,Clustered,astar_dynamic,0.3,10,9.41,Yes
447,Clustered,astar_dynamic,0.3,33,21.24,Yes
448,Clustered,astar_dynamic,0.2,45,15.24,Yes
450,Clustered,astar_dynamic,0.3,28,28.31,Yes
451,Clustered,astar_dynamic,0.1,12,11.24,Yes
452,Clustered,astar_dynamic,0.2,14,11.24,Yes
454,Clustered,astar_dynamic,0.2,17,13.24,Yes
455,Clustered,astar_dynamic,0.5,19,22.56,Yes
456,Clustered,astar_dynamic,0.3,9,9.24,Yes
458,Clustered,astar_dynamic,0.2,12,14.31,Yes
462,Clustered,astar_dynamic,0.2,25,19.24,Yes
463,Clustered,astar_dynamic,0.2,11,11.66,Yes
464,Clustered,astar_dynamic,0.3,11,11.49,Yes
465,Clustered,astar_dynamic,0.3,10,10.24,Yes
466,Clustered,astar_dynamic,0.4,8,7.41,Yes
468,Clustered,astar_dynamic,0.2,34,24.56,Yes
469,Clustered,astar_dynamic,0.3,13,13.66,Yes
470,Clustered,astar_dynamic,0.2,9,8.83,Yes
