Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
541,Mixed,astar_dynamic,0.3,10,9.0,Yes
542,Mixed,astar_dynamic,0.2,12,10.41,Yes
543,Mixed,astar_dynamic,0.2,14,10.66,Yes
544,Mixed,astar_dynamic,0.8,13,12.07,Yes
547,Mixed,astar_dynamic,0.2,19,20.9,Yes
548,Mixed,astar_dynamic,0.3,44,20.07,Yes
550,Mixed,astar_dynamic,0.1,25,24.56,Yes
551,Mixed,astar_dynamic,0.2,23,17.24,Yes
552,Mixed,astar_dynamic,0.4,60,18.24,Yes
554,Mixed,astar_dynamic,0.3,43,21.0,Yes
556,Mixed,astar_dynamic,0.2,16,15.41,Yes
557,Mixed,astar_dynamic,0.1,16,13.0,Yes
558,Mixed,astar_dynamic,0.3,38,26.31,Yes
559,Mixed,astar_dynamic,0.2,9,9.24,Yes
560,Mixed,astar_dynamic,0.1,36,22.49,Yes
561,Mixed,astar_dynamic,0.3,32,16.49,Yes
562,Mixed,astar_dynamic,0.3,106,21.66,Yes
563,Mixed,astar_dynamic,0.2,19,22.14,Yes
565,Mixed,astar_dynamic,0.2,36,24.49,Yes
567,Mixed,astar_dynamic,0.2,14,10.24,Yes
568,Mixed,astar_dynamic,0.3,18,20.56,Yes
569,Mixed,astar_dynamic,0.2,24,23.73,Yes
570,Mixed,astar_dynamic,0.2,8,9.07,Yes
571,Mixed,astar_dynamic,0.2,12,12.66,Yes
572,Mixed,astar_dynamic,0.4,20,19.49,Yes
573,Mixed,astar_dynamic,0.2,9,9.24,Yes
574,Mixed,astar_dynamic,0.1,19,12.24,Yes
575,Mixed,astar_dynamic,0.4,54,16.83,Yes
576,Mixed,astar_dynamic,0.3,31,20.31,Yes
577,Mixed,astar_dynamic,0.2,14,13.0,Yes
578,Mixed,astar_dynamic,0.3,19,18.31,Yes
579,Mixed,astar_dynamic,0.0,8,9.49,Yes
580,Mixed,astar_dynamic,0.2,64,20.07,Yes
582,Mixed,astar_dynamic,0.2,13,13.24,Yes
583,Mixed,astar_dynamic,0.3,22,22.73,Yes
584,Mixed,astar_dynamic,0.1,28,16.9,Yes
585,Mixed,astar_dynamic,0.5,53,13.66,Yes
586,Mixed,astar_dynamic,0.2,36,16.24,Yes
587,Mixed,astar_dynamic,0.3,15,14.0,Yes
588,Mixed,astar_dynamic,0.1,12,11.66,Yes
589,Mixed,astar_dynamic,0.2,34,23.73,Yes
590,Mixed,astar_dynamic,0.3,8,9.49,Yes
591,Mixed,astar_dynamic,0.3,11,11.66,Yes
593,Mixed,astar_dynamic,0.3,13,11.07,Yes
594,Mixed,astar_dynamic,0.2,13,13.49,Yes
596,Mixed,astar_dynamic,0.3,12,11.83,Yes
597,Mixed,astar_dynamic,0.3,16,15.66,Yes
598,Mixed,astar_dynamic,0.2,12,13.49,Yes
599,Mixed,astar_dynamic,0.3,21,17.07,Yes
600,Mixed,astar_dynamic,0.2,22,19.83,Yes
601,Mixed,astar_dynamic,0.1,19,11.41,Yes
602,Mixed,astar_dynamic,0.2,11,11.24,Yes
