Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,astar_dynamic,0.7,29,17.07,Yes
2,Random,astar_dynamic,0.3,17,16.31,Yes
3,Random,astar_dynamic,0.3,46,18.66,Yes
4,Random,astar_dynamic,0.2,31,16.24,Yes
5,Random,astar_dynamic,0.2,29,23.83,Yes
6,Random,astar_dynamic,0.2,14,14.07,Yes
7,Random,astar_dynamic,1.1,63,18.9,Yes
8,Random,astar_dynamic,0.1,31,22.49,Yes
9,Random,astar_dynamic,0.2,67,21.24,Yes
10,Random,astar_dynamic,0.1,32,17.24,Yes
11,Random,astar_dynamic,0.2,66,15.41,Yes
12,Random,astar_dynamic,0.1,33,15.07,Yes
13,Random,astar_dynamic,0.1,11,8.41,Yes
14,Random,astar_dynamic,0.1,11,11.24,Yes
15,Random,astar_dynamic,0.0,10,9.24,Yes
16,Random,astar_dynamic,0.1,69,14.83,Yes
17,Random,astar_dynamic,0.1,20,16.24,Yes
18,Random,astar_dynamic,0.1,14,10.41,Yes
19,Random,astar_dynamic,0.1,20,16.9,Yes
20,Random,astar_dynamic,0.2,19,10.66,Yes
22,Random,astar_dynamic,0.1,26,25.07,Yes
23,Random,astar_dynamic,0.2,13,11.83,Yes
24,Random,astar_dynamic,0.2,74,20.07,Yes
25,Random,astar_dynamic,0.1,15,15.49,Yes
26,Random,astar_dynamic,0.1,15,8.83,Yes
27,Random,astar_dynamic,0.3,69,27.9,Yes
28,Random,astar_dynamic,0.9,33,17.9,Yes
29,Random,astar_dynamic,0.1,8,8.24,Yes
30,Random,astar_dynamic,0.1,10,9.0,Yes
31,Random,astar_dynamic,0.0,33,12.24,Yes
32,Random,astar_dynamic,0.2,41,18.24,Yes
33,Random,astar_dynamic,0.3,8,8.24,Yes
34,Random,astar_dynamic,0.1,11,12.07,Yes
36,Random,astar_dynamic,0.2,10,10.66,Yes
37,Random,astar_dynamic,0.4,38,15.24,Yes
38,Random,astar_dynamic,0.2,10,10.24,Yes
39,Random,astar_dynamic,0.2,28,18.66,Yes
40,Random,astar_dynamic,0.5,25,21.31,Yes
41,Random,astar_dynamic,0.3,23,18.24,Yes
42,Random,astar_dynamic,0.2,60,22.41,Yes
43,Random,astar_dynamic,0.4,9,8.83,Yes
44,Random,astar_dynamic,0.6,184,26.66,Yes
45,Random,astar_dynamic,0.1,19,11.24,Yes
46,Random,astar_dynamic,0.3,20,14.24,Yes
47,Random,astar_dynamic,0.1,28,21.9,Yes
48,Random,astar_dynamic,0.6,23,17.9,Yes
49,Random,astar_dynamic,0.2,24,13.41,Yes
50,Random,astar_dynamic,0.3,25,15.83,Yes
51,Random,astar_dynamic,0.2,17,13.41,Yes
52,Random,astar_dynamic,0.1,21,17.66,Yes
53,Random,astar_dynamic,0.3,37,16.66,Yes
54,Random,astar_dynamic,0.3,55,16.07,Yes
55,Random,astar_dynamic,0.2,23,14.83,Yes
56,Random,astar_dynamic,0.3,43,14.07,Yes
57,Random,astar_dynamic,0.2,12,9.83,Yes
58,Random,astar_dynamic,0.3,14,9.41,Yes
59,Random,astar_dynamic,0.2,14,9.83,Yes
60,Random,astar_dynamic,0.2,14,8.83,Yes
61,Random,astar_dynamic,0.5,40,12.83,Yes
62,Random,astar_dynamic,0.4,64,19.07,Yes
64,Random,astar_dynamic,0.9,77,23.66,Yes
65,Random,astar_dynamic,0.2,26,20.0,Yes
66,Random,astar_dynamic,0.3,25,12.24,Yes
67,Random,astar_dynamic,1.3,17,10.83,Yes
68,Random,astar_dynamic,0.3,78,21.83,Yes
69,Random,astar_dynamic,0.2,17,12.83,Yes
70,Random,astar_dynamic,0.4,14,11.41,Yes
71,Random,astar_dynamic,0.6,52,21.24,Yes
72,Random,astar_dynamic,0.4,34,16.41,Yes
73,Random,astar_dynamic,0.5,12,9.83,Yes
74,Random,astar_dynamic,0.2,14,13.66,Yes
75,Random,astar_dynamic,0.5,17,16.66,Yes
77,Random,astar_dynamic,0.2,17,15.07,Yes
79,Random,astar_dynamic,0.2,15,9.41,Yes
80,Random,astar_dynamic,0.3,37,19.24,Yes
82,Random,astar_dynamic,0.7,136,48.56,Yes
84,Random,astar_dynamic,0.2,25,16.83,Yes
86,Random,astar_dynamic,0.5,18,15.66,Yes
