Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,ml_dynamic,0.3,31,11.24,Yes
2,Random,ml_dynamic,0.2,16,17.31,Yes
3,Random,ml_dynamic,0.1,23,16.66,Yes
4,Random,ml_dynamic,0.2,43,19.49,Yes
5,Random,ml_dynamic,0.1,12,9.83,Yes
6,Random,ml_dynamic,0.2,10,11.07,Yes
7,Random,ml_dynamic,0.2,24,10.83,Yes
8,Random,ml_dynamic,0.1,20,13.24,Yes
9,Random,ml_dynamic,0.1,31,14.83,Yes
10,Random,ml_dynamic,0.2,70,20.24,Yes
11,Random,ml_dynamic,0.1,34,24.66,Yes
12,Random,ml_dynamic,0.0,10,7.83,Yes
13,Random,ml_dynamic,0.0,8,8.24,Yes
14,Random,ml_dynamic,0.0,36,21.07,Yes
15,Random,ml_dynamic,0.0,17,17.9,Yes
16,Random,ml_dynamic,0.2,8,8.24,Yes
17,Random,ml_dynamic,0.1,26,11.83,Yes
18,Random,ml_dynamic,0.1,25,18.66,Yes
19,Random,ml_dynamic,0.0,10,9.66,Yes
20,Random,ml_dynamic,0.2,9,10.07,Yes
22,Random,ml_dynamic,0.1,11,9.66,Yes
23,Random,ml_dynamic,0.3,24,13.0,Yes
24,Random,ml_dynamic,0.0,12,12.24,Yes
25,Random,ml_dynamic,0.0,17,13.24,Yes
26,Random,ml_dynamic,0.0,16,15.83,Yes
27,Random,ml_dynamic,0.1,34,13.83,Yes
28,Random,ml_dynamic,0.0,17,17.9,Yes
29,Random,ml_dynamic,0.1,19,14.83,Yes
30,Random,ml_dynamic,0.1,31,15.24,Yes
31,Random,ml_dynamic,0.1,27,10.83,Yes
32,Random,ml_dynamic,0.1,13,11.83,Yes
33,Random,ml_dynamic,0.0,10,10.24,Yes
34,Random,ml_dynamic,0.2,12,8.41,Yes
36,Random,ml_dynamic,0.3,49,18.83,Yes
37,Random,ml_dynamic,0.1,17,11.24,Yes
38,Random,ml_dynamic,0.1,16,16.49,Yes
39,Random,ml_dynamic,0.2,28,19.41,Yes
40,Random,ml_dynamic,0.1,14,9.41,Yes
41,Random,ml_dynamic,0.2,64,19.24,Yes
42,Random,ml_dynamic,0.2,25,13.24,Yes
43,Random,ml_dynamic,0.2,29,18.83,Yes
44,Random,ml_dynamic,0.1,10,8.41,Yes
45,Random,ml_dynamic,0.2,23,19.14,Yes
46,Random,ml_dynamic,0.2,58,20.9,Yes
47,Random,ml_dynamic,0.2,26,11.83,Yes
48,Random,ml_dynamic,0.5,29,11.24,Yes
49,Random,ml_dynamic,0.2,12,11.66,Yes
50,Random,ml_dynamic,0.3,15,14.24,Yes
