Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,astar_dynamic,0.7,29,17.07,Yes
1,Random,ml_dynamic,0.3,31,11.24,Yes
2,Random,astar_dynamic,0.3,17,16.31,Yes
2,Random,ml_dynamic,0.2,16,17.31,Yes
3,Random,astar_dynamic,0.3,46,18.66,Yes
3,Random,ml_dynamic,0.1,23,16.66,Yes
4,Random,astar_dynamic,0.2,31,16.24,Yes
4,Random,ml_dynamic,0.2,43,19.49,Yes
5,Random,astar_dynamic,0.2,29,23.83,Yes
5,Random,ml_dynamic,0.1,12,9.83,Yes
6,Random,astar_dynamic,0.2,14,14.07,Yes
6,Random,ml_dynamic,0.2,10,11.07,Yes
7,Random,astar_dynamic,1.1,63,18.9,Yes
7,Random,ml_dynamic,0.2,24,10.83,Yes
8,Random,astar_dynamic,0.1,31,22.49,Yes
8,Random,ml_dynamic,0.1,20,13.24,Yes
9,Random,astar_dynamic,0.2,67,21.24,Yes
9,Random,ml_dynamic,0.1,31,14.83,Yes
10,Random,astar_dynamic,0.1,32,17.24,Yes
10,Random,ml_dynamic,0.2,70,20.24,Yes
11,Random,astar_dynamic,0.2,66,15.41,Yes
11,Random,ml_dynamic,0.1,34,24.66,Yes
12,Random,astar_dynamic,0.1,33,15.07,Yes
12,Random,ml_dynamic,0.0,10,7.83,Yes
13,Random,astar_dynamic,0.1,11,8.41,Yes
13,Random,ml_dynamic,0.0,8,8.24,Yes
14,Random,astar_dynamic,0.1,11,11.24,Yes
14,Random,ml_dynamic,0.0,36,21.07,Yes
15,Random,astar_dynamic,0.0,10,9.24,Yes
15,Random,ml_dynamic,0.0,17,17.9,Yes
16,Random,astar_dynamic,0.1,69,14.83,Yes
16,Random,ml_dynamic,0.2,8,8.24,Yes
17,Random,astar_dynamic,0.1,20,16.24,Yes
17,Random,ml_dynamic,0.1,26,11.83,Yes
18,Random,astar_dynamic,0.1,14,10.41,Yes
18,Random,ml_dynamic,0.1,25,18.66,Yes
19,Random,astar_dynamic,0.1,20,16.9,Yes
19,Random,ml_dynamic,0.0,10,9.66,Yes
20,Random,astar_dynamic,0.2,19,10.66,Yes
20,Random,ml_dynamic,0.2,9,10.07,Yes
22,Random,astar_dynamic,0.1,26,25.07,Yes
22,Random,ml_dynamic,0.1,11,9.66,Yes
23,Random,astar_dynamic,0.2,13,11.83,Yes
23,Random,ml_dynamic,0.3,24,13.0,Yes
24,Random,astar_dynamic,0.2,74,20.07,Yes
24,Random,ml_dynamic,0.0,12,12.24,Yes
25,Random,astar_dynamic,0.1,15,15.49,Yes
25,Random,ml_dynamic,0.0,17,13.24,Yes
26,Random,astar_dynamic,0.1,15,8.83,Yes
26,Random,ml_dynamic,0.0,16,15.83,Yes
27,Random,astar_dynamic,0.3,69,27.9,Yes
27,Random,ml_dynamic,0.1,34,13.83,Yes
28,Random,astar_dynamic,0.9,33,17.9,Yes
28,Random,ml_dynamic,0.0,17,17.9,Yes
29,Random,astar_dynamic,0.1,8,8.24,Yes
29,Random,ml_dynamic,0.1,19,14.83,Yes
30,Random,astar_dynamic,0.1,10,9.0,Yes
30,Random,ml_dynamic,0.1,31,15.24,Yes
31,Random,astar_dynamic,0.0,33,12.24,Yes
31,Random,ml_dynamic,0.1,27,10.83,Yes
32,Random,astar_dynamic,0.2,41,18.24,Yes
32,Random,ml_dynamic,0.1,13,11.83,Yes
33,Random,astar_dynamic,0.3,8,8.24,Yes
33,Random,ml_dynamic,0.0,10,10.24,Yes
34,Random,astar_dynamic,0.1,11,12.07,Yes
