Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
363,Clustered,astar,0.2,7,7.66,Yes
364,Clustered,astar,0.3,11,10.41,Yes
365,Clustered,astar,0.2,34,20.24,Yes
366,Clustered,astar,0.3,36,18.66,Yes
369,Clustered,astar,0.3,19,18.31,Yes
370,Clustered,astar,0.3,11,10.41,Yes
372,Clustered,astar,0.3,13,12.83,Yes
373,Clustered,astar,0.1,11,10.41,Yes
374,Clustered,astar,0.2,33,24.31,Yes
375,Clustered,astar,0.2,10,9.83,Yes
376,Clustered,astar,0.2,11,12.49,Yes
377,Clustered,astar,0.1,10,9.0,Yes
379,Clustered,astar,0.3,25,19.31,Yes
380,Clustered,astar,0.2,9,8.83,Yes
381,Clustered,astar,0.2,11,12.49,Yes
382,Clustered,astar,0.2,14,13.0,Yes
383,Clustered,astar,0.3,30,14.24,Yes
384,Clustered,astar,0.2,15,15.66,Yes
385,Clustered,astar,0.4,56,16.66,Yes
386,Clustered,astar,0.3,32,27.97,Yes
387,Clustered,astar,0.3,8,9.9,Yes
388,Clustered,astar,0.3,16,17.49,Yes
389,Clustered,astar,0.1,15,15.49,Yes
390,Clustered,astar,0.3,58,20.9,Yes
391,Clustered,astar,0.1,6,7.07,Yes
392,Clustered,astar,0.3,11,12.49,Yes
393,Clustered,astar,0.2,13,12.83,Yes
394,Clustered,astar,0.3,22,19.07,Yes
395,Clustered,astar,0.3,15,16.07,Yes
396,Clustered,astar,0.2,26,21.41,Yes
397,Clustered,astar,0.1,17,13.83,Yes
398,Clustered,astar,0.2,22,17.07,Yes
399,Clustered,astar,0.3,9,8.24,Yes
400,Clustered,astar,0.2,35,16.66,Yes
401,Clustered,astar,0.3,8,8.24,Yes
402,Clustered,astar,0.3,48,17.24,Yes
403,Clustered,astar,0.2,15,14.83,Yes
404,Clustered,astar,0.4,34,15.41,Yes
405,Clustered,astar,0.4,8,8.24,Yes
406,Clustered,astar,0.4,76,32.41,Yes
407,Clustered,astar,0.1,34,22.41,Yes
408,Clustered,astar,0.3,30,16.41,Yes
409,Clustered,astar,0.2,17,16.24,Yes
410,Clustered,astar,0.2,43,21.66,Yes
411,Clustered,astar,0.2,25,15.07,Yes
412,Clustered,astar,0.2,14,15.49,Yes
413,Clustered,astar,0.2,55,22.31,Yes
414,Clustered,astar,0.2,21,18.9,Yes
415,Clustered,astar,0.1,18,15.66,Yes
416,Clustered,astar,0.2,10,11.49,Yes
418,Clustered,astar,0.3,17,12.41,Yes
419,Clustered,astar,0.4,16,19.56,Yes
420,Clustered,astar,0.1,12,13.9,Yes
421,Clustered,astar,0.2,32,12.07,Yes
423,Clustered,astar,0.1,9,10.07,Yes
424,Clustered,astar,0.2,42,15.83,Yes
425,Clustered,astar,0.2,17,18.49,Yes
426,Clustered,astar,0.2,10,11.49,Yes
427,Clustered,astar,0.2,7,7.66,Yes
428,Clustered,astar,0.2,18,17.9,Yes
429,Clustered,astar,0.3,15,14.0,Yes
430,Clustered,astar,0.2,19,16.66,Yes
431,Clustered,astar,0.2,6,7.07,Yes
432,Clustered,astar,0.3,72,17.49,Yes
433,Clustered,astar,0.2,8,7.83,Yes
435,Clustered,astar,0.2,8,9.9,Yes
436,Clustered,astar,0.1,13,14.9,Yes
438,Clustered,astar,0.1,10,9.83,Yes
439,Clustered,astar,0.1,9,9.24,Yes
440,Clustered,astar,1.0,154,33.31,Yes
442,Clustered,astar,0.1,12,11.83,Yes
444,Clustered,astar,0.3,21,10.66,Yes
445,Clustered,astar,0.3,11,10.41,Yes
446,Clustered,astar,0.3,13,15.31,Yes
447,Clustered,astar,0.2,18,15.0,Yes
449,Clustered,astar,0.1,7,8.07,Yes
450,Clustered,astar,0.2,11,12.9,Yes
456,Clustered,astar,0.3,139,22.49,Yes
457,Clustered,astar,0.1,15,14.83,Yes
458,Clustered,astar,0.1,92,23.73,Yes
459,Clustered,astar,0.1,15,16.49,Yes
460,Clustered,astar,0.3,47,20.24,Yes
461,Clustered,astar,0.2,10,11.49,Yes
462,Clustered,astar,0.1,6,7.07,Yes
465,Clustered,astar,0.2,20,12.0,Yes
466,Clustered,astar,0.2,6,7.07,Yes
468,Clustered,astar,0.2,14,13.41,Yes
469,Clustered,astar,0.2,30,19.66,Yes
470,Clustered,astar,0.2,30,14.24,Yes
471,Clustered,astar,0.2,18,10.0,Yes
473,Clustered,astar,0.2,12,12.9,Yes
475,Clustered,astar,0.2,15,14.83,Yes
476,Clustered,astar,0.2,10,11.07,Yes
478,Clustered,astar,0.4,13,14.49,Yes
480,Clustered,astar,0.2,9,8.83,Yes
483,Clustered,astar,0.3,50,20.24,Yes
485,Clustered,astar,0.4,15,13.66,Yes
487,Clustered,astar,0.2,45,13.24,Yes
488,Clustered,astar,0.3,14,11.66,Yes
489,Clustered,astar,0.2,52,20.24,Yes
491,Clustered,astar,0.2,8,7.0,Yes
493,Clustered,astar,0.4,25,14.0,Yes
494,Clustered,astar,0.3,19,14.41,Yes
497,Clustered,astar,0.2,31,12.83,Yes
498,Clustered,astar,0.2,8,7.41,Yes
501,Clustered,astar,0.2,71,31.07,Yes
502,Clustered,astar,0.3,20,12.83,Yes
503,Clustered,astar,0.3,27,24.07,Yes
504,Clustered,astar,0.4,82,27.73,Yes
505,Clustered,astar,0.3,41,18.49,Yes
506,Clustered,astar,0.1,13,8.41,Yes
507,Clustered,astar,0.5,12,12.07,Yes
510,Clustered,astar,0.2,72,20.9,Yes
511,Clustered,astar,0.2,17,14.9,Yes
512,Clustered,astar,0.1,58,19.66,Yes
513,Clustered,astar,0.2,14,12.24,Yes
517,Clustered,astar,0.3,9,9.66,Yes
518,Clustered,astar,0.1,9,7.41,Yes
519,Clustered,astar,0.1,48,17.41,Yes
521,Clustered,astar,0.2,24,12.41,Yes
522,Clustered,astar,0.3,57,23.49,Yes
524,Clustered,astar,0.2,14,15.07,Yes
526,Clustered,astar,0.1,41,23.66,Yes
527,Clustered,astar,0.2,60,23.41,Yes
