Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
182,Maze,astar,0.8,70,41.41,Yes
183,Maze,astar,0.3,118,63.41,Yes
184,Maze,astar,0.3,92,33.0,Yes
185,Maze,astar,0.4,200,72.0,Yes
186,Maze,astar,0.2,161,87.24,Yes
187,Maze,astar,0.2,36,19.0,Yes
188,Maze,astar,0.2,92,31.66,Yes
189,Maze,astar,0.2,56,25.41,Yes
190,Maze,astar,0.3,40,18.41,Yes
191,Maze,astar,0.3,99,33.0,Yes
192,Maze,astar,0.2,50,22.41,Yes
193,Maze,astar,0.3,122,58.0,Yes
194,Maze,astar,0.2,54,23.41,Yes
195,Maze,astar,0.1,32,18.41,Yes
196,Maze,astar,0.2,168,41.41,Yes
197,Maze,astar,0.2,15,10.0,Yes
198,Maze,astar,0.2,86,25.41,Yes
199,Maze,astar,0.1,32,21.41,Yes
200,Maze,astar,0.7,53,31.0,Yes
201,Maze,astar,0.3,215,55.66,Yes
202,Maze,astar,0.4,89,37.41,Yes
203,Maze,astar,0.2,20,19.0,Yes
204,Maze,astar,0.1,57,25.0,Yes
205,Maze,astar,0.1,46,25.41,Yes
206,Maze,astar,0.3,8,7.0,Yes
207,Maze,astar,0.4,181,66.24,Yes
208,Maze,astar,0.2,170,77.83,Yes
209,Maze,astar,0.8,47,21.41,Yes
210,Maze,astar,0.4,140,48.0,Yes
211,Maze,astar,0.4,33,21.0,Yes
213,Maze,astar,0.4,29,17.0,Yes
214,Maze,astar,0.3,57,22.0,Yes
215,Maze,astar,0.1,8,7.0,Yes
216,Maze,astar,0.3,137,58.0,Yes
217,Maze,astar,0.5,78,27.83,Yes
218,Maze,astar,0.5,146,38.83,Yes
219,Maze,astar,0.2,41,21.0,Yes
220,Maze,astar,0.2,22,10.41,Yes
222,Maze,astar,0.3,188,68.83,Yes
223,Maze,astar,0.2,59,25.0,Yes
224,Maze,astar,0.4,74,33.41,Yes
225,Maze,astar,0.1,26,12.0,Yes
226,Maze,astar,0.1,32,18.0,Yes
227,Maze,astar,0.4,181,60.83,Yes
228,Maze,astar,0.3,194,70.0,Yes
229,Maze,astar,0.2,158,35.0,Yes
230,Maze,astar,0.5,128,40.83,Yes
231,Maze,astar,0.3,60,26.24,Yes
232,Maze,astar,0.3,174,80.0,Yes
233,Maze,astar,0.3,41,16.0,Yes
234,Maze,astar,0.3,85,36.41,Yes
235,Maze,astar,0.2,115,46.41,Yes
236,Maze,astar,0.1,40,16.41,Yes
237,Maze,astar,0.2,17,16.0,Yes
238,Maze,astar,0.2,81,32.41,Yes
239,Maze,astar,0.2,23,13.41,Yes
240,Maze,astar,0.5,64,33.0,Yes
241,Maze,astar,0.3,213,54.83,Yes
242,Maze,astar,0.2,67,28.83,Yes
243,Maze,astar,0.3,95,27.0,Yes
244,Maze,astar,0.3,31,19.41,Yes
245,Maze,astar,0.2,15,12.41,Yes
246,Maze,astar,0.2,29,16.0,Yes
247,Maze,astar,0.2,72,22.0,Yes
248,Maze,astar,0.3,33,17.0,Yes
249,Maze,astar,0.3,18,15.0,Yes
250,Maze,astar,0.2,85,23.41,Yes
251,Maze,astar,0.3,120,39.41,Yes
252,Maze,astar,0.2,31,20.83,Yes
253,Maze,astar,0.2,66,25.83,Yes
254,Maze,astar,0.3,19,16.0,Yes
255,Maze,astar,0.4,174,96.24,Yes
256,Maze,astar,0.3,109,56.41,Yes
257,Maze,astar,0.2,71,30.0,Yes
258,Maze,astar,0.3,174,48.24,Yes
259,Maze,astar,0.2,23,22.0,Yes
260,Maze,astar,0.3,110,34.83,Yes
261,Maze,astar,0.3,149,42.41,Yes
262,Maze,astar,1.0,116,36.0,Yes
263,Maze,astar,0.3,91,28.0,Yes
264,Maze,astar,0.3,44,26.0,Yes
265,Maze,astar,0.2,17,15.0,Yes
266,Maze,astar,0.2,35,18.0,Yes
267,Maze,astar,0.2,69,22.83,Yes
268,Maze,astar,0.2,44,21.0,Yes
269,Maze,astar,0.2,65,35.41,Yes
270,Maze,astar,0.4,143,42.41,Yes
271,Maze,astar,0.2,17,11.0,Yes
272,Maze,astar,0.2,37,15.0,Yes
273,Maze,astar,0.3,143,43.41,Yes
274,Maze,astar,0.5,172,35.41,Yes
275,Maze,astar,0.3,63,33.41,Yes
276,Maze,astar,1.6,179,51.0,Yes
277,Maze,astar,0.3,67,25.0,Yes
278,Maze,astar,0.3,92,38.41,Yes
279,Maze,astar,0.2,56,21.0,Yes
280,Maze,astar,0.3,68,25.41,Yes
281,Maze,astar,0.3,123,38.0,Yes
282,Maze,astar,0.1,38,14.0,Yes
283,Maze,astar,0.3,50,21.0,Yes
284,Maze,astar,0.6,66,23.0,Yes
285,Maze,astar,0.3,30,21.0,Yes
286,Maze,astar,0.3,28,15.0,Yes
287,Maze,astar,0.2,40,15.41,Yes
288,Maze,astar,0.3,29,14.0,Yes
