Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
541,Mixed,astar,0.3,8,7.41,Yes
542,Mixed,astar,0.3,25,22.9,Yes
543,Mixed,astar,0.2,29,12.0,Yes
544,Mixed,astar,0.1,12,10.66,Yes
545,Mixed,astar,0.3,39,13.41,Yes
546,Mixed,astar,0.2,14,10.41,Yes
547,Mixed,astar,0.2,11,9.83,Yes
548,Mixed,astar,0.3,16,15.24,Yes
549,Mixed,astar,0.3,11,10.83,Yes
550,Mixed,astar,0.3,28,18.83,Yes
551,Mixed,astar,0.2,11,8.83,Yes
552,Mixed,astar,0.1,14,9.0,Yes
553,Mixed,astar,0.2,21,19.83,Yes
555,Mixed,astar,0.1,8,9.07,Yes
556,Mixed,astar,0.2,15,13.66,Yes
557,Mixed,astar,0.3,47,17.9,Yes
558,Mixed,astar,0.2,42,16.66,Yes
560,Mixed,astar,0.2,38,17.24,Yes
561,Mixed,astar,0.2,17,10.66,Yes
562,Mixed,astar,0.2,13,8.83,Yes
563,Mixed,astar,0.2,21,10.41,Yes
564,Mixed,astar,0.2,20,12.83,Yes
565,Mixed,astar,0.3,35,16.41,Yes
567,Mixed,astar,0.3,15,15.49,Yes
568,Mixed,astar,0.2,17,16.49,Yes
569,Mixed,astar,0.0,15,14.66,Yes
570,Mixed,astar,0.2,28,14.24,Yes
571,Mixed,astar,0.2,21,14.24,Yes
572,Mixed,astar,0.1,40,17.66,Yes
574,Mixed,astar,0.1,11,11.24,Yes
575,Mixed,astar,0.2,23,15.24,Yes
576,Mixed,astar,0.2,24,16.24,Yes
577,Mixed,astar,0.2,22,13.83,Yes
578,Mixed,astar,0.3,16,16.9,Yes
579,Mixed,astar,0.2,34,18.83,Yes
580,Mixed,astar,0.4,116,25.07,Yes
581,Mixed,astar,0.1,26,12.66,Yes
582,Mixed,astar,0.2,25,13.24,Yes
583,Mixed,astar,0.2,36,16.83,Yes
584,Mixed,astar,0.3,8,7.83,Yes
585,Mixed,astar,0.5,176,27.14,Yes
586,Mixed,astar,0.2,9,8.83,Yes
587,Mixed,astar,0.3,9,8.66,Yes
588,Mixed,astar,0.2,31,20.66,Yes
589,Mixed,astar,0.3,25,16.66,Yes
590,Mixed,astar,0.7,63,21.66,Yes
591,Mixed,astar,0.1,15,9.83,Yes
592,Mixed,astar,0.2,8,8.24,Yes
593,Mixed,astar,0.3,31,14.07,Yes
594,Mixed,astar,0.2,11,12.49,Yes
595,Mixed,astar,0.3,26,26.31,Yes
596,Mixed,astar,0.1,15,8.83,Yes
597,Mixed,astar,0.2,20,13.0,Yes
598,Mixed,astar,0.4,31,14.66,Yes
599,Mixed,astar,0.1,23,13.41,Yes
600,Mixed,astar,0.2,45,22.66,Yes
601,Mixed,astar,0.2,22,13.24,Yes
602,Mixed,astar,0.2,15,14.83,Yes
603,Mixed,astar,0.1,15,14.24,Yes
604,Mixed,astar,0.2,11,11.24,Yes
605,Mixed,astar,0.2,34,15.41,Yes
606,Mixed,astar,0.2,16,10.83,Yes
607,Mixed,astar,0.2,18,16.07,Yes
608,Mixed,astar,0.3,49,14.66,Yes
609,Mixed,astar,0.2,23,13.24,Yes
610,Mixed,astar,0.1,22,14.83,Yes
611,Mixed,astar,0.1,10,9.83,Yes
613,Mixed,astar,0.5,34,18.66,Yes
615,Mixed,astar,0.1,40,24.31,Yes
617,Mixed,astar,0.3,14,9.0,Yes
618,Mixed,astar,0.2,47,13.83,Yes
619,Mixed,astar,0.2,30,14.49,Yes
620,Mixed,astar,0.1,10,10.24,Yes
621,Mixed,astar,0.2,10,8.83,Yes
622,Mixed,astar,0.1,14,12.83,Yes
623,Mixed,astar,0.3,47,21.66,Yes
624,Mixed,astar,0.2,27,11.83,Yes
625,Mixed,astar,0.4,15,15.24,Yes
628,Mixed,astar,0.2,13,12.0,Yes
629,Mixed,astar,0.3,12,8.83,Yes
630,Mixed,astar,0.2,40,15.66,Yes
632,Mixed,astar,0.2,18,12.24,Yes
633,Mixed,astar,0.2,12,12.66,Yes
634,Mixed,astar,0.1,14,15.07,Yes
635,Mixed,astar,0.2,10,11.49,Yes
636,Mixed,astar,0.1,8,7.0,Yes
637,Mixed,astar,0.3,20,11.83,Yes
638,Mixed,astar,0.2,18,15.24,Yes
639,Mixed,astar,0.2,24,15.66,Yes
640,Mixed,astar,0.1,11,10.83,Yes
642,Mixed,astar,0.2,10,9.83,Yes
643,Mixed,astar,0.4,18,17.49,Yes
644,Mixed,astar,0.3,104,22.07,Yes
647,Mixed,astar,0.2,38,16.83,Yes
648,Mixed,astar,0.3,38,14.66,Yes
649,Mixed,astar,0.2,26,22.73,Yes
651,Mixed,astar,0.2,7,7.66,Yes
652,Mixed,astar,0.3,38,11.83,Yes
655,Mixed,astar,0.2,8,7.0,Yes
656,Mixed,astar,0.3,21,14.24,Yes
657,Mixed,astar,0.1,9,9.24,Yes
658,Mixed,astar,0.3,9,8.83,Yes
659,Mixed,astar,0.2,9,8.41,Yes
660,Mixed,astar,0.2,10,8.83,Yes
661,Mixed,astar,0.2,21,21.07,Yes
663,Mixed,astar,0.2,7,7.66,Yes
664,Mixed,astar,0.2,13,10.83,Yes
665,Mixed,astar,0.3,9,9.24,Yes
666,Mixed,astar,0.2,15,13.66,Yes
667,Mixed,astar,0.3,13,11.24,Yes
668,Mixed,astar,0.2,93,21.83,Yes
669,Mixed,astar,0.1,22,12.0,Yes
671,Mixed,astar,0.2,38,24.24,Yes
672,Mixed,astar,0.3,43,19.83,Yes
674,Mixed,astar,0.2,23,23.31,Yes
675,Mixed,astar,0.2,20,12.41,Yes
678,Mixed,astar,0.1,32,16.66,Yes
679,Mixed,astar,0.2,38,18.83,Yes
680,Mixed,astar,0.1,9,8.66,Yes
683,Mixed,astar,0.2,14,8.83,Yes
684,Mixed,astar,0.2,19,14.24,Yes
685,Mixed,astar,0.2,66,18.24,Yes
687,Mixed,astar,0.2,27,17.24,Yes
688,Mixed,astar,0.6,103,31.9,Yes
689,Mixed,astar,0.2,27,13.83,Yes
690,Mixed,astar,0.1,9,9.66,Yes
692,Mixed,astar,0.3,33,22.24,Yes
693,Mixed,astar,0.2,43,24.41,Yes
695,Mixed,astar,0.3,111,24.66,Yes
697,Mixed,astar,0.3,15,14.66,Yes
698,Mixed,astar,0.1,9,8.41,Yes
700,Mixed,astar,0.2,22,18.07,Yes
701,Mixed,astar,0.1,15,10.83,Yes
702,Mixed,astar,0.1,26,15.41,Yes
703,Mixed,astar,0.2,17,13.66,Yes
705,Mixed,astar,0.3,29,11.83,Yes
