Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,astar,1.2,76,20.24,Yes
2,Random,astar,0.6,8,8.24,Yes
3,Random,astar,0.5,11,8.83,Yes
4,Random,astar,0.5,23,16.66,Yes
5,Random,astar,1.0,72,21.41,Yes
6,Random,astar,0.4,9,9.24,Yes
7,Random,astar,0.5,60,18.9,Yes
8,Random,astar,0.7,33,16.83,Yes
9,Random,astar,0.3,16,13.66,Yes
10,Random,astar,0.9,49,18.83,Yes
11,Random,astar,0.4,20,19.9,Yes
12,Random,astar,0.4,72,21.83,Yes
13,Random,astar,0.3,14,11.24,Yes
14,Random,astar,0.3,55,19.24,Yes
15,Random,astar,0.7,22,17.66,Yes
16,Random,astar,0.7,22,20.49,Yes
17,Random,astar,0.4,18,11.41,Yes
18,Random,astar,0.8,43,17.9,Yes
19,Random,astar,0.6,11,7.83,Yes
20,Random,astar,0.6,28,16.24,Yes
21,Random,astar,0.2,15,9.41,Yes
22,Random,astar,0.6,48,21.66,Yes
23,Random,astar,0.5,98,20.66,Yes
24,Random,astar,0.4,37,26.24,Yes
25,Random,astar,0.3,18,13.83,Yes
27,Random,astar,0.3,26,16.24,Yes
28,Random,astar,0.6,21,12.83,Yes
29,Random,astar,0.4,15,13.24,Yes
30,Random,astar,0.6,61,30.9,Yes
31,Random,astar,0.2,41,22.49,Yes
32,Random,astar,0.2,28,13.66,Yes
33,Random,astar,0.4,13,12.0,Yes
34,Random,astar,0.1,19,10.83,Yes
35,Random,astar,0.4,39,13.41,Yes
36,Random,astar,0.5,12,10.83,Yes
37,Random,astar,0.3,40,15.07,Yes
38,Random,astar,0.3,35,21.24,Yes
39,Random,astar,0.3,25,15.66,Yes
40,Random,astar,0.4,32,15.24,Yes
41,Random,astar,0.3,28,16.83,Yes
42,Random,astar,0.3,14,14.9,Yes
43,Random,astar,0.9,36,17.24,Yes
44,Random,astar,0.2,12,10.24,Yes
45,Random,astar,0.3,9,9.66,Yes
47,Random,astar,0.5,22,14.41,Yes
48,Random,astar,0.2,21,14.24,Yes
49,Random,astar,0.4,19,9.41,Yes
50,Random,astar,0.2,29,15.24,Yes
51,Random,astar,0.4,90,19.24,Yes
52,Random,astar,0.3,45,18.66,Yes
53,Random,astar,0.5,22,20.49,Yes
54,Random,astar,0.5,71,20.49,Yes
55,Random,astar,0.4,43,19.83,Yes
56,Random,astar,0.3,18,10.66,Yes
57,Random,astar,0.7,87,26.24,Yes
58,Random,astar,0.4,11,12.07,Yes
59,Random,astar,0.3,17,17.73,Yes
60,Random,astar,0.3,12,7.41,Yes
61,Random,astar,0.4,17,11.0,Yes
63,Random,astar,0.3,12,11.41,Yes
64,Random,astar,0.3,20,12.83,Yes
65,Random,astar,0.3,24,14.83,Yes
66,Random,astar,0.3,32,18.66,Yes
67,Random,astar,0.2,33,21.24,Yes
68,Random,astar,0.3,41,21.07,Yes
69,Random,astar,0.2,23,12.24,Yes
70,Random,astar,0.3,86,25.49,Yes
71,Random,astar,0.5,91,26.41,Yes
72,Random,astar,0.3,64,29.83,Yes
74,Random,astar,0.3,43,16.24,Yes
75,Random,astar,0.2,13,9.83,Yes
76,Random,astar,0.2,28,11.41,Yes
78,Random,astar,0.4,22,13.41,Yes
80,Random,astar,0.2,17,15.83,Yes
81,Random,astar,0.3,12,9.83,Yes
82,Random,astar,0.3,116,40.49,Yes
84,Random,astar,0.3,71,28.66,Yes
86,Random,astar,0.3,66,21.49,Yes
87,Random,astar,0.3,43,22.07,Yes
88,Random,astar,0.3,29,17.41,Yes
89,Random,astar,0.4,158,28.0,Yes
90,Random,astar,0.2,32,13.83,Yes
94,Random,astar,0.3,15,13.24,Yes
95,Random,astar,0.1,11,9.83,Yes
96,Random,astar,0.2,12,11.83,Yes
97,Random,astar,0.3,29,16.24,Yes
98,Random,astar,0.5,15,13.41,Yes
99,Random,astar,0.3,38,18.07,Yes
100,Random,astar,0.2,34,13.24,Yes
101,Random,astar,0.6,143,26.49,Yes
102,Random,astar,0.2,27,15.24,Yes
103,Random,astar,0.2,21,14.24,Yes
105,Random,astar,0.2,74,20.83,Yes
106,Random,astar,0.1,16,11.41,Yes
107,Random,astar,0.2,28,16.24,Yes
108,Random,astar,0.1,20,10.83,Yes
110,Random,astar,0.3,46,14.24,Yes
112,Random,astar,0.3,35,22.83,Yes
113,Random,astar,0.3,11,7.41,Yes
115,Random,astar,0.3,20,14.66,Yes
116,Random,astar,0.3,16,15.24,Yes
117,Random,astar,0.3,54,23.66,Yes
118,Random,astar,0.3,30,20.07,Yes
119,Random,astar,0.3,20,15.83,Yes
126,Random,astar,0.6,119,39.49,Yes
132,Random,astar,0.3,11,9.41,Yes
133,Random,astar,0.2,46,19.24,Yes
138,Random,astar,0.2,75,33.83,Yes
139,Random,astar,0.2,86,25.07,Yes
146,Random,astar,0.5,134,33.24,Yes
148,Random,astar,0.2,59,25.83,Yes
152,Random,astar,0.3,36,12.66,Yes
154,Random,astar,0.4,19,9.83,Yes
157,Random,astar,0.2,12,10.41,Yes
163,Random,astar,0.2,86,21.0,Yes
165,Random,astar,0.4,66,21.83,Yes
166,Random,astar,0.5,27,11.66,Yes
173,Random,astar,0.2,20,15.83,Yes
177,Random,astar,0.4,19,14.83,Yes
