Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
363,Clustered,ml,0.4,10,9.0,Yes
364,Clustered,ml,0.2,15,13.41,Yes
365,Clustered,ml,0.1,15,14.0,Yes
366,Clustered,ml,0.1,8,8.24,Yes
369,Clustered,ml,0.3,37,18.83,Yes
370,Clustered,ml,0.1,10,12.31,Yes
372,Clustered,ml,0.2,9,10.07,Yes
373,Clustered,ml,0.2,24,14.24,Yes
374,Clustered,ml,0.2,48,20.31,Yes
375,Clustered,ml,0.2,10,9.41,Yes
376,Clustered,ml,0.2,6,7.07,Yes
377,Clustered,ml,0.1,12,12.24,Yes
379,Clustered,ml,0.2,17,14.83,Yes
380,Clustered,ml,0.1,12,11.83,Yes
381,Clustered,ml,0.0,15,13.83,Yes
382,Clustered,ml,0.2,46,14.66,Yes
383,Clustered,ml,0.2,10,10.66,Yes
384,Clustered,ml,0.3,18,17.0,Yes
385,Clustered,ml,0.2,15,14.41,Yes
386,Clustered,ml,0.0,13,10.83,Yes
387,Clustered,ml,0.2,40,14.66,Yes
388,Clustered,ml,0.1,16,14.41,Yes
389,Clustered,ml,0.2,12,12.66,Yes
390,Clustered,ml,0.2,14,13.41,Yes
391,Clustered,ml,0.3,11,13.31,Yes
392,Clustered,ml,0.2,13,12.49,Yes
393,Clustered,ml,0.1,15,11.66,Yes
394,Clustered,ml,0.3,71,25.24,Yes
395,Clustered,ml,0.2,9,8.83,Yes
396,Clustered,ml,0.3,50,16.31,Yes
397,Clustered,ml,0.6,201,26.66,Yes
398,Clustered,ml,0.1,10,9.83,Yes
399,Clustered,ml,0.3,17,17.66,Yes
400,Clustered,ml,0.2,9,10.07,Yes
401,Clustered,ml,0.3,11,12.49,Yes
402,Clustered,ml,0.2,12,8.66,Yes
403,Clustered,ml,0.2,8,7.41,Yes
404,Clustered,ml,0.2,50,17.41,Yes
405,Clustered,ml,0.3,12,13.9,Yes
406,Clustered,ml,0.3,39,24.66,Yes
407,Clustered,ml,0.2,9,8.0,Yes
408,Clustered,ml,0.0,14,15.49,Yes
409,Clustered,ml,0.2,12,11.07,Yes
410,Clustered,ml,0.0,31,13.66,Yes
411,Clustered,ml,0.3,11,10.83,Yes
412,Clustered,ml,0.2,56,18.07,Yes
413,Clustered,ml,0.1,12,13.9,Yes
414,Clustered,ml,0.1,14,15.07,Yes
415,Clustered,ml,0.2,74,18.83,Yes
416,Clustered,ml,0.3,30,22.66,Yes
418,Clustered,ml,0.5,111,21.49,Yes
419,Clustered,ml,0.1,24,16.66,Yes
420,Clustered,ml,0.1,10,12.31,Yes
421,Clustered,ml,0.2,11,12.9,Yes
423,Clustered,ml,0.3,46,23.9,Yes
424,Clustered,ml,0.3,71,23.66,Yes
425,Clustered,ml,0.2,12,13.07,Yes
426,Clustered,ml,0.2,9,9.24,Yes
427,Clustered,ml,0.1,13,15.31,Yes
428,Clustered,ml,0.3,52,22.49,Yes
429,Clustered,ml,0.3,12,14.31,Yes
430,Clustered,ml,0.1,13,14.9,Yes
431,Clustered,ml,0.2,44,22.07,Yes
432,Clustered,ml,0.2,11,12.07,Yes
433,Clustered,ml,0.2,11,10.83,Yes
435,Clustered,ml,0.4,13,13.24,Yes
436,Clustered,ml,0.1,19,17.66,Yes
438,Clustered,ml,0.2,14,12.41,Yes
439,Clustered,ml,0.2,13,14.9,Yes
440,Clustered,ml,0.4,58,20.9,Yes
442,Clustered,ml,0.4,83,17.41,Yes
444,Clustered,ml,0.2,7,8.07,Yes
445,Clustered,ml,0.2,16,16.31,Yes
446,Clustered,ml,0.2,8,8.24,Yes
447,Clustered,ml,0.2,30,26.66,Yes
449,Clustered,ml,0.2,36,17.24,Yes
450,Clustered,ml,0.1,13,14.9,Yes
456,Clustered,ml,0.1,19,19.24,Yes
457,Clustered,ml,0.1,12,14.73,Yes
458,Clustered,ml,0.0,24,20.24,Yes
459,Clustered,ml,0.1,9,9.66,Yes
460,Clustered,ml,0.1,57,19.9,Yes
461,Clustered,ml,0.2,8,8.24,Yes
462,Clustered,ml,0.2,7,7.66,Yes
465,Clustered,ml,0.2,57,29.07,Yes
466,Clustered,ml,0.1,9,10.07,Yes
468,Clustered,ml,0.2,12,14.73,Yes
469,Clustered,ml,0.1,19,19.9,Yes
470,Clustered,ml,0.2,14,10.24,Yes
471,Clustered,ml,0.2,18,18.66,Yes
473,Clustered,ml,0.1,16,16.9,Yes
475,Clustered,ml,0.2,16,19.97,Yes
476,Clustered,ml,0.1,8,7.41,Yes
478,Clustered,ml,0.3,13,10.24,Yes
480,Clustered,ml,0.1,22,23.73,Yes
483,Clustered,ml,0.4,89,32.24,Yes
485,Clustered,ml,0.1,8,7.41,Yes
487,Clustered,ml,0.1,12,12.24,Yes
488,Clustered,ml,0.1,15,13.24,Yes
489,Clustered,ml,0.2,8,7.0,Yes
491,Clustered,ml,0.1,21,15.24,Yes
493,Clustered,ml,0.2,25,10.0,Yes
494,Clustered,ml,0.1,11,10.24,Yes
497,Clustered,ml,0.2,33,14.41,Yes
498,Clustered,ml,0.2,16,13.41,Yes
501,Clustered,ml,0.2,59,17.24,Yes
502,Clustered,ml,0.2,19,11.83,Yes
503,Clustered,ml,0.4,74,30.49,Yes
504,Clustered,ml,0.3,14,9.66,Yes
505,Clustered,ml,0.2,9,9.66,Yes
506,Clustered,ml,0.2,27,12.66,Yes
507,Clustered,ml,0.2,30,12.83,Yes
510,Clustered,ml,0.2,29,17.66,Yes
511,Clustered,ml,0.0,14,8.83,Yes
512,Clustered,ml,0.1,40,21.66,Yes
513,Clustered,ml,0.1,20,13.41,Yes
517,Clustered,ml,0.2,27,12.83,Yes
518,Clustered,ml,0.2,13,12.24,Yes
519,Clustered,ml,0.2,66,24.49,Yes
521,Clustered,ml,0.4,163,34.07,Yes
522,Clustered,ml,0.1,35,16.41,Yes
524,Clustered,ml,0.3,140,35.9,Yes
526,Clustered,ml,0.1,28,16.24,Yes
527,Clustered,ml,0.1,12,8.41,Yes
528,Clustered,ml,0.3,173,31.49,Yes
532,Clustered,ml,0.2,84,20.24,Yes
534,Clustered,ml,0.2,79,35.49,Yes
535,Clustered,ml,0.3,54,15.41,Yes
536,Clustered,ml,0.1,8,8.24,Yes
