Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
182,Maze,ml,0.1,29,18.0,Yes
183,Maze,ml,0.2,104,55.41,Yes
184,Maze,ml,0.3,97,40.41,Yes
185,Maze,ml,0.2,37,26.0,Yes
186,Maze,ml,0.2,68,31.41,Yes
187,Maze,ml,0.3,33,16.0,Yes
188,Maze,ml,0.1,16,13.0,Yes
189,Maze,ml,0.4,64,24.0,Yes
190,Maze,ml,0.3,173,44.41,Yes
191,Maze,ml,0.3,119,35.0,Yes
192,Maze,ml,0.2,43,16.0,Yes
193,Maze,ml,0.2,79,32.0,Yes
194,Maze,ml,0.2,59,22.41,Yes
195,Maze,ml,0.1,65,27.41,Yes
196,Maze,ml,0.2,33,18.41,Yes
197,Maze,ml,0.2,139,52.41,Yes
198,Maze,ml,0.2,74,37.0,Yes
199,Maze,ml,0.1,105,39.0,Yes
200,Maze,ml,0.2,24,15.0,Yes
201,Maze,ml,0.2,129,40.41,Yes
202,Maze,ml,0.1,132,76.41,Yes
203,Maze,ml,0.2,27,22.83,Yes
204,Maze,ml,0.1,37,24.0,Yes
205,Maze,ml,0.2,15,12.0,Yes
206,Maze,ml,0.4,125,36.24,Yes
207,Maze,ml,0.1,100,31.41,Yes
208,Maze,ml,0.3,76,30.0,Yes
209,Maze,ml,0.2,47,20.0,Yes
210,Maze,ml,0.2,55,39.0,Yes
211,Maze,ml,0.2,82,29.0,Yes
213,Maze,ml,0.3,42,23.41,Yes
214,Maze,ml,0.4,161,37.24,Yes
215,Maze,ml,0.2,39,19.0,Yes
216,Maze,ml,0.2,18,16.83,Yes
217,Maze,ml,0.2,94,31.83,Yes
218,Maze,ml,0.2,45,24.0,Yes
219,Maze,ml,0.1,51,21.24,Yes
220,Maze,ml,0.3,80,28.0,Yes
222,Maze,ml,0.3,16,13.41,Yes
223,Maze,ml,0.3,95,34.24,Yes
224,Maze,ml,0.2,34,16.0,Yes
225,Maze,ml,0.3,111,34.83,Yes
226,Maze,ml,0.2,16,11.41,Yes
227,Maze,ml,0.2,48,27.41,Yes
228,Maze,ml,0.2,64,21.0,Yes
229,Maze,ml,0.2,163,42.41,Yes
230,Maze,ml,0.2,74,44.0,Yes
231,Maze,ml,0.3,122,38.83,Yes
232,Maze,ml,0.3,191,84.0,Yes
233,Maze,ml,0.2,94,30.0,Yes
234,Maze,ml,0.3,78,25.41,Yes
235,Maze,ml,0.4,82,36.41,Yes
236,Maze,ml,0.2,42,22.41,Yes
237,Maze,ml,0.2,61,28.0,Yes
238,Maze,ml,0.2,40,22.0,Yes
239,Maze,ml,0.1,19,16.0,Yes
240,Maze,ml,0.2,84,28.41,Yes
241,Maze,ml,0.2,194,45.41,Yes
242,Maze,ml,0.3,136,39.66,Yes
243,Maze,ml,0.1,38,20.0,Yes
244,Maze,ml,0.2,62,33.41,Yes
245,Maze,ml,0.2,12,9.0,Yes
246,Maze,ml,0.1,17,11.0,Yes
247,Maze,ml,0.0,54,23.41,Yes
248,Maze,ml,0.2,92,30.0,Yes
249,Maze,ml,0.4,194,62.83,Yes
250,Maze,ml,0.4,97,29.41,Yes
251,Maze,ml,0.2,109,39.0,Yes
252,Maze,ml,0.3,84,31.0,Yes
253,Maze,ml,0.2,88,32.0,Yes
254,Maze,ml,0.2,56,22.41,Yes
255,Maze,ml,0.2,50,25.0,Yes
256,Maze,ml,0.2,119,40.0,Yes
257,Maze,ml,0.2,68,24.41,Yes
258,Maze,ml,0.2,112,42.41,Yes
259,Maze,ml,0.2,19,16.0,Yes
260,Maze,ml,0.2,13,11.0,Yes
261,Maze,ml,0.1,91,32.0,Yes
262,Maze,ml,0.3,77,36.0,Yes
263,Maze,ml,0.2,60,21.41,Yes
264,Maze,ml,0.2,62,30.83,Yes
265,Maze,ml,0.3,148,52.0,Yes
266,Maze,ml,0.3,110,36.41,Yes
267,Maze,ml,0.1,45,25.83,Yes
268,Maze,ml,0.2,42,16.41,Yes
269,Maze,ml,0.3,65,28.41,Yes
270,Maze,ml,0.1,18,13.0,Yes
271,Maze,ml,0.2,56,28.41,Yes
272,Maze,ml,0.3,169,45.41,Yes
273,Maze,ml,0.2,32,17.0,Yes
274,Maze,ml,0.4,31,21.41,Yes
275,Maze,ml,0.3,126,60.41,Yes
276,Maze,ml,0.3,82,30.0,Yes
277,Maze,ml,0.3,142,52.41,Yes
278,Maze,ml,0.1,41,20.41,Yes
279,Maze,ml,0.2,63,29.41,Yes
280,Maze,ml,0.3,78,26.41,Yes
281,Maze,ml,0.2,172,44.83,Yes
282,Maze,ml,0.3,149,40.0,Yes
283,Maze,ml,0.2,92,42.0,Yes
284,Maze,ml,0.3,58,26.0,Yes
285,Maze,ml,0.1,20,14.0,Yes
286,Maze,ml,0.2,146,30.83,Yes
287,Maze,ml,0.3,43,19.83,Yes
288,Maze,ml,0.3,144,47.41,Yes
289,Maze,ml,0.1,26,14.0,Yes
290,Maze,ml,0.1,19,14.41,Yes
291,Maze,ml,0.2,132,50.41,Yes
292,Maze,ml,0.3,164,47.83,Yes
293,Maze,ml,0.2,97,34.41,Yes
294,Maze,ml,0.3,149,47.0,Yes
295,Maze,ml,0.4,173,50.0,Yes
296,Maze,ml,0.1,41,19.41,Yes
297,Maze,ml,0.1,39,18.41,Yes
298,Maze,ml,0.2,29,16.0,Yes
299,Maze,ml,0.2,68,27.0,Yes
300,Maze,ml,0.1,63,37.24,Yes
301,Maze,ml,0.2,90,25.0,Yes
302,Maze,ml,0.2,52,22.0,Yes
303,Maze,ml,0.1,55,21.83,Yes
304,Maze,ml,0.2,38,23.0,Yes
305,Maze,ml,0.3,197,47.0,Yes
306,Maze,ml,0.1,33,19.41,Yes
307,Maze,ml,0.3,208,48.41,Yes
308,Maze,ml,0.5,171,55.83,Yes
309,Maze,ml,0.2,16,13.41,Yes
310,Maze,ml,0.2,52,28.41,Yes
311,Maze,ml,0.2,143,33.0,Yes
312,Maze,ml,0.1,38,17.0,Yes
313,Maze,ml,0.1,71,25.0,Yes
314,Maze,ml,0.2,159,58.41,Yes
315,Maze,ml,0.1,54,26.83,Yes
316,Maze,ml,0.2,39,16.0,Yes
317,Maze,ml,0.1,21,19.41,Yes
318,Maze,ml,0.3,45,21.83,Yes
319,Maze,ml,0.3,51,37.41,Yes
320,Maze,ml,0.3,96,37.41,Yes
321,Maze,ml,0.3,49,27.0,Yes
322,Maze,ml,0.3,143,42.83,Yes
323,Maze,ml,0.3,64,22.0,Yes
324,Maze,ml,0.2,33,15.41,Yes
325,Maze,ml,0.3,36,16.83,Yes
326,Maze,ml,0.3,87,37.0,Yes
327,Maze,ml,0.3,163,45.0,Yes
328,Maze,ml,0.2,102,46.41,Yes
329,Maze,ml,0.2,117,42.83,Yes
330,Maze,ml,0.2,17,12.41,Yes
331,Maze,ml,0.3,168,47.24,Yes
332,Maze,ml,0.2,42,19.41,Yes
333,Maze,ml,0.1,20,12.0,Yes
334,Maze,ml,0.1,26,17.0,Yes
335,Maze,ml,0.3,114,46.0,Yes
336,Maze,ml,0.1,77,30.0,Yes
337,Maze,ml,0.2,35,19.0,Yes
338,Maze,ml,0.5,153,38.0,Yes
339,Maze,ml,0.2,68,32.83,Yes
340,Maze,ml,0.3,111,42.0,Yes
341,Maze,ml,0.2,59,17.41,Yes
342,Maze,ml,0.1,66,26.0,Yes
343,Maze,ml,0.2,41,23.0,Yes
344,Maze,ml,0.1,47,18.0,Yes
345,Maze,ml,0.4,137,35.41,Yes
346,Maze,ml,0.1,17,16.0,Yes
347,Maze,ml,0.2,50,28.24,Yes
348,Maze,ml,0.2,98,32.0,Yes
349,Maze,ml,0.3,55,21.0,Yes
350,Maze,ml,0.2,51,32.0,Yes
351,Maze,ml,0.2,126,39.41,Yes
352,Maze,ml,0.1,115,34.41,Yes
353,Maze,ml,0.4,131,39.0,Yes
354,Maze,ml,0.1,26,20.83,Yes
355,Maze,ml,0.2,54,24.0,Yes
356,Maze,ml,0.3,51,29.0,Yes
357,Maze,ml,0.2,57,25.41,Yes
358,Maze,ml,0.3,111,25.83,Yes
359,Maze,ml,0.1,53,27.0,Yes
360,Maze,ml,0.2,22,16.41,Yes
