Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
541,Mixed,ml,0.1,12,14.31,Yes
542,Mixed,ml,0.3,20,15.66,Yes
543,Mixed,ml,0.3,33,20.49,Yes
544,Mixed,ml,0.3,10,11.9,Yes
545,Mixed,ml,0.2,14,9.41,Yes
546,Mixed,ml,0.2,12,12.07,Yes
547,Mixed,ml,0.2,22,17.66,Yes
548,Mixed,ml,0.3,59,22.66,Yes
549,Mixed,ml,0.2,33,24.49,Yes
550,Mixed,ml,0.1,12,11.24,Yes
551,Mixed,ml,0.1,19,13.0,Yes
552,Mixed,ml,0.2,11,11.07,Yes
553,Mixed,ml,0.3,13,9.24,Yes
555,Mixed,ml,0.2,20,11.24,Yes
556,Mixed,ml,0.3,19,21.73,Yes
557,Mixed,ml,0.2,15,12.66,Yes
558,Mixed,ml,0.2,24,16.83,Yes
560,Mixed,ml,0.3,82,17.9,Yes
561,Mixed,ml,0.2,16,12.24,Yes
562,Mixed,ml,0.3,10,10.66,Yes
563,Mixed,ml,0.1,11,11.07,Yes
564,Mixed,ml,0.1,12,11.41,Yes
565,Mixed,ml,0.3,59,17.66,Yes
567,Mixed,ml,0.3,44,20.66,Yes
568,Mixed,ml,0.3,18,14.83,Yes
569,Mixed,ml,0.1,27,15.07,Yes
570,Mixed,ml,0.1,8,7.41,Yes
571,Mixed,ml,0.2,15,10.83,Yes
572,Mixed,ml,0.4,27,21.9,Yes
574,Mixed,ml,0.1,17,11.83,Yes
575,Mixed,ml,0.1,17,15.07,Yes
576,Mixed,ml,0.2,14,16.73,Yes
577,Mixed,ml,0.2,32,12.07,Yes
578,Mixed,ml,0.2,12,12.66,Yes
579,Mixed,ml,0.1,25,12.24,Yes
580,Mixed,ml,0.2,64,17.07,Yes
581,Mixed,ml,0.1,17,15.49,Yes
582,Mixed,ml,0.2,30,16.83,Yes
583,Mixed,ml,0.1,15,11.83,Yes
584,Mixed,ml,0.2,25,10.41,Yes
585,Mixed,ml,0.3,19,16.49,Yes
586,Mixed,ml,0.1,9,8.0,Yes
587,Mixed,ml,0.1,30,17.24,Yes
588,Mixed,ml,0.2,29,14.83,Yes
589,Mixed,ml,0.2,12,10.83,Yes
590,Mixed,ml,0.3,91,25.9,Yes
591,Mixed,ml,0.1,21,15.66,Yes
592,Mixed,ml,0.1,11,10.41,Yes
593,Mixed,ml,0.2,11,8.83,Yes
594,Mixed,ml,0.2,19,23.38,Yes
595,Mixed,ml,0.2,18,14.07,Yes
596,Mixed,ml,0.2,25,12.24,Yes
597,Mixed,ml,0.2,17,11.41,Yes
598,Mixed,ml,0.2,36,12.66,Yes
599,Mixed,ml,0.2,15,10.66,Yes
600,Mixed,ml,0.2,46,21.07,Yes
601,Mixed,ml,0.3,9,10.07,Yes
602,Mixed,ml,0.3,21,10.07,Yes
603,Mixed,ml,0.2,29,18.41,Yes
604,Mixed,ml,0.3,15,10.83,Yes
605,Mixed,ml,0.2,33,22.41,Yes
606,Mixed,ml,0.1,18,12.24,Yes
607,Mixed,ml,0.1,12,14.31,Yes
608,Mixed,ml,0.1,9,8.0,Yes
609,Mixed,ml,0.2,19,15.49,Yes
610,Mixed,ml,0.1,36,12.24,Yes
611,Mixed,ml,0.1,43,20.24,Yes
613,Mixed,ml,0.2,38,20.83,Yes
615,Mixed,ml,0.2,15,13.24,Yes
617,Mixed,ml,0.2,25,19.41,Yes
618,Mixed,ml,0.2,19,17.49,Yes
619,Mixed,ml,0.1,28,25.07,Yes
620,Mixed,ml,0.2,11,11.66,Yes
621,Mixed,ml,0.2,20,18.9,Yes
622,Mixed,ml,0.3,18,18.31,Yes
623,Mixed,ml,0.3,45,24.24,Yes
624,Mixed,ml,0.2,20,11.41,Yes
625,Mixed,ml,0.4,12,13.07,Yes
628,Mixed,ml,0.2,11,9.24,Yes
629,Mixed,ml,0.2,20,15.66,Yes
630,Mixed,ml,0.3,60,16.9,Yes
632,Mixed,ml,0.1,17,15.66,Yes
633,Mixed,ml,0.2,36,24.49,Yes
634,Mixed,ml,0.0,9,9.24,Yes
635,Mixed,ml,0.1,31,14.83,Yes
636,Mixed,ml,0.0,12,12.24,Yes
637,Mixed,ml,0.0,9,8.41,Yes
638,Mixed,ml,0.1,55,18.24,Yes
639,Mixed,ml,0.2,14,9.83,Yes
640,Mixed,ml,0.1,11,9.83,Yes
642,Mixed,ml,0.2,20,13.41,Yes
643,Mixed,ml,0.2,18,8.41,Yes
644,Mixed,ml,0.3,60,15.07,Yes
647,Mixed,ml,0.1,21,11.83,Yes
648,Mixed,ml,0.3,49,19.49,Yes
649,Mixed,ml,0.1,24,16.24,Yes
651,Mixed,ml,0.1,12,12.9,Yes
652,Mixed,ml,0.1,26,11.83,Yes
655,Mixed,ml,0.3,14,13.41,Yes
656,Mixed,ml,0.1,15,14.83,Yes
657,Mixed,ml,0.1,13,13.24,Yes
658,Mixed,ml,0.2,13,8.41,Yes
