Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,ml,0.4,8,8.66,Yes
2,Random,ml,0.3,13,10.24,Yes
3,Random,ml,0.5,53,22.66,Yes
4,Random,ml,0.9,25,23.73,Yes
5,Random,ml,0.4,22,11.41,Yes
6,Random,ml,0.3,10,10.66,Yes
7,Random,ml,0.3,27,15.83,Yes
8,Random,ml,0.2,21,11.24,Yes
9,Random,ml,0.3,14,9.0,Yes
10,Random,ml,0.2,10,9.24,Yes
11,Random,ml,0.3,21,15.83,Yes
12,Random,ml,0.3,27,15.41,Yes
13,Random,ml,0.1,14,8.41,Yes
14,Random,ml,0.3,19,10.41,Yes
15,Random,ml,0.7,54,22.66,Yes
16,Random,ml,0.3,11,11.07,Yes
17,Random,ml,0.5,53,21.41,Yes
18,Random,ml,0.2,52,21.66,Yes
19,Random,ml,0.4,74,23.24,Yes
20,Random,ml,0.2,11,10.66,Yes
21,Random,ml,0.1,14,12.24,Yes
22,Random,ml,0.3,14,9.24,Yes
23,Random,ml,0.2,30,14.24,Yes
24,Random,ml,0.3,35,25.66,Yes
25,Random,ml,0.2,32,13.41,Yes
27,Random,ml,0.4,43,20.24,Yes
28,Random,ml,0.5,15,14.07,Yes
29,Random,ml,0.2,15,14.66,Yes
30,Random,ml,0.2,14,15.49,Yes
31,Random,ml,0.2,10,8.66,Yes
32,Random,ml,0.2,46,22.83,Yes
33,Random,ml,0.2,18,16.41,Yes
34,Random,ml,0.7,52,19.66,Yes
35,Random,ml,0.2,20,13.66,Yes
36,Random,ml,0.8,78,17.0,Yes
37,Random,ml,0.3,30,19.49,Yes
38,Random,ml,0.2,16,13.66,Yes
39,Random,ml,0.2,10,8.41,Yes
40,Random,ml,0.3,38,24.07,Yes
41,Random,ml,0.3,16,14.24,Yes
42,Random,ml,0.3,42,17.66,Yes
43,Random,ml,0.3,37,14.41,Yes
44,Random,ml,0.3,39,16.07,Yes
45,Random,ml,0.3,20,11.41,Yes
47,Random,ml,0.3,20,10.66,Yes
48,Random,ml,0.4,37,14.83,Yes
49,Random,ml,0.5,37,22.49,Yes
50,Random,ml,0.2,21,11.83,Yes
51,Random,ml,0.3,16,15.41,Yes
52,Random,ml,0.4,36,19.07,Yes
53,Random,ml,0.7,155,25.49,Yes
54,Random,ml,0.3,17,15.07,Yes
55,Random,ml,0.3,14,13.07,Yes
56,Random,ml,0.3,18,19.31,Yes
57,Random,ml,0.3,40,24.07,Yes
58,Random,ml,0.2,19,19.31,Yes
59,Random,ml,0.2,9,8.83,Yes
60,Random,ml,0.1,12,7.83,Yes
61,Random,ml,0.3,25,22.49,Yes
63,Random,ml,0.3,72,22.24,Yes
64,Random,ml,0.4,42,20.24,Yes
65,Random,ml,0.7,184,34.24,Yes
66,Random,ml,0.2,30,12.41,Yes
67,Random,ml,0.2,14,12.66,Yes
68,Random,ml,0.3,13,12.83,Yes
69,Random,ml,0.2,14,9.41,Yes
70,Random,ml,0.3,20,13.41,Yes
71,Random,ml,0.4,8,7.0,Yes
72,Random,ml,0.3,103,32.66,Yes
74,Random,ml,0.2,28,16.66,Yes
75,Random,ml,0.2,23,15.24,Yes
76,Random,ml,0.4,80,28.66,Yes
78,Random,ml,0.2,15,10.0,Yes
80,Random,ml,0.3,35,11.83,Yes
81,Random,ml,0.3,42,13.41,Yes
82,Random,ml,0.2,80,25.49,Yes
84,Random,ml,0.2,24,11.41,Yes
86,Random,ml,0.2,62,21.31,Yes
87,Random,ml,0.2,56,17.66,Yes
88,Random,ml,0.3,63,18.24,Yes
89,Random,ml,0.2,10,9.83,Yes
90,Random,ml,0.2,51,22.66,Yes
94,Random,ml,0.2,42,21.24,Yes
95,Random,ml,0.1,20,13.24,Yes
96,Random,ml,0.1,20,13.24,Yes
97,Random,ml,0.1,41,17.41,Yes
98,Random,ml,0.2,58,20.24,Yes
99,Random,ml,0.2,74,22.83,Yes
100,Random,ml,0.0,19,10.66,Yes
101,Random,ml,0.2,21,17.24,Yes
102,Random,ml,0.3,62,19.66,Yes
103,Random,ml,0.3,94,23.24,Yes
105,Random,ml,0.3,14,12.24,Yes
106,Random,ml,0.4,13,9.41,Yes
107,Random,ml,0.2,22,14.83,Yes
108,Random,ml,0.2,19,13.83,Yes
110,Random,ml,0.2,39,17.41,Yes
112,Random,ml,0.2,28,21.24,Yes
113,Random,ml,0.1,19,10.41,Yes
115,Random,ml,0.3,40,14.24,Yes
116,Random,ml,0.3,20,12.07,Yes
117,Random,ml,0.2,32,15.66,Yes
118,Random,ml,0.3,25,17.41,Yes
119,Random,ml,0.4,48,20.49,Yes
126,Random,ml,0.1,34,14.83,Yes
132,Random,ml,0.3,10,9.24,Yes
133,Random,ml,0.2,39,20.66,Yes
138,Random,ml,0.2,23,12.41,Yes
139,Random,ml,0.1,30,20.66,Yes
146,Random,ml,0.1,23,14.41,Yes
148,Random,ml,0.2,17,13.41,Yes
152,Random,ml,0.1,28,18.24,Yes
154,Random,ml,0.1,17,11.41,Yes
157,Random,ml,0.2,24,14.07,Yes
163,Random,ml,0.2,15,10.83,Yes
165,Random,ml,0.3,39,21.24,Yes
166,Random,ml,0.2,16,10.41,Yes
173,Random,ml,0.1,21,17.24,Yes
177,Random,ml,0.2,27,14.41,Yes
