Test Case,Layout Type,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,astar,1.2,76,20.24,Yes
1,Random,ml,0.4,8,8.66,Yes
2,Random,astar,0.6,8,8.24,Yes
2,Random,ml,0.3,13,10.24,Yes
3,Random,astar,0.5,11,8.83,Yes
3,Random,ml,0.5,53,22.66,Yes
4,Random,astar,0.5,23,16.66,Yes
4,Random,ml,0.9,25,23.73,Yes
5,Random,astar,1.0,72,21.41,Yes
5,Random,ml,0.4,22,11.41,Yes
6,Random,astar,0.4,9,9.24,Yes
6,Random,ml,0.3,10,10.66,Yes
7,Random,astar,0.5,60,18.9,Yes
7,Random,ml,0.3,27,15.83,Yes
8,Random,astar,0.7,33,16.83,Yes
8,Random,ml,0.2,21,11.24,Yes
9,Random,astar,0.3,16,13.66,Yes
9,Random,ml,0.3,14,9.0,Yes
10,Random,astar,0.9,49,18.83,Yes
10,Random,ml,0.2,10,9.24,Yes
11,Random,astar,0.4,20,19.9,Yes
11,Random,ml,0.3,21,15.83,Yes
12,Random,astar,0.4,72,21.83,Yes
12,Random,ml,0.3,27,15.41,Yes
13,Random,astar,0.3,14,11.24,Yes
13,Random,ml,0.1,14,8.41,Yes
14,Random,astar,0.3,55,19.24,Yes
14,Random,ml,0.3,19,10.41,Yes
15,Random,astar,0.7,22,17.66,Yes
15,Random,ml,0.7,54,22.66,Yes
16,Random,astar,0.7,22,20.49,Yes
16,Random,ml,0.3,11,11.07,Yes
17,Random,astar,0.4,18,11.41,Yes
17,Random,ml,0.5,53,21.41,Yes
18,Random,astar,0.8,43,17.9,Yes
18,Random,ml,0.2,52,21.66,Yes
19,Random,astar,0.6,11,7.83,Yes
19,Random,ml,0.4,74,23.24,Yes
20,Random,astar,0.6,28,16.24,Yes
20,Random,ml,0.2,11,10.66,Yes
21,Random,astar,0.2,15,9.41,Yes
21,Random,ml,0.1,14,12.24,Yes
22,Random,astar,0.6,48,21.66,Yes
22,Random,ml,0.3,14,9.24,Yes
23,Random,astar,0.5,98,20.66,Yes
23,Random,ml,0.2,30,14.24,Yes
24,Random,astar,0.4,37,26.24,Yes
24,Random,ml,0.3,35,25.66,Yes
25,Random,astar,0.3,18,13.83,Yes
25,Random,ml,0.2,32,13.41,Yes
27,Random,astar,0.3,26,16.24,Yes
27,Random,ml,0.4,43,20.24,Yes
28,Random,astar,0.6,21,12.83,Yes
28,Random,ml,0.5,15,14.07,Yes
29,Random,astar,0.4,15,13.24,Yes
29,Random,ml,0.2,15,14.66,Yes
30,Random,astar,0.6,61,30.9,Yes
30,Random,ml,0.2,14,15.49,Yes
31,Random,astar,0.2,41,22.49,Yes
31,Random,ml,0.2,10,8.66,Yes
32,Random,astar,0.2,28,13.66,Yes
32,Random,ml,0.2,46,22.83,Yes
33,Random,astar,0.4,13,12.0,Yes
33,Random,ml,0.2,18,16.41,Yes
34,Random,astar,0.1,19,10.83,Yes
34,Random,ml,0.7,52,19.66,Yes
35,Random,astar,0.4,39,13.41,Yes
35,Random,ml,0.2,20,13.66,Yes
36,Random,astar,0.5,12,10.83,Yes
36,Random,ml,0.8,78,17.0,Yes
37,Random,astar,0.3,40,15.07,Yes
37,Random,ml,0.3,30,19.49,Yes
38,Random,astar,0.3,35,21.24,Yes
38,Random,ml,0.2,16,13.66,Yes
39,Random,astar,0.3,25,15.66,Yes
39,Random,ml,0.2,10,8.41,Yes
40,Random,astar,0.4,32,15.24,Yes
40,Random,ml,0.3,38,24.07,Yes
41,Random,astar,0.3,28,16.83,Yes
41,Random,ml,0.3,16,14.24,Yes
42,Random,astar,0.3,14,14.9,Yes
42,Random,ml,0.3,42,17.66,Yes
43,Random,astar,0.9,36,17.24,Yes
43,Random,ml,0.3,37,14.41,Yes
44,Random,astar,0.2,12,10.24,Yes
44,Random,ml,0.3,39,16.07,Yes
45,Random,astar,0.3,9,9.66,Yes
45,Random,ml,0.3,20,11.41,Yes
47,Random,astar,0.5,22,14.41,Yes
47,Random,ml,0.3,20,10.66,Yes
48,Random,astar,0.2,21,14.24,Yes
48,Random,ml,0.4,37,14.83,Yes
49,Random,astar,0.4,19,9.41,Yes
49,Random,ml,0.5,37,22.49,Yes
50,Random,astar,0.2,29,15.24,Yes
50,Random,ml,0.2,21,11.83,Yes
51,Random,astar,0.4,90,19.24,Yes
51,Random,ml,0.3,16,15.41,Yes
52,Random,astar,0.3,45,18.66,Yes
52,Random,ml,0.4,36,19.07,Yes
53,Random,astar,0.5,22,20.49,Yes
53,Random,ml,0.7,155,25.49,Yes
54,Random,astar,0.5,71,20.49,Yes
54,Random,ml,0.3,17,15.07,Yes
55,Random,astar,0.4,43,19.83,Yes
55,Random,ml,0.3,14,13.07,Yes
56,Random,astar,0.3,18,10.66,Yes
56,Random,ml,0.3,18,19.31,Yes
57,Random,astar,0.7,87,26.24,Yes
57,Random,ml,0.3,40,24.07,Yes
58,Random,astar,0.4,11,12.07,Yes
58,Random,ml,0.2,19,19.31,Yes
59,Random,astar,0.3,17,17.73,Yes
59,Random,ml,0.2,9,8.83,Yes
60,Random,astar,0.3,12,7.41,Yes
60,Random,ml,0.1,12,7.83,Yes
61,Random,astar,0.4,17,11.0,Yes
61,Random,ml,0.3,25,22.49,Yes
63,Random,astar,0.3,12,11.41,Yes
63,Random,ml,0.3,72,22.24,Yes
64,Random,astar,0.3,20,12.83,Yes
64,Random,ml,0.4,42,20.24,Yes
65,Random,astar,0.3,24,14.83,Yes
65,Random,ml,0.7,184,34.24,Yes
66,Random,astar,0.3,32,18.66,Yes
66,Random,ml,0.2,30,12.41,Yes
67,Random,astar,0.2,33,21.24,Yes
67,Random,ml,0.2,14,12.66,Yes
68,Random,astar,0.3,41,21.07,Yes
68,Random,ml,0.3,13,12.83,Yes
69,Random,astar,0.2,23,12.24,Yes
69,Random,ml,0.2,14,9.41,Yes
70,Random,astar,0.3,86,25.49,Yes
70,Random,ml,0.3,20,13.41,Yes
71,Random,astar,0.5,91,26.41,Yes
71,Random,ml,0.4,8,7.0,Yes
72,Random,astar,0.3,64,29.83,Yes
72,Random,ml,0.3,103,32.66,Yes
74,Random,astar,0.3,43,16.24,Yes
74,Random,ml,0.2,28,16.66,Yes
75,Random,astar,0.2,13,9.83,Yes
75,Random,ml,0.2,23,15.24,Yes
76,Random,astar,0.2,28,11.41,Yes
76,Random,ml,0.4,80,28.66,Yes
78,Random,astar,0.4,22,13.41,Yes
78,Random,ml,0.2,15,10.0,Yes
80,Random,astar,0.2,17,15.83,Yes
80,Random,ml,0.3,35,11.83,Yes
81,Random,astar,0.3,12,9.83,Yes
81,Random,ml,0.3,42,13.41,Yes
82,Random,astar,0.3,116,40.49,Yes
82,Random,ml,0.2,80,25.49,Yes
84,Random,astar,0.3,71,28.66,Yes
84,Random,ml,0.2,24,11.41,Yes
86,Random,astar,0.3,66,21.49,Yes
86,Random,ml,0.2,62,21.31,Yes
87,Random,astar,0.3,43,22.07,Yes
87,Random,ml,0.2,56,17.66,Yes
88,Random,astar,0.3,29,17.41,Yes
88,Random,ml,0.3,63,18.24,Yes
89,Random,astar,0.4,158,28.0,Yes
89,Random,ml,0.2,10,9.83,Yes
90,Random,astar,0.2,32,13.83,Yes
90,Random,ml,0.2,51,22.66,Yes
94,Random,astar,0.3,15,13.24,Yes
94,Random,ml,0.2,42,21.24,Yes
95,Random,astar,0.1,11,9.83,Yes
95,Random,ml,0.1,20,13.24,Yes
96,Random,astar,0.2,12,11.83,Yes
