Test Case,Layout Type,Wall Density,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,19.8%,astar,0.40,15,13.00,Yes
1,Random,19.8%,astar_dynamic,0.40,59,25.07,Yes
2,Random,22.3%,astar,0.40,67,18.07,Yes
2,Random,22.3%,astar_dynamic,0.40,95,23.24,Yes
3,Random,22.8%,astar,0.30,50,18.24,Yes
3,Random,22.8%,astar_dynamic,0.20,4,0,No
4,Random,21.0%,astar,0.20,28,21.49,Yes
4,Random,21.0%,astar_dynamic,0.30,80,17.66,Yes
5,Random,21.8%,astar,0.90,49,20.49,Yes
5,Random,21.8%,astar_dynamic,0.20,22,12.41,Yes
6,Random,20.5%,astar,0.40,38,14.24,Yes
6,Random,20.5%,astar_dynamic,0.10,10,9.41,Yes
7,Random,23.3%,astar,0.30,17,10.83,Yes
7,Random,23.3%,astar_dynamic,0.30,51,16.24,Yes
8,Random,20.0%,astar,0.30,19,16.66,Yes
8,Random,20.0%,astar_dynamic,0.30,21,19.24,Yes
9,Random,18.5%,astar,0.50,18,12.66,Yes
9,Random,18.5%,astar_dynamic,0.20,15,9.83,Yes
10,Random,18.3%,astar,0.30,27,27.56,Yes
10,Random,18.3%,astar_dynamic,0.10,9,8.00,Yes
11,Random,18.3%,astar,0.20,49,18.83,Yes
11,Random,18.3%,astar_dynamic,0.20,21,19.90,Yes
12,Random,19.8%,astar,0.10,15,14.41,Yes
12,Random,19.8%,astar_dynamic,0.20,17,15.49,Yes
13,Random,17.8%,astar,0.00,48,20.07,Yes
13,Random,17.8%,astar_dynamic,0.20,17,17.49,Yes
14,Random,18.0%,astar,0.30,12,12.07,Yes
14,Random,18.0%,astar_dynamic,0.10,26,25.38,Yes
15,Random,19.8%,astar,0.10,12,8.41,Yes
15,Random,19.8%,astar_dynamic,0.10,12,11.41,Yes
16,Random,21.5%,astar,0.10,23,22.90,Yes
16,Random,21.5%,astar_dynamic,0.30,24,9.24,Yes
17,Random,18.3%,astar,0.30,17,9.41,Yes
17,Random,18.3%,astar_dynamic,0.30,25,25.14,Yes
18,Random,21.8%,astar,0.10,18,13.24,Yes
18,Random,21.8%,astar_dynamic,0.00,19,10.41,Yes
