Test Case,Layout Type,Wall Density,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,18.5%,ml,0.50,18,12.24,Yes
1,Random,18.5%,ml_dynamic,0.30,36,16.24,Yes
2,Random,19.5%,ml,0.40,36,12.41,Yes
2,Random,19.5%,ml_dynamic,0.20,13,11.24,Yes
3,Random,19.5%,ml,0.30,22,19.49,Yes
3,Random,19.5%,ml_dynamic,0.10,10,8.24,Yes
4,Random,19.3%,ml,0.10,33,12.83,Yes
4,Random,19.3%,ml_dynamic,0.20,59,20.49,Yes
5,Random,19.5%,ml,0.40,1,0,No
5,Random,19.5%,ml_dynamic,0.10,14,11.66,Yes
6,Random,16.3%,ml,0.20,22,11.83,Yes
6,Random,16.3%,ml_dynamic,0.10,24,12.00,Yes
7,Random,18.5%,ml,0.10,8,8.66,Yes
7,Random,18.5%,ml_dynamic,0.10,9,10.49,Yes
8,Random,19.8%,ml,0.10,69,20.24,Yes
8,Random,19.8%,ml_dynamic,0.00,20,15.66,Yes
9,Random,22.0%,ml,0.20,84,20.24,Yes
9,Random,22.0%,ml_dynamic,0.20,17,15.83,Yes
10,Random,22.8%,ml,0.40,111,22.24,Yes
10,Random,22.8%,ml_dynamic,0.10,51,21.07,Yes
11,Random,20.8%,ml,0.30,22,16.83,Yes
11,Random,20.8%,ml_dynamic,0.20,30,19.66,Yes
12,Random,20.8%,ml,0.40,25,16.83,Yes
12,Random,20.8%,ml_dynamic,0.20,36,15.24,Yes
13,Random,21.0%,ml,0.50,73,28.07,Yes
13,Random,21.0%,ml_dynamic,0.20,23,10.24,Yes
14,Random,21.8%,ml,0.30,21,15.41,Yes
14,Random,21.8%,ml_dynamic,0.20,14,14.90,Yes
15,Random,19.3%,ml,0.10,15,16.07,Yes
15,Random,19.3%,ml_dynamic,0.20,16,12.24,Yes
16,Random,19.0%,ml,0.30,14,9.41,Yes
16,Random,19.0%,ml_dynamic,0.40,33,20.00,Yes
17,Random,18.3%,ml,0.30,23,11.24,Yes
17,Random,18.3%,ml_dynamic,0.20,26,21.90,Yes
18,Random,20.0%,ml,0.30,32,14.41,Yes
18,Random,20.0%,ml_dynamic,0.10,18,19.31,Yes
19,Random,19.5%,ml,0.30,11,8.83,Yes
19,Random,19.5%,ml_dynamic,0.10,14,12.07,Yes
20,Random,18.3%,ml,2.20,20,10.00,Yes
20,Random,18.3%,ml_dynamic,0.00,18,16.90,Yes
21,Random,19.5%,ml,0.30,21,13.24,Yes
21,Random,19.5%,ml_dynamic,0.10,23,10.83,Yes
22,Random,16.5%,ml,0.60,39,22.07,Yes
22,Random,16.5%,ml_dynamic,0.20,20,16.49,Yes
23,Random,21.8%,ml,0.10,21,14.41,Yes
23,Random,21.8%,ml_dynamic,0.10,29,14.07,Yes
24,Random,21.3%,ml,0.30,10,10.24,Yes
24,Random,21.3%,ml_dynamic,0.10,26,20.31,Yes
25,Random,17.0%,ml,0.20,39,20.66,Yes
25,Random,17.0%,ml_dynamic,0.30,13,11.24,Yes
26,Random,21.0%,ml,0.20,40,19.66,Yes
26,Random,21.0%,ml_dynamic,0.10,23,17.66,Yes
27,Random,22.0%,ml,0.50,27,11.00,Yes
27,Random,22.0%,ml_dynamic,0.10,10,9.66,Yes
28,Random,19.0%,ml,0.30,28,17.41,Yes
28,Random,19.0%,ml_dynamic,0.10,18,10.41,Yes
29,Random,19.8%,ml,0.30,26,12.00,Yes
29,Random,19.8%,ml_dynamic,0.30,46,15.83,Yes
30,Random,22.8%,ml,0.10,12,11.83,Yes
30,Random,22.8%,ml_dynamic,0.10,26,14.83,Yes
31,Random,21.0%,ml,0.20,60,22.41,Yes
31,Random,21.0%,ml_dynamic,0.10,13,11.83,Yes
32,Random,19.8%,ml,0.20,21,10.83,Yes
32,Random,19.8%,ml_dynamic,0.00,35,16.24,Yes
33,Random,19.5%,ml,0.40,28,14.24,Yes
33,Random,19.5%,ml_dynamic,0.10,47,18.24,Yes
34,Random,18.0%,ml,0.40,11,12.07,Yes
34,Random,18.0%,ml_dynamic,0.20,50,21.66,Yes
35,Random,21.0%,ml,0.50,29,21.66,Yes
35,Random,21.0%,ml_dynamic,0.20,14,12.41,Yes
36,Random,21.3%,ml,0.50,24,10.41,Yes
36,Random,21.3%,ml_dynamic,0.30,64,21.49,Yes
37,Random,22.5%,ml,0.20,41,18.24,Yes
37,Random,22.5%,ml_dynamic,0.30,33,15.83,Yes
38,Random,21.5%,ml,0.20,8,7.83,Yes
38,Random,21.5%,ml_dynamic,0.50,73,19.49,Yes
39,Random,24.3%,ml,0.40,1,0,No
39,Random,24.3%,ml_dynamic,0.30,49,19.24,Yes
40,Random,18.5%,ml,0.20,22,17.07,Yes
40,Random,18.5%,ml_dynamic,0.40,26,23.49,Yes
41,Random,20.8%,ml,0.30,48,22.24,Yes
41,Random,20.8%,ml_dynamic,0.20,43,14.83,Yes
42,Random,23.0%,ml,0.20,78,23.66,Yes
42,Random,23.0%,ml_dynamic,0.10,10,9.83,Yes
43,Random,21.8%,ml,0.10,13,12.66,Yes
43,Random,21.8%,ml_dynamic,0.20,12,9.41,Yes
44,Random,21.8%,ml,0.10,20,18.66,Yes
44,Random,21.8%,ml_dynamic,0.20,30,20.90,Yes
