Test Case,Layout Type,Wall Density,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,21.8%,astar_dynamic,0.70,29,17.07,Yes
1,Random,21.8%,ml_dynamic,0.30,31,11.24,Yes
2,Random,21.0%,astar_dynamic,0.30,17,16.31,Yes
2,Random,21.0%,ml_dynamic,0.20,16,17.31,Yes
3,Random,21.0%,astar_dynamic,0.30,46,18.66,Yes
3,Random,21.0%,ml_dynamic,0.10,23,16.66,Yes
4,Random,19.3%,astar_dynamic,0.20,31,16.24,Yes
4,Random,19.3%,ml_dynamic,0.20,43,19.49,Yes
5,Random,20.8%,astar_dynamic,0.20,29,23.83,Yes
5,Random,20.8%,ml_dynamic,0.10,12,9.83,Yes
6,Random,21.5%,astar_dynamic,0.20,14,14.07,Yes
6,Random,21.5%,ml_dynamic,0.20,10,11.07,Yes
7,Random,19.8%,astar_dynamic,1.10,63,18.90,Yes
7,Random,19.8%,ml_dynamic,0.20,24,10.83,Yes
8,Random,18.8%,astar_dynamic,0.10,31,22.49,Yes
8,Random,18.8%,ml_dynamic,0.10,20,13.24,Yes
9,Random,22.5%,astar_dynamic,0.20,67,21.24,Yes
9,Random,22.5%,ml_dynamic,0.10,31,14.83,Yes
10,Random,21.3%,astar_dynamic,0.10,32,17.24,Yes
10,Random,21.3%,ml_dynamic,0.20,70,20.24,Yes
11,Random,21.0%,astar_dynamic,0.20,66,15.41,Yes
11,Random,21.0%,ml_dynamic,0.10,34,24.66,Yes
12,Random,16.5%,astar_dynamic,0.10,33,15.07,Yes
12,Random,16.5%,ml_dynamic,0.00,10,7.83,Yes
13,Random,21.5%,astar_dynamic,0.10,11,8.41,Yes
13,Random,21.5%,ml_dynamic,0.00,8,8.24,Yes
14,Random,20.3%,astar_dynamic,0.10,11,11.24,Yes
14,Random,20.3%,ml_dynamic,0.00,36,21.07,Yes
15,Random,22.3%,astar_dynamic,0.00,10,9.24,Yes
15,Random,22.3%,ml_dynamic,0.00,17,17.90,Yes
16,Random,15.5%,astar_dynamic,0.10,69,14.83,Yes
16,Random,15.5%,ml_dynamic,0.20,8,8.24,Yes
17,Random,20.3%,astar_dynamic,0.10,20,16.24,Yes
17,Random,20.3%,ml_dynamic,0.10,26,11.83,Yes
18,Random,22.3%,astar_dynamic,0.10,14,10.41,Yes
18,Random,22.3%,ml_dynamic,0.10,25,18.66,Yes
19,Random,19.8%,astar_dynamic,0.10,20,16.90,Yes
19,Random,19.8%,ml_dynamic,0.00,10,9.66,Yes
20,Random,19.3%,astar_dynamic,0.20,19,10.66,Yes
20,Random,19.3%,ml_dynamic,0.20,9,10.07,Yes
21,Random,21.8%,astar_dynamic,0.10,32,16.49,Yes
21,Random,21.8%,ml_dynamic,0.90,282,0,No
22,Random,22.8%,astar_dynamic,0.10,26,25.07,Yes
22,Random,22.8%,ml_dynamic,0.10,11,9.66,Yes
23,Random,18.8%,astar_dynamic,0.20,13,11.83,Yes
23,Random,18.8%,ml_dynamic,0.30,24,13.00,Yes
24,Random,20.0%,astar_dynamic,0.20,74,20.07,Yes
24,Random,20.0%,ml_dynamic,0.00,12,12.24,Yes
25,Random,19.3%,astar_dynamic,0.10,15,15.49,Yes
25,Random,19.3%,ml_dynamic,0.00,17,13.24,Yes
26,Random,17.3%,astar_dynamic,0.10,15,8.83,Yes
26,Random,17.3%,ml_dynamic,0.00,16,15.83,Yes
27,Random,20.3%,astar_dynamic,0.30,69,27.90,Yes
27,Random,20.3%,ml_dynamic,0.10,34,13.83,Yes
28,Random,20.8%,astar_dynamic,0.90,33,17.90,Yes
28,Random,20.8%,ml_dynamic,0.00,17,17.90,Yes
29,Random,19.3%,astar_dynamic,0.10,8,8.24,Yes
29,Random,19.3%,ml_dynamic,0.10,19,14.83,Yes
30,Random,20.0%,astar_dynamic,0.10,10,9.00,Yes
30,Random,20.0%,ml_dynamic,0.10,31,15.24,Yes
31,Random,16.5%,astar_dynamic,0.00,33,12.24,Yes
31,Random,16.5%,ml_dynamic,0.10,27,10.83,Yes
32,Random,22.3%,astar_dynamic,0.20,41,18.24,Yes
32,Random,22.3%,ml_dynamic,0.10,13,11.83,Yes
33,Random,22.8%,astar_dynamic,0.30,8,8.24,Yes
33,Random,22.8%,ml_dynamic,0.00,10,10.24,Yes
34,Random,19.8%,astar_dynamic,0.10,11,12.07,Yes
34,Random,19.8%,ml_dynamic,0.20,12,8.41,Yes
35,Random,21.8%,astar_dynamic,0.30,64,21.49,Yes
35,Random,21.8%,ml_dynamic,1.50,309,0,No
36,Random,19.0%,astar_dynamic,0.20,10,10.66,Yes
36,Random,19.0%,ml_dynamic,0.30,49,18.83,Yes
37,Random,19.0%,astar_dynamic,0.40,38,15.24,Yes
