Test Case,Layout Type,Wall Density,Algorithm,Time (ms),Nodes Visited,Path Length,Success
1,Random,21.0%,astar,1.20,76,20.24,Yes
1,Random,21.0%,ml,0.40,8,8.66,Yes
2,Random,18.0%,astar,0.60,8,8.24,Yes
2,Random,18.0%,ml,0.30,13,10.24,Yes
3,Random,21.5%,astar,0.50,11,8.83,Yes
3,Random,21.5%,ml,0.50,53,22.66,Yes
4,Random,18.3%,astar,0.50,23,16.66,Yes
4,Random,18.3%,ml,0.90,25,23.73,Yes
5,Random,20.0%,astar,1.00,72,21.41,Yes
5,Random,20.0%,ml,0.40,22,11.41,Yes
6,Random,17.5%,astar,0.40,9,9.24,Yes
6,Random,17.5%,ml,0.30,10,10.66,Yes
7,Random,17.3%,astar,0.50,60,18.90,Yes
7,Random,17.3%,ml,0.30,27,15.83,Yes
8,Random,20.0%,astar,0.70,33,16.83,Yes
8,Random,20.0%,ml,0.20,21,11.24,Yes
9,Random,16.5%,astar,0.30,16,13.66,Yes
9,Random,16.5%,ml,0.30,14,9.00,Yes
10,Random,21.8%,astar,0.90,49,18.83,Yes
10,Random,21.8%,ml,0.20,10,9.24,Yes
11,Random,19.5%,astar,0.40,20,19.90,Yes
11,Random,19.5%,ml,0.30,21,15.83,Yes
12,Random,19.0%,astar,0.40,72,21.83,Yes
12,Random,19.0%,ml,0.30,27,15.41,Yes
13,Random,21.3%,astar,0.30,14,11.24,Yes
13,Random,21.3%,ml,0.10,14,8.41,Yes
14,Random,20.0%,astar,0.30,55,19.24,Yes
14,Random,20.0%,ml,0.30,19,10.41,Yes
15,Random,17.5%,astar,0.70,22,17.66,Yes
15,Random,17.5%,ml,0.70,54,22.66,Yes
16,Random,17.8%,astar,0.70,22,20.49,Yes
16,Random,17.8%,ml,0.30,11,11.07,Yes
17,Random,19.3%,astar,0.40,18,11.41,Yes
17,Random,19.3%,ml,0.50,53,21.41,Yes
18,Random,18.0%,astar,0.80,43,17.90,Yes
18,Random,18.0%,ml,0.20,52,21.66,Yes
19,Random,22.3%,astar,0.60,11,7.83,Yes
19,Random,22.3%,ml,0.40,74,23.24,Yes
20,Random,20.5%,astar,0.60,28,16.24,Yes
20,Random,20.5%,ml,0.20,11,10.66,Yes
21,Random,20.3%,astar,0.20,15,9.41,Yes
21,Random,20.3%,ml,0.10,14,12.24,Yes
22,Random,24.0%,astar,0.60,48,21.66,Yes
22,Random,24.0%,ml,0.30,14,9.24,Yes
23,Random,21.5%,astar,0.50,98,20.66,Yes
23,Random,21.5%,ml,0.20,30,14.24,Yes
24,Random,22.5%,astar,0.40,37,26.24,Yes
24,Random,22.5%,ml,0.30,35,25.66,Yes
25,Random,20.5%,astar,0.30,18,13.83,Yes
25,Random,20.5%,ml,0.20,32,13.41,Yes
26,Random,22.5%,astar,0.20,1,0,No
26,Random,22.5%,ml,0.30,13,9.41,Yes
27,Random,21.0%,astar,0.30,26,16.24,Yes
27,Random,21.0%,ml,0.40,43,20.24,Yes
28,Random,20.3%,astar,0.60,21,12.83,Yes
28,Random,20.3%,ml,0.50,15,14.07,Yes
29,Random,18.3%,astar,0.40,15,13.24,Yes
29,Random,18.3%,ml,0.20,15,14.66,Yes
30,Random,20.5%,astar,0.60,61,30.90,Yes
30,Random,20.5%,ml,0.20,14,15.49,Yes
31,Random,15.5%,astar,0.20,41,22.49,Yes
31,Random,15.5%,ml,0.20,10,8.66,Yes
32,Random,16.8%,astar,0.20,28,13.66,Yes
32,Random,16.8%,ml,0.20,46,22.83,Yes
